"city","lat","lng","population", "country"
"Narjeh","35.9908","49.6247","5604","Iran"
"Qeshlaq","36.0153","50.4222","3798","Iran"
"Rafsanjan","30.4000","56.0000","161909","Iran"
"Bahar","34.9069","48.4414","27.271","Iran"
"Bandar-e Rig","29.4856","50.6281","5257","Iran"
"Sorkheh","35.4633","53.2139","9951","Iran"
"Jowzdan","32.5567","51.3725","6393","Iran"
"Jordavi","35.2122","58.5961","931","Iran"
"Oshnaviyeh","37.0397","45.0983","70030","Iran"
"Jovestan","36.1881","50.8931","421","Iran"
"Tazeh Kand-e `Isa Khani","37.3069","46.0108","34","Iran"
"Ahvaz","31.3203","48.6692","1184788","Iran"
"Baladeh","36.2019","51.8100","970","Iran"
"Darcheh","32.6153","51.5556","43183","Iran"
"Qal`eh Gholam `Abdollah","27.3778","53.1367","112","Iran"
"Nowjan","35.9315","51.0210","328","Iran"
"`Alavicheh","33.0528","51.0825","14550","Iran"
"Bam","29.1083","58.3583","127396","Iran"
"Damghan","36.1681","54.3481","57331","Iran"
"Sirdan","36.6472","49.1917","805","Iran"
"Qarah Tappeh","36.7381","53.4356","1884","Iran"
"Robat Karim","35.4847","51.0828","105393","Iran"
"Mohammadabad-e Afshar","35.8550","50.7908","466","Iran"
"Kerman","30.2833","57.0667","573449","Iran"
"Lavasan","35.8231","51.6242","18146","Iran"
"Bandar-e Mahshahr","30.5589","49.1981","162797","Iran"
"Kushk","32.6425","51.4997","11264","Iran"
"Dizicheh","32.3833","51.5147","17966","Iran"
"Borazjan","29.2667","51.2158","110567","Iran"
"Ebrahim Beygi","35.9239","50.6500","692","Iran"
"Famenin","35.1139","48.9717","14019","Iran"
"Kharadgerd","34.5358","60.1775","1464","Iran"
"Yusefabad","36.0581","59.0000","648","Iran"
"Vahanabad","35.4458","51.1714","1541","Iran"
"Torbat-e Jam","35.2439","60.6225","100449","Iran"
"Chizeh","36.5789","49.0275","50","Iran"
"Rud Ma`jan","35.4408","58.8333","747","Iran"
"Shahreza","32.0089","51.8667","134592","Iran"
"Mobarakeh","32.3464","51.5044","62454","Iran"
"Poldasht","39.3481","45.0711","11472","Iran"
"Yunesi","34.8053","58.4375","3426","Iran"
"Kolm-e Bala","33.3581","46.9133","687","Iran"
"Lulaman","37.2783","49.8181","3175","Iran"
"Sari Bolagh","38.7064","47.1600","38","Iran"
"Nashtrud","36.0358","51.1247","188","Iran"
"Takestan","36.0694","49.6958","73625","Iran"
"Par Kuh","36.2050","53.2311","800","Iran"
"Azandarian","34.5089","48.6867","8685","Iran"
"Valeh","36.1058","51.3144","300","Iran"
"Esfahan","32.6447","51.6675","1756126","Iran"
"Babak","39.4747","48.2347","2656","Iran"
"Marand","38.4167","45.7667","130825","Iran"
"Chenashk","37.0697","55.5253","648","Iran"
"Chamgardan","32.3933","51.3408","16086","Iran"
"Taleqan","36.1779","50.7655","3281","Iran"
"Mahabad","36.7650","45.7210","168393","Iran"
"Mahabad","33.5269","52.2128","4081","Iran"
"Juraqan","34.8847","48.5544","9234","Iran"
"Sarab","37.9408","47.5367","42057","Iran"
"Shahmirzad","35.7728","53.3286","11191","Iran"
"Baft","29.2331","56.6022","41105","Iran"
"Jowkar","34.4328","48.6856","2209","Iran"
"Dulmarz","36.7456","53.1897","803","Iran"
"Raz Qand","36.3172","57.7103","218","Iran"
"Pir Taj","35.7714","48.1208","1199","Iran"
"Shahrak-e Karreh Shahbazi","30.7286","50.7400","2240","Iran"
"Markiyeh","37.2972","49.2425","1625","Iran"
"Yasuj","30.6667","51.5833","108505","Iran"
"Pa'in Chaf","37.2294","50.2539","8840","Iran"
"Khuzankola","35.9431","51.0853","753","Iran"
"Ahram","28.8825","51.2744","12182","Iran"
"Pa Qal`eh","35.9019","53.1269","126","Iran"
"Sirjan","29.4700","55.7300","175000","Iran"
"Jiroft","28.6781","57.7406","130429","Iran"
"Kaleybar","38.8667","47.0333","9324","Iran"
"Yush","36.1919","51.7236","154","Iran"
"Zavareh","33.4486","52.4933","7806","Iran"
"Tabriz","38.0833","46.2833","1558693","Iran"
"Shirvan","37.3967","57.9294","82790","Iran"
"Khoshk Bijar","37.3747","49.7575","7478","Iran"
"Andimeshk","32.4500","48.3500","135116","Iran"
"Bahnemir","36.6639","52.7631","7906","Iran"
"Mojen","36.4800","54.6458","5932","Iran"
"Sabzevar","36.2167","57.6667","243700","Iran"
"Semirom","31.4142","51.5694","26260","Iran"
"Eyvanekey","35.3433","52.0675","12462","Iran"
"Shiraz","29.6100","52.5425","1460665","Iran"
"Goldasht","32.6267","51.4392","22693","Iran"
"Kondor","35.2131","58.1514","6460","Iran"
"Torsh Anbeh","35.5972","51.2581","90","Iran"
"Zazeran","32.6025","51.4969","7670","Iran"
"Gorgan","36.8300","54.4800","312223","Iran"
"Komijan","34.7192","49.3267","7358","Iran"
"Hashtpar","37.7992","48.9053","54178","Iran"
"Karaj","35.8327","50.9915","1592492","Iran"
"Taft","31.7475","54.2042","18464","Iran"
"Garmsar","35.2167","52.3333","48672","Iran"
"Hadishahr","38.8478","45.6622","27842","Iran"
"Meybod","32.2500","54.0167","80712","Iran"
"Marvdasht","29.8742","52.8025","148858","Iran"
"Tehran","35.7000","51.4167","13633000","Iran"
"Shendeh","35.9814","50.7949","970","Iran"
"Bojnurd","37.4667","57.3333","199791","Iran"
"Khosrud","36.5606","50.0469","248","Iran"
"Akbarabad","29.2464","52.7792","5837","Iran"
"Chaboksar","36.9736","50.5700","8224","Iran"
"Vardij","35.8122","51.1758","778","Iran"
"Mehr","36.2919","57.1492","1812","Iran"
"Anarak","33.3117","53.6989","1285","Iran"
"Varamin","35.2714","51.6511","225628","Iran"
"Mashhad","36.3069","59.6042","3001184","Iran"
"Torbat-e Heydariyeh","35.2739","59.2194","140019","Iran"
"Khvansar","33.2206","50.3150","20490","Iran"
"Ardabil","38.2500","48.3000","482632","Iran"
"Bijar","35.8741","47.5937","53871","Iran"
"Hanna","31.1989","51.7247","5358","Iran"
"Qasr-e Shirin","34.5156","45.5792","11202","Iran"
"Kahrizak","35.5175","51.3597","37527","Iran"
"Niarak","36.5197","49.4178","1860","Iran"
"Golmeh","33.7793","46.5967","152894","Iran"
"Kilan","35.5536","52.1633","2882","Iran"
"Malard","35.6658","50.9767","281027","Iran"
"Amol","36.4669","52.3569","237528","Iran"
"Ashkezar","32.0000","54.2044","19123","Iran"
"Orumiyeh","37.5486","45.0675","736224","Iran"
"Abuzeydabad","33.9042","51.7686","5160","Iran"
"Zarand","30.8128","56.5639","63744","Iran"
