"city","lat","lng","population","country"
"Al Musayyib","32.7786","44.2900","76454","Iraq"
"Az Zubayr","30.3892","47.7081","370000","Iraq"
"Umm Qasr","30.0342","47.9294","107620","Iraq"
"Dahuk","36.8500","42.9833","330600","Iraq"
"Al Fallujah","33.3500","43.7833","326471","Iraq"
"Al Kufah","32.0300","44.4000","166100","Iraq"
"Samarra'","34.1959","43.8857","140400","Iraq"
"Kirkuk","35.4667","44.4000","975000","Iraq"
"Kuysinjaq","36.0828","44.6286","19878","Iraq"
"Al `Amarah","31.8416","47.1512","345007","Iraq"
"Al Basrah","30.4889","47.8100","1225793","Iraq"
"Erbil","36.1911","44.0094","846000","Iraq"
"Al Kut","32.4907","45.8304","321521","Iraq"
"An Nasiriyah","31.0439","46.2575","541600","Iraq"
"Ad Diwaniyah","31.9892","44.9247","391600","Iraq"
"Al Faw","29.9800","48.4700","105080","Iraq"
"Rawah","34.4792","41.9083","19629","Iraq"
"Ash Shatrah","31.4175","46.1772","161949","Iraq"
"Baghdad","33.3500","44.4167","5796000","Iraq"
"Ar Rutbah","33.0333","40.2833","22370","Iraq"
"As Samawah","31.3167","45.2833","215000","Iraq"
"Al Hayy","32.1742","46.0433","82900","Iraq"
"Sinjar","36.3208","41.8764","88023","Iraq"
"Karbala'","32.6167","44.0333","690100","Iraq"
"Ar Ramadi","33.4258","43.2992","456853","Iraq"
"Az Zubaydiyah","32.7588","45.1773","70000","Iraq"
"Balad","34.0147","44.1456","80000","Iraq"
"Al Hillah","32.4833","44.4333","541034","Iraq"
"Al `Amadiyah","37.0922","43.4878","11000","Iraq"
"Mandali","33.7436","45.5464","29785","Iraq"
"Zakhu","37.1436","42.6819","134863","Iraq"
"As Sulaymaniyah","35.5500","45.4333","656100","Iraq"
"Halabjah","35.1833","45.9833","65200","Iraq"
"An Najaf","32.0290","44.3396","724700","Iraq"
"Mosul","36.3667","43.1167","1694000","Iraq"
"Shaqlawah","36.3964","44.3436","25000","Iraq"
"Ba`qubah","33.7447","44.6436","467900","Iraq"
"Tall `Afar","36.3792","42.4497","80000","Iraq"
"Tikrit","34.6000","43.6833","105700","Iraq"
"Nahiyat al Karmah","33.3997","43.9089","95000","Iraq"
"Qaladizay","36.1811","45.1286","36792","Iraq"
"Hit","33.6417","42.8250","66700","Iraq"
"Hammam al `Alil","36.1581","43.2594","15985","Iraq"
