"city","lat","lng","population", "country"
"Ballyconnell","54.1167","-7.5833","747","Ireland"
"Dungarvan","52.0845","-7.6397","7991","Ireland"
"Dun Dealgan","54.0090","-6.4049","39004","Ireland"
"Tralee","52.2675","-9.6962","26384","Ireland"
"Carlow","52.8306","-6.9317","24272","Ireland"
"Killybegs","54.6361","-8.4444","1280","Ireland"
"Kildare","53.1569","-6.9090","7538","Ireland"
"Ros Comain","53.6333","-8.1833","4860","Ireland"
"Kinsale","51.7075","-8.5306","4893","Ireland"
"Ennis","52.8463","-8.9807","24253","Ireland"
"Drogheda","53.7139","-6.3503","40956","Ireland"
"Naas","53.2158","-6.6669","21393","Ireland"
"Cashel","52.5167","-7.8894","2936","Ireland"
"Belturbet","54.1000","-7.4500","1395","Ireland"
"Kilkenny","52.6477","-7.2561","22179","Ireland"
"Monaghan","54.2479","-6.9708","5937","Ireland"
"Waterford","52.2583","-7.1190","48369","Ireland"
"Dublin","53.3497","-6.2603","1173179","Ireland"
"Sligo","54.2667","-8.4833","19452","Ireland"
"Carrigtohill","51.9000","-8.2667","6665","Ireland"
"Galway","53.2729","-9.0418","79504","Ireland"
"Dunleary","53.3000","-6.1400","23857","Ireland"
"Kenmare","51.8800","-9.5836","2175","Ireland"
"Killarney","52.0588","-9.5072","11902","Ireland"
"Farran","51.8760","-8.7190","338","Ireland"
"Dunboyne","53.4199","-6.4751","5713","Ireland"
"Leixlip","53.3636","-6.4864","15504","Ireland"
"Clifden","53.4833","-10.0167","1497","Ireland"
"Roscrea","52.9547","-7.7971","4910","Ireland"
"Donegal","54.6500","-8.1170","2513","Ireland"
"Limerick","52.6653","-8.6238","58319","Ireland"
"Shannon","52.7137","-8.8686","9222","Ireland"
"Cork","51.9000","-8.4731","208669","Ireland"
"Gweedore","55.0509","-8.2356","4065","Ireland"
"Cobh","51.8510","-8.2967","12347","Ireland"
"Blackrock","53.3015","-6.1778","28557","Ireland"
"Swords","53.4597","-6.2181","33998","Ireland"
