"city","lat","lng","population", "country"
"Rosh Ha`Ayin","32.0833","34.9500","56300","Israel"
"Dimona","31.0700","35.0300","34135","Israel"
"Kafr Qasim","32.1142","34.9772","22743","Israel"
"Yoqne`am `Illit","32.6594","35.1100","21383","Israel"
"Majdal Shams","33.2692","35.7706","11180","Israel"
"Bat Yam","32.0231","34.7503","128800","Israel"
"Eilat","29.5500","34.9500","51935","Israel"
"Gan Yavne","31.7886","34.7053","22453","Israel"
"Et Taiyiba","32.2667","35.0000","43100","Israel"
"Holon","32.0167","34.7667","188834","Israel"
"Mas`ada","33.2331","35.7408","3520","Israel"
"Qiryat Gat","31.6061","34.7717","55000","Israel"
"Afula","32.6078","35.2897","44930","Israel"
"Metulla","33.2789","35.5767","1614","Israel"
"Bet Shemesh","31.7514","34.9886","114371","Israel"
"Or Yehuda","32.0333","34.8500","36706","Israel"
"Qiryat Ata","32.8000","35.1000","55464","Israel"
"`Akko","32.9261","35.0839","47675","Israel"
"Givatayim","32.0697","34.8117","59518","Israel"
"Yehud","32.0333","34.8833","29146","Israel"
"Netanya","32.3328","34.8600","217244","Israel"
"Rehovot","31.8914","34.8078","132671","Israel"
"Tamra","32.8511","35.2071","34000","Israel"
"Haifa","32.8000","34.9833","281087","Israel"
"Kefar Tavor","32.6871","35.4202","3796","Israel"
"Me'ir Shefeya","32.5903","34.9706","317","Israel"
"Shefar`am","32.8056","35.1694","5650","Israel"
"Nesher","32.7667","35.0500","23700","Israel"
"Sederot","31.5261","34.5939","23090","Israel"
"Shave Ziyyon","32.9796","35.0822","654","Israel"
"Migdal Ha`Emeq","32.6786","35.2444","25600","Israel"
"Kefar Yona","32.3150","34.9328","21611","Israel"
"Rahat","31.3925","34.7544","64462","Israel"
"Jisr ez Zarqa","32.5379","34.9122","13962","Israel"
"Beersheba","31.2589","34.7978","209000","Israel"
"Qiryat Bialik","32.8331","35.0664","39900","Israel"
"Arad","31.2603","35.2147","24436","Israel"
"Karmiel","32.9000","35.2833","45300","Israel"
"Rishon LeZiyyon","31.9500","34.8000","249860","Israel"
"Netivot","31.4167","34.5833","31314","Israel"
"Qiryat Mozqin","32.8381","35.0794","40160","Israel"
"Modi`in Makkabbim Re`ut","31.9339","34.9856","90013","Israel"
"Jish","33.0258","35.4447","3200","Israel"
"Ashqelon","31.6658","34.5664","134454","Israel"
"Or `Aqiva","32.5000","34.9167","17759","Israel"
"Ra`ananna","32.1833","34.8667","74000","Israel"
"Giv`at Shemu'el","32.0781","34.8489","25298","Israel"
"Petah Tiqwa","32.0833","34.8833","236169","Israel"
"Omer","31.2683","34.8489","7339","Israel"
"Ramat HaSharon","32.1461","34.8394","46700","Israel"
"Kefar Sava","32.1858","34.9077","100800","Israel"
"Tiberias","32.7897","35.5247","44200","Israel"
"Etanim","31.7789","35.0952","72","Israel"
"Ma`alot Tarshiha","33.0167","35.2708","36000","Israel"
"Ashdod","31.7978","34.6503","220174","Israel"
"Tel Aviv-Yafo","32.0800","34.7800","451523","Israel"
"Hod HaSharon","32.1500","34.8833","56659","Israel"
"El`ad","32.0523","34.9512","46896","Israel"
"Nazareth","32.7021","35.2978","83400","Israel"
"Lod","31.9500","34.9000","75700","Israel"
"Allone Abba","32.7295","35.1718","970","Israel"
"Herzliyya","32.1556","34.8422","93989","Israel"
"Zurit","32.9020","35.2506","763","Israel"
"Bene Beraq","32.0807","34.8338","193774","Israel"
"Qiryat Yam","32.8331","35.0664","40700","Israel"
"Ofaqim","31.2833","34.6167","27771","Israel"
"Nes Ziyyona","31.9333","34.8000","50200","Israel"
"Ben Zakkay","31.8833","34.7333","1540","Israel"
"Ras `Ali","32.7718","35.1559","560","Israel"
"Et Tira","32.2328","34.9503","10200","Israel"
"Qiryat Ono","32.0636","34.8553","37791","Israel"
"Qiryat Mal'akhi","31.7333","34.7500","23100","Israel"
"Nahariyya","33.0036","35.0925","60000","Israel"
"Umm el Fahm","32.5158","35.1525","55300","Israel"
"Bet She'an","32.4961","35.4989","18200","Israel"
"Ramla","31.9318","34.8736","75500","Israel"
"Buq`ata","33.2014","35.7797","6329","Israel"
"Pardes Hanna Karkur","32.4711","34.9675","15900","Israel"
"Jerusalem","31.7833","35.2167","919438","Israel"
"Hadera","32.4500","34.9167","91707","Israel"
"Iqrit","33.0756","35.2753","490","Israel"
"Sakhnin","32.8667","35.3000","31100","Israel"
"Mizpe Ramon","30.6128","34.8017","4998","Israel"
"Qiryat Shemona","33.2075","35.5697","23076","Israel"
"Ramat Gan","32.0700","34.8235","152596","Israel"
"Zefat","32.9658","35.4983","35700","Israel"
"Mattat","33.0404","35.3548","192","Israel"
"Qalansuwa","32.2850","34.9811","21451","Israel"
"Tirat Karmel","32.7667","34.9667","22200","Israel"
