"city","lat","lng","population", "country"
"Savanna-la-Mar","18.2167","-78.1333","22600","Jamaica"
"Port Antonio","18.1667","-76.4500","14400","Jamaica"
"Portmore","17.9667","-76.8667","170000","Jamaica"
"Montego Bay","18.4667","-77.9167","110115","Jamaica"
"Mandeville","18.0417","-77.5072","48317","Jamaica"
"Saint Ann's Bay","18.4350","-77.2017","13671","Jamaica"
"Falmouth","18.4936","-77.6558","7779","Jamaica"
"May Pen","17.9500","-77.2500","135142","Jamaica"
"Negril","18.2731","-78.3458","4500","Jamaica"
"Half Way Tree","18.0106","-76.7975","96494","Jamaica"
"Port Maria","18.3703","-76.8903","7906","Jamaica"
"Black River","18.0264","-77.8487","4261","Jamaica"
"Port Morant","17.8910","-76.3290","11536","Jamaica"
"Kingston","17.9714","-76.7931","580000","Jamaica"
"Spanish Town","17.9961","-76.9547","131056","Jamaica"
"Old Harbour","17.9414","-77.1090","28665","Jamaica"
"Lucea","18.4509","-78.1736","6002","Jamaica"
"Linstead","18.1500","-77.0167","22757","Jamaica"
