"city","lat","lng","population","country"
"Kariwa","37.4167","138.6167","4434","Japan"
"Niigata","37.9161","139.0364","790646","Japan"
"Tamagawa","33.6317","130.7997","45946","Japan"
"Nishinoomote","30.7325","130.9975","14694","Japan"
"Musashimurayama","35.7547","139.3875","71183","Japan"
"Akishima","35.7056","139.3536","112110","Japan"
"Miyatoko","33.6992","130.9206","18599","Japan"
"Taketoyo","34.8500","136.9167","43095","Japan"
"Shiraoka","36.0189","139.6769","52103","Japan"
"Sakai","36.1000","139.8000","24035","Japan"
"Kosaka","40.3331","140.7361","4686","Japan"
"Zamami","26.2289","127.3033","891","Japan"
"Naie","43.4253","141.8828","5235","Japan"
"Kobayashi","31.9967","130.9728","43114","Japan"
"Kitakami","39.2867","141.1131","92348","Japan"
"Hasuda","35.9942","139.6622","61473","Japan"
"Futtsu","35.3042","139.8569","42280","Japan"
"Shiranuka","42.9561","144.0717","7539","Japan"
"Honcho","41.8958","140.6944","28073","Japan"
"Honcho","42.8089","143.6586","4544","Japan"
"Honcho","43.7064","144.0247","4486","Japan"
"Honcho","42.7236","141.8778","4420","Japan"
"Honcho","42.1278","142.9339","4125","Japan"
"Hakone","35.1894","139.0264","10925","Japan"
"Shima","34.3283","136.8306","45834","Japan"
"Waki","34.2022","132.2203","5984","Japan"
"Sayo","35.0042","134.3558","15508","Japan"
"Nagatoro","36.1100","139.1100","6643","Japan"
"Nagato","34.3711","131.1822","32183","Japan"
"Murayama","38.4833","140.3803","22222","Japan"
"Kawasaki","33.6000","130.8153","15134","Japan"
"Sarabetsu","42.6500","143.1881","3158","Japan"
"Aoki","36.3700","138.1286","4083","Japan"
"Takaharu","31.9283","131.0078","8511","Japan"
"Inuma","36.0000","139.6239","45065","Japan"
"Ide","34.7986","135.8033","7453","Japan"
"Takae","42.3625","142.3186","5395","Japan"
"Kawara","33.6681","130.8472","9955","Japan"
"Tatsunocho-tominaga","34.8581","134.5456","73952","Japan"
"Bando","36.0483","139.8889","51511","Japan"
"Wakasa","35.3400","134.4008","2834","Japan"
"Otsuchi","39.3667","141.9000","10719","Japan"
"Ina","35.8275","137.9539","65670","Japan"
"Umi","33.5683","130.5100","37713","Japan"
"Naka","37.4504","138.8600","195318","Japan"
"Ichinomiya","35.3728","140.3689","11622","Japan"
"Uryu","43.6439","141.8892","2258","Japan"
"Izuo","34.4836","135.4236","184299","Japan"
"Higashi-osaka","34.6794","135.6008","490819","Japan"
"Uenohara","35.6303","139.1086","22557","Japan"
"Izumozaki","37.5333","138.7167","4090","Japan"
"Sunagawa","43.4948","141.9035","16513","Japan"
"Komatsushimacho","34.0047","134.5906","36123","Japan"
"Nobeji","40.8644","141.1286","12352","Japan"
"Matsubushi","35.9258","139.8153","28494","Japan"
"Kyoto","35.0111","135.7669","1805000","Japan"
"Bibai","43.3329","141.8538","20507","Japan"
"Asahi","35.7203","140.6467","63507","Japan"
"Odacho-oda","35.1922","132.4997","32102","Japan"
"Utsunomiya","36.5500","139.8833","518197","Japan"
"Katsuren-haebaru","26.1911","127.7286","40541","Japan"
"Toride","35.9114","140.0503","103908","Japan"
"Nakayama","38.3333","140.2831","10617","Japan"
"Tokamachi","37.1275","138.7557","49472","Japan"
"Saijo","33.9196","133.1812","103760","Japan"
"Nakatsugawa","35.4875","137.5006","75500","Japan"
"Yamate","32.2464","130.7672","3196","Japan"
"Rankoshimachi","42.8092","140.5283","4605","Japan"
"Kasamatsucho","35.3672","136.7633","22415","Japan"
"Hiroshima","34.4000","132.4500","1306589","Japan"
"Kamata","33.5633","130.7117","35208","Japan"
"Nakashunbetsu","43.5553","144.9714","23211","Japan"
"Hofu","34.0500","131.5667","113170","Japan"
"Chichibu","35.9917","139.0856","59101","Japan"
"Shimotsuma","36.1844","139.9675","41499","Japan"
"Iwaki","37.0333","140.8833","336111","Japan"
"Kumamoto","32.8031","130.7078","738567","Japan"
"Morioka","39.6833","141.1500","290553","Japan"
"Nakata","30.5331","130.9586","7514","Japan"
"Ishikari","43.1783","141.3067","58284","Japan"
"Uwajima","33.2233","132.5606","69639","Japan"
"Kure","34.2492","132.5658","212159","Japan"
"Fukuyoshi","33.6833","130.7800","21360","Japan"
"Mibu","36.4272","139.8039","39151","Japan"
"Yabuki","37.2011","140.3386","16823","Japan"
"Higashi-Hiroshima","34.4167","132.7333","197347","Japan"
"Hayashima","34.6006","133.8283","12584","Japan"
"Kumano","33.8833","136.1000","15806","Japan"
"Ino","33.5486","133.4278","20750","Japan"
"Iyo","33.7575","132.7039","34927","Japan"
"Shimotoba","34.8839","135.6628","31292","Japan"
"Iwakura","35.2833","136.8667","47975","Japan"
"Omihachiman","35.1283","136.0981","81545","Japan"
"Hachimancho","40.5100","141.5400","239046","Japan"
"Nakoushi","26.6825","127.9728","9275","Japan"
"Furukawamen","33.2383","129.6506","13942","Japan"
"Sapporo","43.0621","141.3544","1961690","Japan"
"Ubuyama","32.9956","131.2169","1343","Japan"
"Tokashiki","26.1975","127.3644","761","Japan"
