"city","lat","lng","population","country"
"As Salt","32.0333","35.7333","88900","Jordan"
"Jarash","32.2723","35.8914","50745","Jordan"
"At Turrah","32.6368","35.9900","34948","Jordan"
"Al `Aqabah","29.5167","35.0000","140000","Jordan"
"Az Zarqa'","32.0833","36.1000","481300","Jordan"
"Sakib","32.2843","35.8092","11586","Jordan"
"Ma`an","30.1920","35.7360","50350","Jordan"
"Al Karak","31.1833","35.7000","21678","Jordan"
"Amman","31.9500","35.9333","4007526","Jordan"
"Irbid","32.5556","35.8500","1088100","Jordan"
"Al Mafraq","32.2833","36.2333","57118","Jordan"
"At Tafilah","30.8375","35.6042","25429","Jordan"
