"city","lat","lng","population","country"
"Arys","42.4297","68.8046","40707","Kazakhstan"
"Bayghanin","48.6917","55.8740","7657","Kazakhstan"
"Shakhtinsk","49.7100","72.5872","37899","Kazakhstan"
"Shiyeli","44.1689","66.7389","29832","Kazakhstan"
"Lugovoy","42.9472","72.7644","10242","Kazakhstan"
"Maqat","47.6500","53.3167","14756","Kazakhstan"
"Shar","49.6003","81.0549","9087","Kazakhstan"
"Qazaly","45.7628","62.1075","6582","Kazakhstan"
"Zhetisay","40.7753","68.3272","36494","Kazakhstan"
"Shongzhy","43.5421","79.4703","3902","Kazakhstan"
"Taraz","42.8833","71.3667","406262","Kazakhstan"
"Aral","46.8000","61.6667","29887","Kazakhstan"
"Zhitiqara","52.1902","61.1989","33587","Kazakhstan"
"Osakarovka","50.5799","72.5699","7305","Kazakhstan"
"Fort-Shevchenko","44.5171","50.2666","5213","Kazakhstan"
"Aqtobe","50.3000","57.1667","387807","Kazakhstan"
"Aqsu-Ayuly","48.7636","73.6722","4587","Kazakhstan"
"Tole Bi","43.6808","73.7628","19551","Kazakhstan"
"Burubaytal","44.9387","74.0303","100","Kazakhstan"
"Zharkent","44.1667","80.0067","43430","Kazakhstan"
"Ertis","53.3167","75.4500","7772","Kazakhstan"
"Makhambet","47.6714","51.5798","8905","Kazakhstan"
"Shu","43.5953","73.7448","42439","Kazakhstan"
"Sarqan","45.4203","79.9149","76919","Kazakhstan"
"Astrakhan","51.5228","69.7950","6313","Kazakhstan"
"Otar","43.5346","75.2139","11238","Kazakhstan"
"Sharbaqty","52.4999","78.1499","107","Kazakhstan"
"Stepnyak","52.8333","70.7833","4413","Kazakhstan"
"Qaskeleng","43.1983","76.6311","58418","Kazakhstan"
"Presnovka","54.6703","67.1500","5725","Kazakhstan"
"Zhaltyr","51.6324","69.8328","694","Kazakhstan"
"Pavlodarskoe","52.4000","76.8333","5319","Kazakhstan"
"Zaysan","47.4688","84.8646","17600","Kazakhstan"
"Kentau","43.5169","68.5044","81484","Kazakhstan"
"Taiynsha","53.8478","69.7639","12418","Kazakhstan"
"Ayagoz","47.9645","80.4344","41593","Kazakhstan"
"Qashyr","53.0804","76.0900","8931","Kazakhstan"
"Aqkol","43.4343","70.7726","2327","Kazakhstan"
"Taskesken","47.2231","80.7889","2999","Kazakhstan"
"Esik","43.3552","77.4524","36715","Kazakhstan"
"Qarqaraly","49.4249","75.4649","8195","Kazakhstan"
"Eski Ikan","43.1833","68.5333","14294","Kazakhstan"
"Lengir","42.1899","69.8799","23058","Kazakhstan"
"Baikonur","45.6300","63.3140","39161","Kazakhstan"
"Mangghystau","43.6905","51.1417","147443","Kazakhstan"
"Khromtau","50.2699","58.4500","23715","Kazakhstan"
"Bestobe","52.4997","73.0997","7189","Kazakhstan"
"Qazyqurt","41.7598","69.3880","14563","Kazakhstan"
"Ekibastuz","51.7298","75.3266","159760","Kazakhstan"
"Aqsu","52.0333","76.9167","69354","Kazakhstan"
"Qaraghandy","49.8000","73.1167","501129","Kazakhstan"
"Atasu","48.6903","71.6499","19616","Kazakhstan"
"Atyrau","47.1167","51.8833","163221","Kazakhstan"
"Rudnyy","52.9527","63.1300","124000","Kazakhstan"
"Satbayev","47.9000","67.5333","61883","Kazakhstan"
"Sholaqqorghan","43.7650","69.1814","9213","Kazakhstan"
"Tekeli","44.8333","78.8167","30707","Kazakhstan"
"Aqsu","52.4502","71.9597","8543","Kazakhstan"
"Shchuchinsk","52.9333","70.2000","45004","Kazakhstan"
"Zhangaozen","43.3004","52.8000","8895","Kazakhstan"
"Sergeevka","53.8800","67.4158","7344","Kazakhstan"
"Ereymentau","51.6303","73.1049","25141","Kazakhstan"
"Balqash","46.8500","75.0000","78002","Kazakhstan"
"Bulaevo","54.9056","70.4439","8433","Kazakhstan"
"Qulan","42.9204","72.7050","13128","Kazakhstan"
"Ushtobe","45.2653","77.9700","20492","Kazakhstan"
"Torghay","49.6260","63.4990","5277","Kazakhstan"
"Turkistan","43.3000","68.2436","227098","Kazakhstan"
"Qostanay","53.2144","63.6246","217135","Kazakhstan"
"Novoishimskiy","53.1981","66.7694","12064","Kazakhstan"
"Qulsary","46.9833","54.0165","37103","Kazakhstan"
"Arqalyq","50.2486","66.9114","28169","Kazakhstan"
"Mezhdurechenskoye","43.4528","76.7228","6972","Kazakhstan"
"Boralday","43.3341","76.8288","20996","Kazakhstan"
"Belogorka","50.7250","53.4603","543","Kazakhstan"
"Qarabalyq","53.7506","62.0502","9838","Kazakhstan"
"Uryzhar","47.0900","81.6228","14826","Kazakhstan"
"Qarazhal","48.0253","70.7999","22170","Kazakhstan"
"Makinsk","52.6404","70.4100","23020","Kazakhstan"
"Aqadyr","48.2749","72.8599","9710","Kazakhstan"
"Kishkenekol","53.6394","72.3439","6779","Kazakhstan"
"Qaratau","43.1667","70.4667","28804","Kazakhstan"
"Talghar","43.3000","77.2333","47301","Kazakhstan"
