"city","lat","lng","population","country"
"Naivasha","-0.7167","36.4359","14563","Kenya"
"Kapsabet","0.2000","35.1000","17918","Kenya"
"Kitale","1.0167","35.0000","63245","Kenya"
"Mombasa","-4.0500","39.6667","1200000","Kenya"
"Nanyuki","0.0167","37.0667","31577","Kenya"
"Mumias","0.3333","34.4833","99987","Kenya"
"Meru","0.0500","37.6500","1833000","Kenya"
"Mwingi","-0.9296","38.0700","11219","Kenya"
"Kericho","-0.3692","35.2839","30023","Kenya"
"Wajir","1.7500","40.0667","45771","Kenya"
"Garissa","-0.4569","39.6583","65881","Kenya"
"Busia","0.4608","34.1108","30777","Kenya"
"Karungu","-0.8496","34.1500","2376","Kenya"
"Nairobi","-1.2864","36.8172","5545000","Kenya"
"Nakuru","-0.2833","36.0667","307990","Kenya"
"Voi","-3.3696","38.5700","36487","Kenya"
"Mandera","3.9167","41.8333","30433","Kenya"
"Malindi","-3.2100","40.1000","94016","Kenya"
"Kendu Bay","-0.3596","34.6400","91248","Kenya"
"Athi River","-1.4500","36.9833","81302","Kenya"
"Kisii","-0.6698","34.7675","112417","Kenya"
"Moyale","3.5270","39.0560","24837","Kenya"
"Namanga","-2.5500","36.7833","13193","Kenya"
"Konza","-1.7496","37.1200","2004","Kenya"
"Marsabit","2.3333","37.9833","17127","Kenya"
"Eldama Ravine","0.0504","35.7200","17581","Kenya"
"Kisumu","-0.1000","34.7500","409928","Kenya"
"Eldoret","0.5167","35.2833","193830","Kenya"
"Thika","-1.0396","37.0900","99322","Kenya"
"Dadaab","0.0531","40.3086","5723","Kenya"
"Sotik","-0.6796","35.1200","71285","Kenya"
"Isiolo","0.3500","37.5833","45989","Kenya"
"Machakos","-1.5167","37.2667","114109","Kenya"
"Kilifi","-3.6333","39.8500","80339","Kenya"
"Kitui","-1.3667","38.0167","29062","Kenya"
"Lodwar","3.1167","35.6000","82970","Kenya"
"Embu","-0.5333","37.4500","41092","Kenya"
"Hola","-1.5000","40.0300","6931","Kenya"
"Homa Bay","-0.5167","34.4500","32174","Kenya"
"Kakamega","0.2833","34.7500","91778","Kenya"
"Nyeri","-0.4167","36.9500","98908","Kenya"
"Witu","-2.3796","40.4300","5380","Kenya"
"Maralal","1.1000","36.7000","20841","Kenya"
"Lamu","-2.2686","40.9003","18382","Kenya"
"Tsavo","-2.9828","38.4666","414","Kenya"
"Bungoma","0.5666","34.5666","55857","Kenya"
