"city","lat","lng","population","country"
"Taedong","40.6171","125.4501","1884","Korea, North"
"Tanch'on","40.4580","128.9110","345876","Korea, North"
"Ongjang","37.9371","125.3571","69195","Korea, North"
"Ch'osan-up","40.8255","125.8008","7786","Korea, North"
"Hoeryong","42.4333","129.7500","153532","Korea, North"
"Sinpo","40.0833","128.2500","152759","Korea, North"
"Sinuiju","40.1000","124.4000","359341","Korea, North"
"Kusong","39.9667","125.1667","196515","Korea, North"
"Munch'on","39.2590","127.3560","122934","Korea, North"
"Hamhung","39.9656","127.4886","614198","Korea, North"
"Haeju","38.0333","125.7167","241599","Korea, North"
"Pyongyang","39.0300","125.7300","2863000","Korea, North"
"Wonsan","39.1475","127.4461","363127","Korea, North"
"Hungnam","39.8231","127.6232","751322","Korea, North"
"Kaech'on","39.6986","125.9061","319554","Korea, North"
"Chongju","39.6500","125.3333","189742","Korea, North"
"P'yongsan","38.3367","126.3866","66260","Korea, North"
"P'ungsan","40.8175","128.1553","3839","Korea, North"
"Sunch'on","39.4167","125.9333","437000","Korea, North"
"Huich'on","40.1711","126.2758","168180","Korea, North"
"Chaedok","40.6723","129.2027","187270","Korea, North"
"P'yong-dong","39.2500","125.8500","236583","Korea, North"
"Sonbong","42.3377","130.4027","60864","Korea, North"
"Kaesong","37.9640","126.5644","338155","Korea, North"
"Anju","39.6167","125.6667","240117","Korea, North"
"Ch'ongjin","41.8000","129.7831","667929","Korea, North"
"Hyesan","41.4000","128.1833","192680","Korea, North"
"Kanggye","40.9667","126.6000","251971","Korea, North"
"Manpo","41.1570","126.2900","116760","Korea, North"
"Songnim","38.7333","125.6333","128831","Korea, North"
"Namsan","42.2304","129.2304","80146","Korea, North"
"Sil-li","39.4880","125.4640","19463","Korea, North"
"Sariwon","38.5039","125.7589","307764","Korea, North"
"Rajin","42.3444","130.3844","196954","Korea, North"
"Namp'o","38.7333","125.4000","310864","Korea, North"
"Changyon","38.2517","125.1021","48984","Korea, North"
