"city","lat","lng","population","country"
"Anseong","37.0078","127.2797","194765","Korea, South"
"Eumseong","36.9353","127.6897","10077","Korea, South"
"Yeosu","34.7368","127.7458","341994","Korea, South"
"Yeosu","34.7607","127.6622","273761","Korea, South"
"Suwon","37.2858","127.0100","1234300","Korea, South"
"Ulchin","37.0020","129.4003","14426","Korea, South"
"Ich'on","37.2792","127.4425","209003","Korea, South"
"Incheon","37.4639","126.6486","2913024","Korea, South"
"Wonju","37.3417","127.9208","330854","Korea, South"
"Songnam","37.4386","127.1378","948757","Korea, South"
"Asan","36.3500","126.9167","319929","Korea, South"
"Gwangmyeongni","37.4772","126.8664","318021","Korea, South"
"Yanggok","37.6367","127.2142","629061","Korea, South"
"Pohang","36.0322","129.3650","520305","Korea, South"
"Daegu","35.8667","128.6000","2461002","Korea, South"
"Anyang","37.3925","126.9269","573296","Korea, South"
"Chungju","36.9706","127.9322","211005","Korea, South"
"Gyeongsan","35.8167","128.7333","278500","Korea, South"
"Kyongju","35.8500","129.2167","264091","Korea, South"
"Andong","36.5656","128.7250","162180","Korea, South"
"Chinju","35.1928","128.0847","337230","Korea, South"
"Kunp'o","37.3675","126.9469","285721","Korea, South"
"Gimpo","37.6236","126.7142","352683","Korea, South"
"Ch'onan","36.8064","127.1522","651661","Korea, South"
"Miryang","35.4933","128.7489","103069","Korea, South"
"Kunsan","35.9786","126.7114","275155","Korea, South"
"Mokpo","34.7936","126.3886","239524","Korea, South"
"Hwasu-dong","37.2000","126.7667","655350","Korea, South"
"Hanam","37.5392","127.2147","154838","Korea, South"
"Paju","37.8328","126.8169","415345","Korea, South"
"Masan","35.1833","128.5500","429612","Korea, South"
"Ulsan","35.5500","129.3167","1166033","Korea, South"
"Ch'ungmu","34.8458","128.4236","137208","Korea, South"
"Boryeong","36.3333","126.6167","101852","Korea, South"
"Chuncheon","37.8747","127.7342","281596","Korea, South"
"Sa-ch'on","35.2347","128.3575","113335","Korea, South"
"Sokcho","38.2087","128.5912","85430","Korea, South"
"Bucheon","37.4989","126.7831","867678","Korea, South"
"Chech'on","37.1361","128.2119","136350","Korea, South"
"Uiwang","37.3447","126.9683","154879","Korea, South"
"Gwangju","35.1667","126.9167","1490092","Korea, South"
"Pocheon","37.8944","127.1992","163388","Korea, South"
"Sangju","36.4153","128.1606","102892","Korea, South"
"Seoul","37.5600","126.9900","21794000","Korea, South"
"Yangsan","35.3386","129.0386","297532","Korea, South"
"Iksan","35.9439","126.9544","302310","Korea, South"
"Jeju","33.5097","126.5219","435413","Korea, South"
"Sosan","36.7817","126.4522","169221","Korea, South"
"Pyeongtaek","36.9947","127.0889","457873","Korea, South"
"Busan","35.1000","129.0403","3453198","Korea, South"
"Uijeongbu","37.7486","127.0389","421579","Korea, South"
"Gangneung","37.7556","128.8961","215677","Korea, South"
"Guri","37.5947","127.1428","180063","Korea, South"
"Daejeon","36.3510","127.3850","1475221","Korea, South"
"Changwon","35.2281","128.6811","1046054","Korea, South"
"Yongju","36.8217","128.6308","109266","Korea, South"
"Yoju","37.2939","127.6383","109937","Korea, South"
"Suncheon","34.9506","127.4875","265390","Korea, South"
"Noksan","36.2039","127.0847","124246","Korea, South"
"Goyang","37.6564","126.8350","1061929","Korea, South"
"Ansan","37.3236","126.8219","652800","Korea, South"
"Seogwipo","33.2497","126.5600","153861","Korea, South"
"Cheongju","36.6372","127.4897","833276","Korea, South"
"Osan","37.1450","127.0694","213840","Korea, South"
"Gwangyang","34.9403","127.7017","151834","Korea, South"
"Jeonju","35.8219","127.1489","653055","Korea, South"
