"city","lat","lng","population","country"
"Babiq","42.9631","20.5172","4","Kosovo"
"Lashkobare","42.3945","21.1233","2075","Kosovo"
"Koshtove","42.8744","20.7861","1702","Kosovo"
"Viti","42.3167","21.3500","46987","Kosovo"
"Grabovci i Poshtem","42.6483","21.0054","1017","Kosovo"
"Mohlan","42.3728","20.9033","436","Kosovo"
"Poslishte","42.1789","20.6714","1520","Kosovo"
"Karace","42.8747","20.9978","192","Kosovo"
"Zuzaku","42.6792","21.6436","2","Kosovo"
"Dumosh","42.8547","21.2172","1207","Kosovo"
"Trnje","42.3300","20.7656","871","Kosovo"
"Banjska Reka","42.9733","20.7808","465","Kosovo"
"Gllogovc","42.5872","20.8206","369","Kosovo"
"Bllace","42.4231","20.8625","3357","Kosovo"
"Barileve","42.7544","21.1191","2212","Kosovo"
"Skivjan","42.4303","20.3838","2254","Kosovo"
"Leshak","43.1669","20.7419","2180","Kosovo"
"Belobrod","42.1178","20.6832","948","Kosovo"
"Bresnice","42.9636","20.7883","145","Kosovo"
"Vrban","42.3010","21.2786","2008","Kosovo"
"Stroc","42.7597","21.0491","4237","Kosovo"
"Koretin","42.5500","21.5972","3476","Kosovo"
"Polac","42.7378","20.8233","2701","Kosovo"
"Kutlovac","42.9178","20.9186","473","Kosovo"
"Vlashnje","42.2025","20.6625","1700","Kosovo"
"Lisice","42.9075","20.8833","519","Kosovo"
"Bishtazhin","42.3556","20.5119","429","Kosovo"
"Mikushnice","42.7675","20.8436","643","Kosovo"
"Dvoran","42.3106","20.9072","140","Kosovo"
"Vermice","42.1586","20.5647","661","Kosovo"
"Llapllaselle","42.5967","21.1408","892","Kosovo"
"Tunel i Pare","42.9222","20.8983","1006","Kosovo"
"Gornje Vinarce","42.8936","20.7989","362","Kosovo"
"Kojske","42.5300","21.1386","57605","Kosovo"
"Peqan","42.3825","20.8230","2151","Kosovo"
"Ternavice","43.0864","21.0647","27","Kosovo"
"Vaganice","42.8564","20.8603","2000","Kosovo"
"Rahovec","42.3994","20.6547","56208","Kosovo"
"Smire","42.2982","21.3212","3872","Kosovo"
"Prilepnica","42.5128","21.5192","1944","Kosovo"
"Samodraza","42.3634","20.7403","3249","Kosovo"
"Stari Kacanik","42.2969","21.2231","1940","Kosovo"
"Baks","42.7192","20.8767","991","Kosovo"
"Gjakove","42.3833","20.4333","94556","Kosovo"
"Kamenice","42.5839","21.5750","36085","Kosovo"
"Sllatine","42.8531","20.9694","491","Kosovo"
"Koliq","42.7733","21.2861","466","Kosovo"
"Sopije","42.3356","20.8436","3017","Kosovo"
"Zheger","42.3706","21.4850","3327","Kosovo"
"Ceraje","43.0250","20.8583","150","Kosovo"
"Kacandoll","42.9742","21.0669","119","Kosovo"
"Bardhi i Madh","42.6315","21.0222","2750","Kosovo"
"Istog","42.7833","20.4833","39289","Kosovo"
"Kamenice","43.0172","20.8197","2","Kosovo"
"Lipjan","42.5300","21.1386","57605","Kosovo"
"Gracanice","42.6000","21.2000","10675","Kosovo"
"Cabic","42.5961","20.7144","862","Kosovo"
