"city","lat","lng","population", "country"
"Lebedinovka","42.8800","74.6800","20709","Kyrgyzstan"
"Bash-Kayyngdy","41.1500","75.9000","4078","Kyrgyzstan"
"Suluktu","39.9333","69.5667","13378","Kyrgyzstan"
"At-Bashy","41.1725","75.7968","15601","Kyrgyzstan"
"Aydarken","39.9333","71.3333","10331","Kyrgyzstan"
"Toktogul","41.8826","72.9372","26115","Kyrgyzstan"
"Chon-Tash","42.7496","74.6017","704","Kyrgyzstan"
"Kongorchok","41.2500","74.6003","1434","Kyrgyzstan"
"Grigor'evka","42.7200","77.4700","5133","Kyrgyzstan"
"Shopokov","42.8167","74.2333","8749","Kyrgyzstan"
"Kyzyl-Bayrak","42.7150","76.0311","428","Kyrgyzstan"
"Tash-Komur","41.3500","72.2167","19310","Kyrgyzstan"
"Balykchy","42.4667","76.1833","42380","Kyrgyzstan"
"Yur'evka","42.7153","75.0344","3953","Kyrgyzstan"
"Bosteri","42.6500","77.1800","7815","Kyrgyzstan"
"Talas","42.5184","72.2429","35172","Kyrgyzstan"
"Bishkek","42.8667","74.5667","1027200","Kyrgyzstan"
"Batken","40.0625","70.8194","12134","Kyrgyzstan"
"Kyzyl-Kyya","40.2500","72.1167","31727","Kyrgyzstan"
"Klyuchevka","42.5686","71.8172","5596","Kyrgyzstan"
"Kok-Janggak","41.0307","73.2058","15000","Kyrgyzstan"
"Alamedin","42.8900","74.6300","11773","Kyrgyzstan"
"Karakol","42.5000","78.3833","63377","Kyrgyzstan"
"Naryn","41.4333","76.0000","34822","Kyrgyzstan"
"Ak-Jar","40.7994","73.4703","1810","Kyrgyzstan"
"Kochkor-Ata","41.0358","72.4814","14814","Kyrgyzstan"
"Kara-Kol","41.6283","72.6703","18843","Kyrgyzstan"
"Osh","40.5333","72.7833","251000","Kyrgyzstan"
"Kerben","41.5000","71.7500","14141","Kyrgyzstan"
"Ozgon","40.7667","73.3000","49410","Kyrgyzstan"
"Mayluu-Suu","41.2457","72.4480","20200","Kyrgyzstan"
"Isfana","39.8333","69.5167","18244","Kyrgyzstan"
"Kara-Suu","40.7000","72.8833","20862","Kyrgyzstan"
"Jangy-Nookat","40.2500","72.5500","21049","Kyrgyzstan"
"Norus","42.7003","74.7942","382","Kyrgyzstan"
"Kaji-Say","42.1400","77.1806","4220","Kyrgyzstan"
"Romanovka","42.8600","74.3300","3102","Kyrgyzstan"
"Madaniyat","42.4833","71.9167","1394","Kyrgyzstan"
"Tash-Dobo","42.7237","74.5721","5397","Kyrgyzstan"
"Chaek","41.9300","74.5100","7009","Kyrgyzstan"
"Chong-Oruktu","42.7300","77.8400","2045","Kyrgyzstan"
"Tokmok","42.8390","75.2910","53231","Kyrgyzstan"
"Cholpon-Ata","42.6500","77.0833","11520","Kyrgyzstan"
"Kyzyl-Suu","42.7067","75.4790","1371","Kyrgyzstan"
"Kant","42.8833","74.8500","21589","Kyrgyzstan"
"Jalal-Abad","40.9375","72.9861","89004","Kyrgyzstan"
"Belovodskoe","42.8333","74.1167","21275","Kyrgyzstan"
"Novopavlovka","42.8700","74.4800","18332","Kyrgyzstan"
"Kara-Balta","42.8306","73.8857","74133","Kyrgyzstan"
