"city","lat","lng","population", "country"
"Louangphabang","19.8931","102.1381","53792","Laos"
"Ban Boten","21.1810","101.6713","2500","Laos"
"Salavan","15.7167","106.4167","5521","Laos"
"Attapu","14.8000","106.8333","19200","Laos"
"Ban Houayxay","20.2833","100.4167","17687","Laos"
"Savannakhet","16.5500","104.7500","124000","Laos"
"Phongsali","21.6836","102.1053","15083","Laos"
"Pakxe","15.1167","105.7833","119848","Laos"
"Champasak","14.8833","105.8667","13400","Laos"
"Xam Nua","20.4133","104.0480","38992","Laos"
"Xiangkhoang","19.3337","103.3666","5189","Laos"
"Thakhek","17.4000","104.8000","70000","Laos"
"Louang Namtha","20.9500","101.4167","3225","Laos"
"Xaignabouli","19.2576","101.7103","16200","Laos"
"Vientiane","17.9667","102.6000","760000","Laos"
