"city","lat","lng","population","country"
"Ardava","56.1408","26.8256","120","Latvia"
"Zundani","56.4236","26.2144","29","Latvia"
"Veckeipene","56.8253","25.1864","40","Latvia"
"Feimani","56.2742","27.0447","329","Latvia"
"Ozolmuiza","57.6364","25.0475","175","Latvia"
"Luzna","57.6000","21.8667","2","Latvia"
"Pilskalne","55.9750","26.2642","137","Latvia"
"Jerceni","57.6914","25.6517","155","Latvia"
"Veczosna","56.3347","27.3036","103","Latvia"
"Polsas","57.3958","27.4453","29","Latvia"
"Ramava","56.8875","24.1578","1387","Latvia"
"Stuborova","57.4983","27.4267","11","Latvia"
"Savenieki","56.7986","22.0608","6","Latvia"
"Naukseni","57.8836","25.4528","651","Latvia"
"Skurbeniesi","56.7433","24.4756","15","Latvia"
"Zadzene","56.7961","25.1147","86","Latvia"
"Silakrogs","57.1275","27.4008","13","Latvia"
"Brutuli","57.4547","25.8886","97","Latvia"
"Kipati","57.3336","23.0608","56","Latvia"
"Vadakste","56.3764","22.7475","178","Latvia"
"Asune","56.0261","27.6214","240","Latvia"
"Vidrizi","57.3450","24.6622","279","Latvia"
"Daugavpils","55.8714","26.5161","80627","Latvia"
"Nagelmuiza","57.0814","24.3100","548","Latvia"
"Liezere","57.0153","26.0656","192","Latvia"
"Silene","55.7506","26.7806","602","Latvia"
"Lielvarzi","56.7997","24.2425","26","Latvia"
"Dizseni","57.2153","22.8583","35","Latvia"
"Rogovka","56.7086","27.4147","240","Latvia"
"Turkalne","56.8561","24.6972","184","Latvia"
"Lielvircava","56.5164","23.7514","270","Latvia"
"Cervonka","55.8244","26.7719","196","Latvia"
"Zosuli","56.8253","27.1956","25","Latvia"
"Rozeni","57.8892","24.6511","120","Latvia"
"Ipiki","58.0114","25.1789","94","Latvia"
"Ungurpils","57.7722","24.8128","250","Latvia"
"Leitani","56.1061","27.0192","14","Latvia"
"Pociems","57.5967","24.8517","250","Latvia"
"Torkova","56.9842","27.5803","5","Latvia"
"Krapa","57.1286","26.6569","86","Latvia"
"Rokuli","56.6142","26.6628","2","Latvia"
"Rundeni","56.2667","27.8333","195","Latvia"
"Tepenica","57.2181","27.6267","64","Latvia"
"Jurkalne","57.0000","21.3833","195","Latvia"
"Ezeri","57.1211","22.2733","30","Latvia"
"Vecruzina","56.4444","27.0881","361","Latvia"
"Skeles","56.6200","26.6325","16","Latvia"
"Augsligatne","57.1869","25.0361","1435","Latvia"
"Jaunklidzis","57.5778","25.7758","84","Latvia"
"Krampinas","56.8456","27.2917","23","Latvia"
"Veremes","56.5867","27.4017","16","Latvia"
"Ukri","56.3408","23.0581","151","Latvia"
"Lode","56.9125","26.0989","6","Latvia"
"Vecsnikere","56.4061","23.0414","8","Latvia"
"Veca Muiza","56.9619","22.4222","36","Latvia"
"Tadenava","56.2750","26.1250","18","Latvia"
"Virkeni","57.9203","25.2528","75","Latvia"
"Cirava","56.7333","21.3833","415","Latvia"
"Krievciems","56.6292","25.8875","12","Latvia"
"Sakova","56.0431","27.1383","40","Latvia"
"Mazie Bernani","56.1531","27.0861","26","Latvia"
"Degumnieki","56.7994","26.7478","234","Latvia"
"Blidene","56.6494","22.7950","351","Latvia"
"Strodi","56.7781","27.5897","2","Latvia"
"Novomisli","56.1425","27.6261","18","Latvia"
"Miltini","56.6278","23.3525","497","Latvia"
"Bizi","56.5389","27.5136","24","Latvia"
"Zalani","56.5675","26.6436","21","Latvia"
"Kaibala","56.7006","24.8736","275","Latvia"
"Juci","56.6378","25.7406","15","Latvia"
"Mikeltornis","57.5833","21.9667","28","Latvia"
"Kiegelceplis","56.5403","22.8264","32","Latvia"
"Lielsalas","57.3717","22.3669","79","Latvia"
"Selija","56.5581","25.6358","99","Latvia"
"Bozova","56.8136","27.6953","136","Latvia"
"Struzani","56.6972","27.2356","719","Latvia"
"Struzani","56.7458","27.1808","86","Latvia"
"Obulderi","56.9300","27.0333","3","Latvia"
"Marsneni","57.4217","25.5808","154","Latvia"
"Pure","57.0358","22.9069","600","Latvia"
"Lielkangari","56.9275","24.6450","129","Latvia"
"Snikere","56.3983","23.1122","114","Latvia"
"Rava","56.6419","21.3472","38","Latvia"
"Meiksani","56.1747","28.0944","4","Latvia"
"Skujas","56.0872","27.0078","23","Latvia"
"Cibla","56.5500","27.8839","161","Latvia"
"Embute","56.5060","21.8190","21","Latvia"
"Peternieki","56.7622","23.9344","260","Latvia"
"Adzuni","56.3192","24.0636","169","Latvia"
"Balgale","57.1753","22.8903","61","Latvia"
"Kleperova","56.5325","27.3497","41","Latvia"
"Dalbe","56.7425","23.8922","110","Latvia"
"Valgunde","56.7481","23.6814","333","Latvia"
"Kukas","56.5442","26.0961","238","Latvia"
"Patkule","56.9017","26.2981","22","Latvia"
"Rozupe","56.3336","26.3569","271","Latvia"
"Meirani","56.8289","26.6158","103","Latvia"
"Vecslabada","56.2500","27.9833","279","Latvia"
"Bracas","56.6039","22.1072","12","Latvia"
"Purvinas","56.8250","27.3900","9","Latvia"
"Kalncempji","57.3222","26.8850","71","Latvia"
"Laidi","56.7456","21.8808","176","Latvia"
"Punas","57.3439","22.4936","422","Latvia"
"Bikernieki","56.5203","25.6203","14","Latvia"
"Unguri","57.8733","25.1053","19","Latvia"
"Ezera Ukini","56.1664","27.0381","19","Latvia"
"Luznava","56.3667","27.2667","307","Latvia"
"Medzes Muiza","56.6556","21.1294","15","Latvia"
"Murmastiene","56.6689","26.5639","253","Latvia"
"Olaine","56.7844","23.9369","10324","Latvia"
"Jermolas","56.5678","27.3178","26","Latvia"
"Varnavici","55.8306","27.2944","70","Latvia"
"Drabesi","57.2425","25.2825","119","Latvia"
"Stalbe","57.3711","25.0322","356","Latvia"
"Priedaine","56.9653","21.9194","809","Latvia"
"Gajova","56.5311","27.4178","13","Latvia"
"Bikseja","57.4747","25.7092","35","Latvia"
"Apriki","56.8042","21.5056","79","Latvia"
"Alave","56.5025","23.2142","30","Latvia"
"Sunakste","56.4592","25.4811","155","Latvia"
"Trenci","56.8978","23.7333","73","Latvia"
"Zilani","56.5144","25.9433","295","Latvia"
"Draudziba","56.6389","22.4725","351","Latvia"
"Vecauce","56.4675","22.8903","433","Latvia"
"Jumurda","56.9447","25.7372","76","Latvia"
"Bille","57.2197","25.2403","155","Latvia"
"Taurupe","56.8825","25.3389","245","Latvia"
"Dubuli","56.2589","27.6144","164","Latvia"
"Kalupe","56.1000","26.5500","559","Latvia"
"Krimunas","56.5692","23.3761","405","Latvia"
"Kandava","57.0364","22.7761","3336","Latvia"
"Mazlauki","56.5197","23.8503","183","Latvia"
"Lielplatone","56.4367","23.6383","290","Latvia"
"Garkalne","57.0458","24.4186","2019","Latvia"
"Viesatas","56.7964","22.8483","152","Latvia"
"Ilini","57.2661","22.3358","12","Latvia"
"Rasnupli","56.7150","27.3769","153","Latvia"
"Varzas","57.3853","24.4039","114","Latvia"
"Mazozoli","56.9253","25.4703","14","Latvia"
"Skieneri","57.1414","26.7372","352","Latvia"
"Ozolpils","56.9214","23.2617","43","Latvia"
"Zalenieki","56.5267","23.5078","575","Latvia"
"Brieksine","56.9936","27.6522","12","Latvia"
"Ergeme","57.8167","25.8167","292","Latvia"
"Blonti","56.6133","27.7750","210","Latvia"
"Lasi","55.9583","26.1167","49","Latvia"
"Sece","56.5594","25.3981","357","Latvia"
"Berzaune","56.8083","26.0325","317","Latvia"
