"city","lat","lng","population","country"
"Tripoli","34.4333","35.8333","530000","Lebanon"
"Jounie","33.9697","35.6156","102221","Lebanon"
"Sharbila","34.5833","36.1461","210","Lebanon"
"Tyre","33.2667","35.2000","160000","Lebanon"
"Beirut","33.8869","35.5131","361366","Lebanon"
"Baabda","33.8333","35.5333","9000","Lebanon"
"El Qaa","34.3436","36.4756","12000","Lebanon"
"Marjayoun","33.3667","35.5833","3000","Lebanon"
"Zahle","33.8439","35.9072","100000","Lebanon"
"Baalbek","34.0061","36.2086","24000","Lebanon"
"Sidon","33.5606","35.3981","200000","Lebanon"
"Nabatiye","33.3833","35.4500","80000","Lebanon"
"Amioun","34.2994","35.8097","10000","Lebanon"
