"city","lat","lng","population","country"
"Maseru","-29.3100","27.4800","330790","Lesotho"
"Quthing","-30.4001","27.7002","15000","Lesotho"
"Teyateyaneng","-29.1500","27.7333","75115","Lesotho"
"Thaba-Tseka","-29.5333","28.6000","5423","Lesotho"
"Mohale's Hoek","-30.1590","27.4800","24992","Lesotho"
"Butha-Buthe","-28.7833","28.2333","10000","Lesotho"
"Mokhotlong","-29.2885","29.0656","8809","Lesotho"
"Mafeteng","-29.8231","27.2375","57059","Lesotho"
"Leribe","-28.8734","28.0416","47675","Lesotho"
"Maputsoe","-28.8833","27.9000","32117","Lesotho"
