"city","lat","lng","population","country"
"Al Marj","32.5005","20.8300","169540","Libya"
"Misratah","32.3778","15.0901","259056","Libya"
"Tajura'","32.8819","13.3400","48836","Libya"
"Tajarhi","24.2622","14.5603","1500","Libya"
"Ghadamis","30.1333","9.5000","6623","Libya"
"Al Jawf","24.2167","23.3000","24132","Libya"
"Al Jaghbub","29.7504","24.5166","1744","Libya"
"Benghazi","32.1167","20.0667","631555","Libya"
"Al Bayda'","32.7628","21.7550","250000","Libya"
"Darnah","32.7648","22.6391","127974","Libya"
"Zillah","28.5504","17.5834","10","Libya"
"Al Khums","32.6604","14.2600","201943","Libya"
"Ghat","24.9500","10.3167","22000","Libya"
"Surt","31.2000","16.6000","76788","Libya"
"Hun","29.1167","15.9333","18878","Libya"
"Al `Uqaylah","30.2558","19.1994","100","Libya"
"Sabha","27.0333","14.4333","116016","Libya"
"Sabratah","32.7922","12.4842","102038","Libya"
"Zuwarah","32.9333","12.0833","80310","Libya"
"Shahhat","32.8167","21.8500","45000","Libya"
"Nalut","31.8804","10.9700","66609","Libya"
"Qaminis","31.6572","20.0144","5348","Libya"
"Murzuq","25.9136","13.9336","47324","Libya"
"Awjilah","29.1081","21.2869","6610","Libya"
"Yafran","32.0628","12.5267","72662","Libya"
"Daraj","30.1500","10.4500","931","Libya"
"Gharyan","32.1669","13.0167","187854","Libya"
"Tobruk","32.0833","23.9500","135832","Libya"
"Mizdah","31.4337","12.9833","26107","Libya"
"Ajdabiya","30.7700","20.2200","143833","Libya"
"Birak","27.5333","14.2834","45421","Libya"
"As Sidrah","30.6704","18.2666","50","Libya"
"Tmassah","26.3666","15.8000","500","Libya"
"Maradah","29.2337","19.2166","2500","Libya"
"Tripoli","32.8752","13.1875","1126000","Libya"
"Az Zawiyah","32.7604","12.7200","200000","Libya"
"Bani Walid","31.7455","13.9835","50824","Libya"
"Umm al `Abid","27.5170","15.0333","300","Libya"
