"city","lat","lng","population", "country"
"Schaan","47.1667","9.5167","5998","Liechtenstein"
"Schellenberg","47.2283","9.5395","1091","Liechtenstein"
"Bendern","47.2111","9.5075","1664","Liechtenstein"
"Planken","47.1801","9.5599","478","Liechtenstein"
"Mauren","47.2197","9.5428","4404","Liechtenstein"
"Gamprin","47.2199","9.5099","1663","Liechtenstein"
"Ruggell","47.2450","9.5332","2295","Liechtenstein"
"Triesenberg","47.1167","9.5333","2643","Liechtenstein"
"Vaduz","47.1415","9.5215","36281","Liechtenstein"
"Eschen","47.2000","9.5167","4459","Liechtenstein"
