"city","lat","lng","population", "country"
"Islynos","55.5106","22.7082","2","Lithuania"
"Pikiskes","54.1580","24.7890","1","Lithuania"
"Molavenai","55.4500","22.8833","14","Lithuania"
"Geguzinis","54.6810","24.1390","5","Lithuania"
"Kiduliai","55.0639","22.7889","354","Lithuania"
"Pagiriai","54.2590","23.5510","0","Lithuania"
"Pajusine","54.9440","25.6430","20","Lithuania"
"Povilauskai","55.6620","24.1260","7","Lithuania"
"Laukinciai","54.3560","23.8580","61","Lithuania"
"Voniskiai","55.0780","23.0810","182","Lithuania"
"Gacionys","56.1360","25.1690","2","Lithuania"
"Baliskiai","55.3820","26.1890","25","Lithuania"
"Kaniukai","55.6640","23.0980","33","Lithuania"
"Stalgas","55.7970","21.8670","51","Lithuania"
"Raikenai","56.0610","25.1500","137","Lithuania"
"Rudupys","55.2356","25.7892","0","Lithuania"
"Puodziai","55.4680","25.6830","72","Lithuania"
"Puodziai","55.7350","25.6110","1","Lithuania"
"Puodziai","54.3561","24.6389","363","Lithuania"
"Vigarai","55.9940","25.8760","0","Lithuania"
"Grazuciai","54.7170","23.8970","117","Lithuania"
"Ziukai","56.0120","24.2700","6","Lithuania"
"Pastulgiai","55.4900","22.6900","26","Lithuania"
"Raicioniai","55.5700","24.0750","16","Lithuania"
"Varnute","55.0920","24.2570","0","Lithuania"
"Stirnele","55.2310","25.6600","3","Lithuania"
"Nauja Pasamine","55.2031","26.0281","2","Lithuania"
"Gorupe","55.0380","24.8570","0","Lithuania"
"Pavartyciai","55.7720","23.7310","711","Lithuania"
"Rudeliske","55.0560","25.9720","0","Lithuania"
"Apideme","55.6900","23.0230","8","Lithuania"
"Plikiskiai","56.3361","23.6639","315","Lithuania"
"Rezaliai","55.6460","23.0790","0","Lithuania"
"Dzencialauka","54.6180","23.4250","95","Lithuania"
"Skaistine","55.8978","25.9708","0","Lithuania"
"Alsiai","56.3220","23.4530","127","Lithuania"
"Kunotai","55.7010","25.9750","7","Lithuania"
"Bagociai","54.1111","24.7419","17","Lithuania"
"Palukojis","55.6980","23.0530","1","Lithuania"
"Galazeriai","55.9070","25.8380","10","Lithuania"
"Budriai","55.8750","21.4530","204","Lithuania"
"Jotaineliai","55.5220","24.4220","3","Lithuania"
"Kuksos","55.2950","26.7210","0","Lithuania"
"Buntiskes","54.6470","24.3890","18","Lithuania"
"Misuciai","55.4370","22.2250","60","Lithuania"
"Paraisupys","54.6160","23.4640","6","Lithuania"
"Kuturiai","55.1100","22.8030","59","Lithuania"
"Margininkai","54.7920","24.0500","178","Lithuania"
"Milvyda","54.1390","24.7220","6","Lithuania"
"Margininkai","55.5190","23.8640","14","Lithuania"
"Konstantinavas","55.0910","26.1940","6","Lithuania"
"Konstantinavas","55.1820","26.1260","0","Lithuania"
"Girdenai","55.1670","26.4160","46","Lithuania"
"Kujokai","55.7340","22.7970","3","Lithuania"
"Pumputiskis","55.0850","25.0200","0","Lithuania"
"Liperiske","55.2347","22.4806","5","Lithuania"
"Pagrubys","56.0870","25.4290","2","Lithuania"
"Mataiciai","55.6140","21.7170","108","Lithuania"
"Pazeimene","55.0350","25.8730","14","Lithuania"
"Bertesiunai","54.9360","24.6030","9","Lithuania"
"Drasiai","55.0400","25.3760","23","Lithuania"
"Opskalnis","55.6660","22.8570","0","Lithuania"
"Kuliai","54.5720","25.5470","106","Lithuania"
"Ivoniskes","55.8240","25.9320","9","Lithuania"
"Trakiskiai","54.4530","23.2060","161","Lithuania"
"Libisonys","55.3500","24.6060","0","Lithuania"
"Padrujys","55.6220","24.8280","0","Lithuania"
"Vaivadiskes","55.2990","25.6750","3","Lithuania"
"Surdaugiai","55.5110","24.7720","22","Lithuania"
"Stulgiai","55.0690","23.1140","36","Lithuania"
"Koptiske","55.6700","26.5440","11","Lithuania"
"Laukagaliai","55.0811","24.3000","15","Lithuania"
"Girneliske","55.2780","26.2630","7","Lithuania"
"Padaugupis","55.0580","23.8810","13","Lithuania"
"Vaidziai","55.6910","22.9340","24","Lithuania"
"Buteikiai","56.0030","25.4970","10","Lithuania"
"Milzavenai","55.4780","22.7560","59","Lithuania"
"Budreliskes","54.7270","25.6150","11","Lithuania"
"Spragilai","55.2820","25.2800","0","Lithuania"
"Ilgabrade","54.9110","25.0040","3","Lithuania"
"Rudamina","54.2883","23.4517","296","Lithuania"
"Dambava","54.5910","23.5310","75","Lithuania"
"Santakis","55.8810","21.7150","12","Lithuania"
"Pasiekai","55.7320","26.1550","1","Lithuania"
"Pasiekai","55.6710","26.5690","0","Lithuania"
"Kemsiai","56.3040","23.3450","77","Lithuania"
"Kebiske","55.0320","26.1810","1","Lithuania"
"Senieji Vedegiskiai","55.0400","23.3610","4","Lithuania"
"Tauciai","56.0650","22.2450","16","Lithuania"
"Dainiai","54.5130","24.9540","32","Lithuania"
"Butkunai","55.7610","25.1080","21","Lithuania"
"Isdagieciai","56.0680","23.6620","7","Lithuania"
"Pasimniai","54.3940","23.6250","9","Lithuania"
"Nasloniskis","55.5290","25.8060","3","Lithuania"
