"city","lat","lng","population", "country"
"Marnach","50.0535","6.0614","753","Luxembourg"
"Remich","49.5444","6.3667","3787","Luxembourg"
"Steinfort","49.6600","5.9156","5617","Luxembourg"
"Heiderscheid","49.8875","5.9778","1330","Luxembourg"
"Echternach","49.8117","6.4217","5650","Luxembourg"
"Mondorf-les-Bains","49.5069","6.2806","5404","Luxembourg"
"Rumelange","49.4597","6.0306","5613","Luxembourg"
"Esch-sur-Alzette","49.4969","5.9806","36228","Luxembourg"
"Frisange","49.5150","6.1917","4769","Luxembourg"
"Luxembourg","49.6106","6.1328","124509","Luxembourg"
"Grevenmacher","49.6747","6.4419","3958","Luxembourg"
"Diekirch","49.8678","6.1558","6242","Luxembourg"
"Bascharage","49.5667","5.9167","5460","Luxembourg"
