"city","lat","lng","population","country"
"Trn","41.0731","21.4106","305","Macedonia"
"Colosevo","41.7547","21.7961","210","Macedonia"
"Stepance","42.2500","21.9044","438","Macedonia"
"Plasnica","41.4667","21.1167","2513","Macedonia"
"Poleto","41.9986","22.7600","200","Macedonia"
"Raovik","41.9431","21.2178","377","Macedonia"
"Jagol Dolenci","41.6278","21.0153","13","Macedonia"
"Cvetisnica","42.3008","22.0153","141","Macedonia"
"Barovo","41.3439","22.1406","393","Macedonia"
"Grncari","41.0172","21.0533","1205","Macedonia"
"Niviste","41.7306","20.5914","84","Macedonia"
"Virovo","41.2328","21.0900","151","Macedonia"
"Cvetovo","41.8581","21.4097","967","Macedonia"
"Kurtamzali","41.2956","22.6944","259","Macedonia"
"Algunja","42.2606","21.8182","787","Macedonia"
"Dolno Melnicani","41.5158","20.5736","293","Macedonia"
"Ribnica","41.7203","20.6097","5","Macedonia"
"Burilcevo","41.8425","22.2961","251","Macedonia"
"Mrsevci","42.0159","21.6537","666","Macedonia"
"Kopance","42.0481","21.1378","1059","Macedonia"
"Orizari","42.1611","21.6183","2094","Macedonia"
"Gorna Gonovica","41.7086","20.9081","193","Macedonia"
"Oktisi","41.2325","20.6072","3133","Macedonia"
"Podmocani","41.0247","21.0503","306","Macedonia"
"Opila","42.1428","22.1442","1309","Macedonia"
"Oslomej","41.5833","21.0000","40","Macedonia"
"Balinci","41.2892","22.5136","337","Macedonia"
"Gugakovo","41.2836","21.7978","133","Macedonia"
"Elovo","41.8414","21.3708","902","Macedonia"
"Prilep","41.3464","21.5542","66246","Macedonia"
"Atista","41.4533","21.0392","31","Macedonia"
"Dragarino","41.0977","21.3088","148","Macedonia"
"Ivanjevci","41.2064","21.3589","989","Macedonia"
"Zabrcani","41.4289","21.4975","253","Macedonia"
"Tazevo","41.7217","21.2494","258","Macedonia"
"Gecerlija","41.4833","22.7167","394","Macedonia"
"Preljubiste","42.0336","21.1000","419","Macedonia"
"Besvica","41.3847","22.1828","770","Macedonia"
"Neraste","42.1067","21.1089","3485","Macedonia"
"Sopiste","41.9500","21.4333","5554","Macedonia"
"Dedebalci","41.1164","21.4842","561","Macedonia"
"Przdevo","41.4200","22.1661","668","Macedonia"
"Jagol","41.6271","21.0060","406","Macedonia"
"Melnica","41.6417","21.5900","1490","Macedonia"
"Crniliste","41.5306","21.4144","1765","Macedonia"
"Slivica","40.9667","21.6000","282","Macedonia"
"Golema Crcorija","42.3136","22.3316","492","Macedonia"
"Orkuse","41.7433","20.8019","221","Macedonia"
"Dzepin","41.2478","20.7381","424","Macedonia"
"Patiska Reka","41.8000","21.3169","706","Macedonia"
"Arangel","41.5947","21.0244","709","Macedonia"
"Bratin Dol","41.0550","21.2614","308","Macedonia"
"Dolni Podlog","41.8861","22.3669","514","Macedonia"
"Nogaevci","41.6289","21.9053","331","Macedonia"
"Strumica","41.4375","22.6431","45087","Macedonia"
"Popovjani","41.6144","21.0722","399","Macedonia"
"Brajcino","40.9064","21.1592","933","Macedonia"
"Larce","41.9347","21.1256","1868","Macedonia"
"Mojno","41.1494","21.5667","266","Macedonia"
"Ljubanista","40.9158","20.7689","700","Macedonia"
"Toplica","41.4006","21.7419","240","Macedonia"
"Tenovo","41.8950","20.9836","1602","Macedonia"
"Kukurecani","41.0956","21.3256","1637","Macedonia"
"Dolna Carlija","41.1414","21.4386","538","Macedonia"
"Kosari","42.2038","22.3581","631","Macedonia"
"Dukatino","41.5436","22.5444","480","Macedonia"
"Majden","41.1537","21.9435","105","Macedonia"
"Strima","42.1564","21.5253","365","Macedonia"
"Bidzovo","41.2300","20.6983","546","Macedonia"
"Dren","41.3294","21.7789","128","Macedonia"
"Nezilovo","41.6500","21.4533","336","Macedonia"
"Edinakovci","41.2614","21.2469","639","Macedonia"
"Gorno Dupeni","41.0622","20.9753","366","Macedonia"
"Ehlovec","41.4597","20.7658","478","Macedonia"
"Janciste","42.0533","21.1144","747","Macedonia"
"Konce","41.4958","22.3825","1335","Macedonia"
"Rusinovo","41.6872","22.8075","2288","Macedonia"
"Babino","41.2989","21.0786","547","Macedonia"
"Pehcevo","41.7592","22.8906","3237","Macedonia"
"Gorno Sedlarce","41.9372","20.9440","1776","Macedonia"
"Kavadarci","41.4328","22.0117","38741","Macedonia"
"Leunovo","41.6950","20.7978","436","Macedonia"
"Grekaj","41.7242","20.5847","110","Macedonia"
"Kovce","41.6625","21.1731","8","Macedonia"
"Zivenje","41.9792","21.8089","501","Macedonia"
"Zleovo","41.5558","22.5994","979","Macedonia"
"Kunovo","42.0697","22.2489","185","Macedonia"
"Ohrid","41.1169","20.8019","55749","Macedonia"
"Kozjak","41.0586","21.0431","396","Macedonia"
