"city","lat","lng","population", "country"
"Ihosy","-22.3996","46.1167","16990","Madagascar"
"Mahajanga","-15.6700","46.3450","154657","Madagascar"
"Morombe","-21.7391","43.3657","16727","Madagascar"
"Besalampy","-16.7495","44.4833","1022","Madagascar"
"Antsiranana","-12.2765","49.3115","82937","Madagascar"
"Bekily","-24.2162","45.3166","4286","Madagascar"
"Toamasina","-18.1492","49.4023","225116","Madagascar"
"Ambanja","-13.6786","48.4522","30621","Madagascar"
"Fianarantsoa","-21.4333","47.0833","184184","Madagascar"
"Antsirabe","-19.8667","47.0333","257163","Madagascar"
"Androka","-25.0219","44.0749","174","Madagascar"
"Farafangana","-22.8166","47.8332","24764","Madagascar"
"Toliara","-23.3500","43.6667","115319","Madagascar"
"Sambava","-14.2662","50.1666","43465","Madagascar"
"Andoany","-13.4000","48.2666","22680","Madagascar"
"Tolanaro","-25.0325","46.9833","16818","Madagascar"
"Miandrivazo","-19.5162","45.4666","20631","Madagascar"
"Maintirano","-18.0666","44.0167","5925","Madagascar"
"Maroantsetra","-15.4333","49.7333","38046","Madagascar"
"Marovoay","-16.0995","46.6333","31253","Madagascar"
"Iharana","-13.3750","50.0100","15000","Madagascar"
"Morondava","-20.2833","44.2833","36803","Madagascar"
"Antalaha","-14.8833","50.2833","47224","Madagascar"
"Antananarivo","-18.9386","47.5214","2610000","Madagascar"
"Manja","-21.4329","44.3333","1536","Madagascar"
"Antsohihy","-14.8661","47.9834","21290","Madagascar"
"Mandritsara","-15.8328","48.8166","9705","Madagascar"
"Ambatondrazaka","-17.8329","48.4167","43134","Madagascar"
"Mananjary","-21.2167","48.3333","27686","Madagascar"
