"city","lat","lng","population", "country"
"Zomba","-15.3833","35.3333","101140","Malawi"
"Dedza","-14.3667","34.3333","15608","Malawi"
"Mwanza","-15.6167","34.5167","11379","Malawi"
"Mulanje","-16.0316","35.5000","20870","Malawi"
"Nkhotakota","-12.9163","34.3000","59854","Malawi"
"Nkhata Bay","-11.6333","34.3000","22108","Malawi"
"Nsanje","-16.9167","35.2667","21774","Malawi"
"Karonga","-9.9329","33.9333","34207","Malawi"
"Mchinji","-13.8167","32.9000","18305","Malawi"
"Mangochi","-14.4781","35.2645","51429","Malawi"
"Salima","-13.7829","34.4333","71181","Malawi"
"Thyolo","-16.0667","35.1333","7029","Malawi"
"Chiradzulu","-15.7167","35.2000","1580","Malawi"
"Chitipa","-9.7019","33.2700","13412","Malawi"
"Mzimba","-11.9000","33.6000","19308","Malawi"
"Machinga","-14.9667","35.5167","1418","Malawi"
"Lilongwe","-13.9833","33.7833","781538","Malawi"
"Mzuzu","-11.4500","34.0333","150100","Malawi"
"Ntcheu","-14.8167","34.6333","10445","Malawi"
"Blantyre","-15.7861","35.0058","1895973","Malawi"
"Chiromo","-16.5500","35.1332","25235","Malawi"
