"city","lat","lng","population", "country"
"Sungai Petani","5.6500","100.4800","358499","Malaysia"
"Taiping","4.8500","100.7333","237095","Malaysia"
"Cukai","4.2332","103.4479","82425","Malaysia"
"Klang","3.0333","101.4500","878000","Malaysia"
"Kuala Lipis","4.1840","102.0420","15448","Malaysia"
"Kuala Lumpur","3.1478","101.6953","8285000","Malaysia"
"Kota Kinabalu","5.9750","116.0725","452058","Malaysia"
"Tawau","4.2981","117.8831","113809","Malaysia"
"Kangar","6.4414","100.1986","48898","Malaysia"
"Petaling Jaya","3.1073","101.6067","638516","Malaysia"
"Butterworth","5.3942","100.3664","821652","Malaysia"
"Seremban","2.7297","101.9381","419536","Malaysia"
"Teluk Intan","4.0333","101.0167","101659","Malaysia"
"Kuantan","3.8167","103.3333","607778","Malaysia"
"Raub","3.7931","101.8569","40024","Malaysia"
"Batu Pahat","1.8500","102.9300","140000","Malaysia"
"Putrajaya","2.9300","101.6900","67964","Malaysia"
"Alor Setar","6.1167","100.3667","217000","Malaysia"
"Miri","4.4147","114.0089","234541","Malaysia"
"Lahad Datu","5.0300","118.3400","199830","Malaysia"
"Sandakan","5.8388","118.1173","396290","Malaysia"
"Melaka","2.1889","102.2511","455300","Malaysia"
"Kampong Litang","5.3281","118.5113","529","Malaysia"
"Sibu","2.3000","111.8167","247995","Malaysia"
"Kota Bharu","6.1333","102.2500","491237","Malaysia"
"Bintulu","3.1700","113.0300","151617","Malaysia"
"Shah Alam","3.0833","101.5333","584340","Malaysia"
"George Town","5.4145","100.3292","708127","Malaysia"
"Kuching","1.5397","110.3542","325132","Malaysia"
"Kluang","2.0336","103.3194","169828","Malaysia"
"Bukit Mertajam","5.3631","100.4667","210000","Malaysia"
"Kampong Balung","4.3750","118.1122","817","Malaysia"
"Johor Bahru","1.4556","103.7611","797882","Malaysia"
"Muar","2.0500","102.5600","191346","Malaysia"
"Kuala Terengganu","5.3303","103.1408","255109","Malaysia"
"Ipoh","4.6000","101.0700","866772","Malaysia"
