"city","lat","lng","population", "country"
"Goundam","16.4167","-3.6667","8456","Mali"
"Satadougou","12.6170","-11.4066","706","Mali"
"Kita","13.0504","-9.4833","46435","Mali"
"Nioro","15.1833","-9.5500","14421","Mali"
"Koutiala","12.3833","-5.4667","104927","Mali"
"Kidal","18.4333","1.4000","15086","Mali"
"Araouane","18.9000","-3.5300","4026","Mali"
"Timbuktu","16.7733","-2.9994","35330","Mali"
"Nara","15.1800","-7.2800","18459","Mali"
"Djenne","13.9000","-4.5500","32944","Mali"
"Banamba","13.5500","-7.4500","30591","Mali"
"Tessalit","20.2011","1.0125","6000","Mali"
"Bamako","12.6458","-7.9922","2009109","Mali"
"Bougouni","11.4167","-7.4833","35450","Mali"
"Sikasso","11.3167","-5.6667","213977","Mali"
"Yelimane","15.1337","-10.5666","988","Mali"
"Kayes","14.4500","-11.4167","77207","Mali"
"San","13.3004","-4.9000","41386","Mali"
"Bafoulabe","13.8064","-10.8322","26823","Mali"
"Taoudenni","22.6666","-3.9834","3019","Mali"
"Mopti","14.4900","-4.1800","108456","Mali"
"Aguelhok","19.4614","0.8589","8080","Mali"
"Menaka","15.9183","2.4022","20702","Mali"
"Bourem Guindou","16.9004","-0.3500","30000","Mali"
"Segou","13.4500","-6.2667","133501","Mali"
"Kati","12.7504","-8.0800","66895","Mali"
"Sokolo","14.7328","-6.1219","4374","Mali"
"Markala","13.7021","-6.0659","53738","Mali"
"Abeibara","19.1167","1.7500","4585","Mali"
"Gao","16.2667","-0.0500","49483","Mali"
"Koulikoro","12.8833","-7.5500","23919","Mali"
"Kangaba","11.9333","-8.4167","17232","Mali"
