"city","lat","lng","population", "country"
"Birkirkara","35.9000","14.4667","24356","Malta"
"Imgarr","35.9197","14.3664","3629","Malta"
"Kirkop","35.8419","14.4850","2191","Malta"
"Sannat","36.0244","14.2458","2117","Malta"
"Ghajnsielem","36.0269","14.2903","3200","Malta"
"Gharghur","35.9241","14.4534","2768","Malta"
"Vittoriosa","35.8881","14.5225","2629","Malta"
"Zurrieq","35.8292","14.4744","10823","Malta"
"Munxar","36.0303","14.2353","1454","Malta"
"Gudja","35.8483","14.5025","2997","Malta"
"Hamrun","35.8861","14.4894","9244","Malta"
"Xewkija","36.0331","14.2583","3300","Malta"
"Fgura","35.8703","14.5133","11670","Malta"
"Imsida","35.8986","14.4839","8545","Malta"
"Pieta","35.8833","14.4833","4020","Malta"
"Birzebbuga","35.8267","14.5278","9736","Malta"
"Luqa","35.8597","14.4892","5945","Malta"
"Sliema","35.9122","14.5042","16854","Malta"
"Mellieha","35.9500","14.3667","10087","Malta"
"Siggiewi","35.8542","14.4383","8367","Malta"
"San Lawrenz","36.0550","14.2042","748","Malta"
"Qormi","35.8794","14.4722","16779","Malta"
"Zabbar","35.8772","14.5381","15404","Malta"
"Marsa","35.8833","14.4947","5344","Malta"
"Safi","35.8333","14.4850","2126","Malta"
"Cospicua","35.8822","14.5222","5657","Malta"
"Mosta","35.9000","14.4333","20241","Malta"
"Imqabba","35.8442","14.4669","3315","Malta"
"Santa Venera","35.8903","14.4778","6932","Malta"
"Iklin","35.9042","14.4544","3130","Malta"
"Marsaskala","35.8625","14.5675","12134","Malta"
"Zejtun","35.8556","14.5333","11508","Malta"
"Marsaxlokk","35.8417","14.5447","3534","Malta"
"Gharb","36.0611","14.2092","1539","Malta"
"Attard","35.9000","14.4500","10930","Malta"
"Saint Paul's Bay","35.9483","14.4017","21046","Malta"
"Ghaxaq","35.8483","14.5172","4722","Malta"
"Dingli","35.8603","14.3814","3608","Malta"
"Valletta","35.8978","14.5125","6444","Malta"
"Imdina","35.8858","14.4031","292","Malta"
"Pembroke","35.9264","14.4808","3645","Malta"
"Imtarfa","35.8908","14.3969","2572","Malta"
"Tarxien","35.8667","14.5131","8583","Malta"
"Xaghra","36.0503","14.2675","4886","Malta"
"Ta' Xbiex","35.8992","14.4981","1804","Malta"
"Qala","36.0353","14.3103","2284","Malta"
"Swieqi","35.9208","14.4800","10064","Malta"
"Gzira","35.9050","14.4939","8029","Malta"
"Kalkara","35.8892","14.5294","3014","Malta"
"Xghajra","35.8864","14.5472","1732","Malta"
"Qrendi","35.8342","14.4589","2752","Malta"
"Lija","35.9014","14.4472","3070","Malta"
"Rabat","35.8826","14.3978","11497","Malta"
"Balzan","35.8975","14.4533","3958","Malta"
"Nadur","36.0381","14.2950","4509","Malta"
"Floriana","35.8933","14.5058","2205","Malta"
"Kercem","36.0406","14.2297","1938","Malta"
"Senglea","35.8878","14.5169","2784","Malta"
