"city","lat","lng","population","country"
"Zouerate","22.7344","-12.4725","56345","Mauritania"
"Kiffa","16.6164","-11.4044","110714","Mauritania"
"Timbedgha","16.2447","-8.1675","245","Mauritania"
"Bir Mogrein","25.2333","-11.5833","10","Mauritania"
"Atar","20.5167","-13.0500","24021","Mauritania"
"Rosso","16.5128","-15.8050","47203","Mauritania"
"Aioun","16.6667","-9.6167","1423","Mauritania"
"Fderik","22.6790","-12.7070","5760","Mauritania"
"Nouakchott","18.0858","-15.9785","1077169","Mauritania"
"Tidjikja","18.5500","-11.4166","19981","Mauritania"
"Aleg","17.0580","-13.9090","8388","Mauritania"
"Bogue","16.5904","-14.2700","10415","Mauritania"
"Nema","16.6171","-7.2500","200000","Mauritania"
"Akjoujt","19.7470","-14.3910","370","Mauritania"
"Boutilimit","17.5504","-14.7000","14142","Mauritania"
"Chegga","25.3719","-5.7867","10","Mauritania"
"Nouadhibou","20.9500","-17.0333","118000","Mauritania"
"Selibaby","15.1670","-12.1833","460","Mauritania"
