"city","lat","lng","population", "country"
"Merida","20.9700","-89.6200","892363","Mexico"
"Tecoman","18.9089","-103.8747","112726","Mexico"
"San Antonio Canada","18.5000","-97.2833","5590","Mexico"
"Nicolas Hidalgo","17.7833","-98.1333","975","Mexico"
"Valle Hermoso","25.6736","-97.8144","68573","Mexico"
"Tuxcueca","20.1553","-103.1847","6702","Mexico"
"Tlahuelilpan","20.1297","-99.2286","17153","Mexico"
"Tala","20.6525","-103.7028","80365","Mexico"
"Navolato","24.7656","-107.7019","28676","Mexico"
"Jacona de Plancarte","19.9500","-102.3167","69744","Mexico"
"Chicxulub Pueblo","21.1364","-89.5167","4080","Mexico"
"X-Hazil Sur","19.3917","-88.0742","1422","Mexico"
"El Mazunte","15.6660","-96.5560","702","Mexico"
"Cuauhtemoc","28.4050","-106.8667","168482","Mexico"
"San Sebastian Coatlan","16.2000","-96.8333","2678","Mexico"
"Zinacantepec","19.2833","-99.7333","136167","Mexico"
"Xtabay","20.8558","-89.2603","110","Mexico"
"Ciudad de Huajuapam de Leon","17.8039","-97.7758","77547","Mexico"
"Nueva Rosita","27.9390","-101.2180","36642","Mexico"
"Ojo Caliente","21.8772","-102.6756","6914","Mexico"
"San Pedro Garza Garcia","25.6667","-100.3000","122009","Mexico"
"Rafael Delgado","18.8167","-97.0667","23112","Mexico"
"Acatlan de Osorio","18.2086","-98.0575","18879","Mexico"
"Coacoatzintla","19.6500","-96.9333","10482","Mexico"
"Pajapan","18.2667","-94.6833","17480","Mexico"
"Escarcega","18.6067","-90.7344","29477","Mexico"
"Progreso de Alvaro Obregon","20.2500","-99.1833","4630","Mexico"
"Catavina","29.7294","-114.7208","159","Mexico"
"Ascension","31.0928","-107.9964","13456","Mexico"
"Paso de Ovejas","19.2850","-96.4400","33392","Mexico"
"Tanya","21.1100","-89.2492","879","Mexico"
"Matias Romero","16.8798","-95.0391","39828","Mexico"
"Santa Catarina Mechoacan","16.3360","-97.8368","4460","Mexico"
"Santiago Tianguistenco","19.1797","-99.4706","64365","Mexico"
"Mariano Escobedo","18.9167","-97.1333","37285","Mexico"
"Saltillo","19.2966","-97.2990","762","Mexico"
"Kantunilkin","21.1000","-87.4833","7150","Mexico"
"Villa Donato Guerra","19.3083","-100.1422","29621","Mexico"
"Puerto Morelos","20.8536","-86.8753","9188","Mexico"
"Alta Cima","23.0611","-99.1986","180","Mexico"
"Las Minas","19.7045","-97.1470","2920","Mexico"
"Choix","26.7061","-108.3219","9306","Mexico"
"Mineral del Chico","20.2031","-98.7478","7980","Mexico"
"Viesca","25.3500","-102.8000","19328","Mexico"
"Santiago Minas","16.4333","-97.1667","1445","Mexico"
"Salinas Victoria","25.9667","-100.3000","27848","Mexico"
"San Antonio Tehuitz","20.8994","-89.5208","724","Mexico"
"Camajapita","20.3500","-103.9167","280","Mexico"
"San Pedro y San Pablo Teposcolula","17.5167","-97.4833","4016","Mexico"
"Huauchinango","20.1767","-98.0528","97753","Mexico"
"Santa Cruz Atizapan","19.1756","-99.4886","8909","Mexico"
"Chikindzonot","20.3333","-88.4864","2699","Mexico"
"Los Haros","22.7667","-102.9628","878","Mexico"
"Contla","19.3333","-98.1667","27610","Mexico"
"Asuncion Nochixtlan","17.4592","-97.2261","18525","Mexico"
"Zapotlan del Rey","20.4674","-102.9248","17893","Mexico"
"Santa Catarina Cuixtla","16.3000","-96.6500","1427","Mexico"
"Amatepec","18.6500","-100.1500","27026","Mexico"
"Ayotoxco de Guerrero","20.1000","-97.4000","8558","Mexico"
"Benito Juarez","20.8833","-98.2000","1069","Mexico"
"Anton Lizardo","19.0500","-95.9833","4586","Mexico"
"Apaxco de Ocampo","19.9733","-99.1700","13836","Mexico"
"San Pedro","25.7589","-102.9844","53688","Mexico"
"Huepac","29.9000","-110.2000","1142","Mexico"
"Guacharachi","27.1500","-107.3167","49689","Mexico"
"Acteal","16.9878","-92.5186","155","Mexico"
"Juan Rodriguez Clara","18.0000","-95.4000","38895","Mexico"
"Orizaba","18.8500","-97.1000","117273","Mexico"
"Lerdo de Tejada","18.6380","-95.5085","19606","Mexico"
"Ucu","21.0308","-89.7469","2601","Mexico"
"Aquila","18.5833","-103.5167","24864","Mexico"
"Dolores Hidalgo Cuna de la Independencia Nacional","21.1516","-100.9369","148173","Mexico"
"Coroneo","20.1333","-100.3333","10347","Mexico"
"San Cristobal Suchixtlahuaca","17.7264","-97.3667","360","Mexico"
"Tuxcacuesco","19.5500","-103.8667","4229","Mexico"
"Santa Isabel","28.3422","-106.3683","1378","Mexico"
"Aguascalientes","21.8760","-102.2960","934424","Mexico"
"San Francisco de los Romo","22.0833","-102.2667","46454","Mexico"
"Ixmiquilpan","20.4861","-99.2589","73903","Mexico"
"Ciudad Lazaro Cardenas","17.9561","-102.1922","79200","Mexico"
"Valle Alto","25.5667","-100.2500","75000","Mexico"
"Santiago Ixcuintepec","16.9333","-95.6167","1598","Mexico"
"Homun","20.7386","-89.2850","6146","Mexico"
"El Higo","21.7667","-98.4500","7844","Mexico"
"Hopelchen","19.7444","-89.8453","7295","Mexico"
"Mixtlan","20.3667","-104.2500","3526","Mexico"
"Chumatlan","20.2000","-97.6000","3880","Mexico"
"Conkal","21.0733","-89.5208","7173","Mexico"
"Juarez","31.7386","-106.4870","1321004","Mexico"
"Juarez","30.3090","-108.0760","1035","Mexico"
"Puerto Escondido","25.8106","-111.3078","2","Mexico"
"Rio Lagartos","21.6000","-88.1667","2218","Mexico"
"Ciudad Obregon","27.4939","-109.9389","405000","Mexico"
"Hocaba","20.8156","-89.2450","4127","Mexico"
"Cocorit","27.5833","-109.9667","7953","Mexico"
"Polaban","20.7333","-89.2183","75","Mexico"
"San Francisco Sola","16.5000","-96.9667","1731","Mexico"
"Santa Maria Apazco","17.6333","-97.1333","1720","Mexico"
"La Trinidad","17.7500","-97.5000","260","Mexico"
"Ciudad Guzman","19.7000","-103.4667","97","Mexico"
"San Miguel Ejutla","16.5833","-96.7333","1014","Mexico"
"Barranca de los Laureles","20.2333","-103.6333","317","Mexico"
"Chicxulub Puerto","21.2939","-89.6083","5052","Mexico"
"Ajacuba","20.0833","-99.1167","17055","Mexico"
"Mineral de Angangueo","19.6178","-100.2856","11120","Mexico"
"Yotholin","20.3264","-89.4550","2035","Mexico"
"San Sebastian Nicananduta","17.5167","-97.6833","1441","Mexico"
"San Juan Petlapa","17.4667","-96.0333","2919","Mexico"
"Zacualpan de Amilpas","18.7836","-98.7594","9370","Mexico"
"Uruachi","27.8672","-108.2158","1199","Mexico"
"San Luis de La Loma","17.2714","-100.8911","11090","Mexico"
"Santa Catarina Ticua","17.0667","-97.5500","1031","Mexico"
"Tonila","19.4261","-103.5319","7919","Mexico"
"San Miguel Huautla","17.7333","-97.1333","1094","Mexico"
"Santa Ana Nextlalpan","19.7167","-99.0667","22507","Mexico"
"Xalapa","19.5400","-96.9275","525147","Mexico"
"Conchos","27.5833","-105.3167","644","Mexico"
"Guanacevi","25.9320","-105.9540","2908","Mexico"
"Rio Grande","20.3712","-103.9599","141","Mexico"
"San Pedro Tapanatepec","16.3667","-94.2000","15152","Mexico"
"Cardonal","20.6167","-99.1167","15876","Mexico"
"Santa Maria Mixtequilla","16.3737","-95.2605","4555","Mexico"
"Colipa","19.9167","-96.7000","5718","Mexico"
"Escalon","26.7517","-104.3403","697","Mexico"
"La Magdalena Chichicaspa","19.4181","-99.3228","12193","Mexico"
"Hidalgo","27.7911","-99.8742","1638","Mexico"
"Chiconcuac","19.5500","-98.9000","19656","Mexico"
"Sultepec","18.8667","-99.9500","24986","Mexico"
"Colonia Venustiano Carranza","32.2275","-115.1703","6098","Mexico"
"Magdalena Mixtepec","16.9000","-96.9000","1375","Mexico"
"Santiago Apostol","16.8167","-96.7167","3995","Mexico"
"Chicoasen","16.9661","-93.1050","5000","Mexico"
"Santiago","25.4333","-100.1333","37886","Mexico"
"Cusihuiriachi","28.2411","-106.8367","63","Mexico"
"Santiago Choapan","17.3667","-95.9167","4983","Mexico"
"Santa Cruz","31.2336","-110.5953","1038","Mexico"
"San Agustin Etla","17.1833","-96.7667","3984","Mexico"
"Saucillo","28.0333","-105.2833","11004","Mexico"
"Ixtapaluca","19.3186","-98.8822","495563","Mexico"
"Zongolica","18.6642","-97.0011","43871","Mexico"
"Tamazula de Victoria","24.9700","-106.9656","2337","Mexico"
"Fronteras","30.8961","-109.5583","874","Mexico"
"Juchitepec","19.0997","-98.8792","23497","Mexico"
"Tezonapa","18.6058","-96.6875","56956","Mexico"
"Arizpe","30.3308","-110.1692","1718","Mexico"
"Allende","28.3333","-100.8333","20694","Mexico"
"Isla Mujeres","21.2084","-86.7115","12491","Mexico"
"El Rosario de Arriba","30.0603","-115.7269","1704","Mexico"
"Alamos","27.0275","-108.9400","24493","Mexico"
"San Telmo","30.9692","-116.0913","29","Mexico"
"Joquicingo","19.0556","-99.5467","11042","Mexico"
"Juchitan de Zaragoza","16.4333","-95.0194","74825","Mexico"
"Ezequiel Montes","20.6667","-99.8833","14053","Mexico"
"San Francisco Tlapancingo","17.4833","-98.2667","2109","Mexico"
"Espita","21.0128","-88.3047","11551","Mexico"
"Tlanalapa","19.8167","-98.6000","8662","Mexico"
"Tepeojuma","18.7167","-98.4500","8492","Mexico"
"Saltillo","25.4333","-101.0000","807537","Mexico"
"Atitalaquia","20.0583","-99.2208","26904","Mexico"
"Pachuca","20.1000","-98.7500","277375","Mexico"
"Cerocahui","27.2978","-108.0553","1556","Mexico"
"San Juan Bautista Jayacatlan","17.4167","-96.8167","1456","Mexico"
"Ciudad Ayala","18.7667","-98.9833","6","Mexico"
"Playa del Carmen","20.6275","-87.0811","252087","Mexico"
"Punta Prieta","28.9289","-114.1556","112","Mexico"
"Magdalena Teitipac","16.9000","-96.5500","4563","Mexico"
"Valle de Juarez","19.8667","-102.8167","5389","Mexico"
"Ciudad Hidalgo","19.6923","-100.5574","122619","Mexico"
"Santa Catalina Quieri","16.3167","-96.2667","871","Mexico"
"Tayoltita","24.0833","-105.9333","5124","Mexico"
"Santa Ana Maya","20.0000","-101.0167","12466","Mexico"
"Tepotzotlan","19.7161","-99.2236","67724","Mexico"
"Salamanca","20.5703","-101.1972","260759","Mexico"
"Magdalena Ocotlan","16.7000","-96.7167","1146","Mexico"
"San Francisco Ozolotepec","16.0667","-96.2167","1940","Mexico"
"El Dorado","24.3228","-107.3630","17365","Mexico"
"Villa Chalcatongo de Hidalgo","17.0322","-97.5709","9066","Mexico"
"Santa Maria Cortijo","16.4500","-98.2833","1075","Mexico"
"Platon Sanchez","21.2833","-98.3667","10009","Mexico"
"San Andres Lagunas","17.5667","-97.5167","483","Mexico"
"Ayutla de los Libres","16.9000","-99.2167","15370","Mexico"
"Santiago Yolomecatl","17.4833","-97.5667","2090","Mexico"
"Villa Hidalgo","17.1833","-96.1833","1917","Mexico"
"Nombre de Dios","23.8500","-104.2333","5302","Mexico"
"Temamatla","19.2028","-98.8700","11206","Mexico"
"Vicente Guerrero","30.7264","-115.9903","12829","Mexico"
"Tepetitan","17.8189","-92.3725","1522","Mexico"
"Balancan","17.8000","-91.5300","11895","Mexico"
"Punta Chueca","29.0150","-112.1617","520","Mexico"
"Santa Maria Coyotepec","16.9833","-96.7000","2971","Mexico"
"Santiago Tulantepec","20.0397","-98.3575","16078","Mexico"
"San Nicolas Tolentino","22.2489","-100.5525","5547","Mexico"
"Kinchil","20.9161","-89.9469","6307","Mexico"
"Becal","20.4414","-90.0275","6511","Mexico"
"Acayucan","17.9422","-94.9103","83817","Mexico"
"Villa Ocampo","26.4500","-105.5167","1076","Mexico"
"Soledad Atzompa","18.7550","-97.1522","23130","Mexico"
"Arivechi","28.9333","-109.1833","1280","Mexico"
"El Salitre","20.5100","-103.8580","2434","Mexico"
"Santa Maria Tlaola","20.1386","-97.9231","1406","Mexico"
"Tamchen","20.8753","-89.9319","6307","Mexico"
"Santa Maria Xadani","16.3667","-95.0167","8795","Mexico"
"Puerto Aventuras","20.5117","-87.2342","5979","Mexico"
"Cosautlan","19.3333","-96.9833","16353","Mexico"
"Tizimin","21.1425","-88.1647","46971","Mexico"
"Hermosillo","29.0989","-110.9542","812229","Mexico"
"Basaseachic","28.2058","-108.2086","1248","Mexico"
"Tepetzintla","19.9667","-97.8333","11622","Mexico"
"Valladolid","20.6894","-88.2017","48973","Mexico"
"Sabanilla","17.2833","-92.5500","26921","Mexico"
"Izamal","20.7303","-86.9650","58","Mexico"
"Santa Catarina Tayata","17.3500","-97.5667","663","Mexico"
"Campeche","19.8500","-90.5306","220389","Mexico"
"San Mateo Rio Hondo","16.1667","-96.5000","3133","Mexico"
"San Andres Zautla","17.2000","-96.8667","4409","Mexico"
"Colombia","27.7033","-99.7594","514","Mexico"
"Lampazos de Naranjo","27.0250","-100.5056","5305","Mexico"
