"city","lat","lng","population", "country"
"Cateleni","46.9178","28.1894","1270","Moldova"
"Costesti","46.8678","28.8022","10907","Moldova"
"Jevreni","47.2581","29.0639","1419","Moldova"
"Badragii Noi","48.0667","27.0667","1234","Moldova"
"Barboieni","47.0208","28.0636","815","Moldova"
"Brinzenii Noi","47.6594","28.4861","943","Moldova"
"Minzatesti","47.3944","28.0672","512","Moldova"
"Tartaul de Salcie","45.9667","28.4000","952","Moldova"
"Dubna","48.0150","28.3153","663","Moldova"
"Soltanesti","47.0594","28.1111","1439","Moldova"
"Sadova","47.1892","28.3500","2453","Moldova"
"Petruseni","47.8500","27.3167","956","Moldova"
"Furceni","47.3364","28.9256","1280","Moldova"
"Lucesti","45.9833","28.3333","504","Moldova"
"Vadul lui Isac","45.7500","28.1667","2536","Moldova"
"Alunis","47.8500","27.6500","1700","Moldova"
"Paharniceni","47.3736","28.8844","789","Moldova"
"Unguri","48.4011","27.8675","1355","Moldova"
"Rublenita","48.1683","28.2144","3781","Moldova"
"Ciuciulea","47.6578","27.4839","3080","Moldova"
"Cainari","46.6789","29.0461","3803","Moldova"
"Rediul Mare","48.2286","27.5153","920","Moldova"
"Ordasei","47.6831","28.4958","783","Moldova"
"Budai","47.4569","28.3497","1728","Moldova"
"Calinesti","47.5633","27.4869","2521","Moldova"
"Gordinesti","47.6967","28.8011","961","Moldova"
"Rumeantev","46.1167","28.2833","457","Moldova"
"Sirma","46.5261","28.2478","1045","Moldova"
"Cirpesti","46.2636","28.3367","2170","Moldova"
"Avdarma","46.2542","28.8394","3307","Moldova"
"Poganesti","46.6929","28.2311","1462","Moldova"
"Pavlovca","48.3797","26.8764","18","Moldova"
"Balti","47.7617","27.9289","144800","Moldova"
"Taraclia de Salcie","46.0000","28.4167","1523","Moldova"
"Cantemir","46.2781","28.2008","3429","Moldova"
"Zaicani","47.5217","28.5064","171","Moldova"
"Otaci","48.4300","27.7939","6043","Moldova"
"Meleseni","47.3756","28.3889","1577","Moldova"
"Greblesti","47.2433","28.6119","627","Moldova"
"Druta","47.9631","27.2994","446","Moldova"
"Romanesti","47.2236","28.7136","1248","Moldova"
"Chirsova","46.2339","28.6481","6298","Moldova"
"Goleni","48.2106","27.4328","961","Moldova"
"Opaci","46.5797","29.3500","3114","Moldova"
"Cernita","47.9658","28.4669","890","Moldova"
"Hasnasenii Mari","47.9136","27.9908","1531","Moldova"
"Singureni","47.8167","27.8500","1848","Moldova"
"Balabanesti","47.0683","29.1319","2081","Moldova"
"Ciobanovca","46.8147","29.2036","1072","Moldova"
"Sarata Noua","46.4889","28.3925","1476","Moldova"
"Costesti","47.8583","27.2586","3507","Moldova"
"Valea lui Vlad","47.4814","28.1314","408","Moldova"
"Radenii Vechi","47.2942","27.9947","1614","Moldova"
"Alexeuca","47.6881","28.2908","597","Moldova"
"Isacova","47.3703","28.7181","1620","Moldova"
"Samananca","47.2650","28.7308","770","Moldova"
"Gordinestii Noi","48.1706","27.2286","340","Moldova"
"Horesti","46.8267","28.8719","3511","Moldova"
"Nisporeni","47.0814","28.1783","10063","Moldova"
"Chipesca","47.7667","28.6167","1355","Moldova"
"Hirova","47.4122","28.2842","1229","Moldova"
"Crasnaseni","47.4325","28.3983","1015","Moldova"
"Jora de Sus","47.4867","29.0761","903","Moldova"
"Harjau","47.8000","29.0000","2583","Moldova"
"Selemet","46.5833","28.9333","3449","Moldova"
"Vladimireuca","47.6569","28.2325","114","Moldova"
"Sadovoe","47.7833","27.8000","1306","Moldova"
"Pocrovca","48.3314","27.8569","1060","Moldova"
"Bogzesti","47.4225","28.4336","474","Moldova"
"Malaiesti","47.8808","27.3492","743","Moldova"
"Palanca","46.4086","30.0961","1708","Moldova"
"Glodeni","47.7708","27.5144","8676","Moldova"
"Negresti","47.1797","28.6228","1306","Moldova"
"Giurgiulesti","45.4833","28.2000","2866","Moldova"
"Cristesti","47.0569","28.2861","1057","Moldova"
"Romanovca","46.4594","28.3531","477","Moldova"
"Slobozia-Dusca","47.1667","29.1214","2866","Moldova"
"Valea Perjei","46.0333","28.9167","4337","Moldova"
"Condrita","47.0567","28.5686","595","Moldova"
"Tabani","48.3122","27.0975","2783","Moldova"
"Capriana","47.1172","28.5042","2312","Moldova"
"Sarata-Razesi","46.6150","28.2647","1070","Moldova"
"Mascauti","47.2911","28.9964","4130","Moldova"
"Sireti","47.1472","28.6775","5833","Moldova"
"Suruceni","46.9825","28.6686","2995","Moldova"
"Tatarauca Veche","48.2969","27.9761","625","Moldova"
"Cenac","46.4833","28.6500","1683","Moldova"
"Chetris","47.5947","27.4456","1697","Moldova"
"Brinzeni","48.0842","27.1756","1494","Moldova"
"Cismichioi","45.5444","28.3828","4497","Moldova"
"Chitcani","46.7856","29.6086","9000","Moldova"
"Mirnoe","46.8042","29.2278","205","Moldova"
"Cucioaia","47.4583","28.1869","833","Moldova"
"Tomai","46.1817","28.7675","4263","Moldova"
"Marcauti","47.3553","29.0583","709","Moldova"
"Slobozia-Magura","47.4839","27.9658","433","Moldova"
