"city","lat","lng","population","country"
"Mandalgovi","45.7667","106.2708","2984","Mongolia"
"Choybalsan","48.0706","114.5228","38150","Mongolia"
"Altay","46.3728","96.2572","15800","Mongolia"
"Dalanzadgad","43.5700","104.4258","19396","Mongolia"
"Dzuunmod","47.7069","106.9494","18048","Mongolia"
"Hovd","48.0167","91.5667","26023","Mongolia"
"Baruun-Urt","46.6806","113.2792","14297","Mongolia"
"Arvayheer","46.2639","102.7750","20000","Mongolia"
"Bulgan","48.8103","103.5408","12323","Mongolia"
"Uliastay","47.7417","96.8444","22006","Mongolia"
"Tsetserleg","47.4769","101.4503","18519","Mongolia"
"Suhbaatar","50.2364","106.2064","24235","Mongolia"
"Darhan","49.4867","105.9228","74738","Mongolia"
"Erdenet","49.0333","104.0833","106810","Mongolia"
"Ulaan-Uul","44.3337","111.2333","3726","Mongolia"
"Bayanhongor","46.1944","100.7181","26252","Mongolia"
"Ulaanbaatar","47.9203","106.9172","1396288","Mongolia"
"Ulaangom","49.9833","92.0667","26319","Mongolia"
"Saynshand","44.8917","110.1367","19891","Mongolia"
"Dzuunharaa","48.8666","106.4666","18830","Mongolia"
"Ondorhaan","47.3167","110.6500","14723","Mongolia"
"Hodrogo","48.9664","96.7833","10","Mongolia"
"Darhan","49.6167","106.3500","74738","Mongolia"
"Moron","49.6375","100.1614","134530","Mongolia"
"Olgiy","48.9656","89.9632","28496","Mongolia"
