"city","lat","lng","population", "country"
"Brajici","42.3022","18.8925","30","Montenegro"
"Plav","42.5956","19.9450","13805","Montenegro"
"Pljevlja","43.3566","19.3502","30786","Montenegro"
"Lesevici","42.3672","18.7219","150","Montenegro"
"Mrcici","43.4656","18.9836","6","Montenegro"
"Zari","43.0569","19.4747","385","Montenegro"
"Andrijevica","42.7339","19.7919","1073","Montenegro"
"Kuljace","42.2806","18.9100","13","Montenegro"
"Zabljak","43.1583","19.1303","1937","Montenegro"
"Cetinje","42.3933","18.9219","13991","Montenegro"
"Cestin","43.4181","19.0300","116","Montenegro"
"Podostrog","42.3028","18.8392","364","Montenegro"
"Muo","42.4317","18.7575","677","Montenegro"
"Bogajici","42.5838","19.9534","427","Montenegro"
"Bartula","42.0819","19.1414","355","Montenegro"
"Glavati","42.4386","18.7514","160","Montenegro"
"Stitarica","42.9169","19.5042","273","Montenegro"
"Gornja Rzanica","42.6589","19.9189","269","Montenegro"
"Masnica","42.6586","19.8864","299","Montenegro"
"Przno","42.2728","18.8892","310","Montenegro"
"Donji Orahovac","42.4878","18.7547","257","Montenegro"
"Donja Kostanjica","42.4847","18.6672","127","Montenegro"
"Rozaje","42.8442","20.1679","9422","Montenegro"
"Proscenje","43.0089","19.4894","755","Montenegro"
"Celobrdo","42.2683","18.9083","5","Montenegro"
"Naljezici","42.3706","18.7722","147","Montenegro"
"Skic","42.6064","19.9436","302","Montenegro"
"Podgorica","42.4397","19.2661","174515","Montenegro"
"Vojno Selo","42.5800","19.9189","642","Montenegro"
"Goljemadi","42.3906","19.1433","94","Montenegro"
"Bar","42.1000","19.1000","13719","Montenegro"
"Bijelo Polje","43.0292","19.7456","15883","Montenegro"
"Kavac","42.4122","18.7447","443","Montenegro"
"Mojkovac","42.9600","19.5800","10066","Montenegro"
"Stevanovac","42.9914","19.5322","230","Montenegro"
"Donji Morinj","42.4891","18.6458","261","Montenegro"
"Malov Do","42.5711","18.6342","11","Montenegro"
"Desni Meteh","42.6183","19.9747","452","Montenegro"
"Knezlaz","42.5386","18.6736","26","Montenegro"
"Herceg Novi","42.4531","18.5375","16493","Montenegro"
"Lipci","42.4917","18.6547","36","Montenegro"
"Ledenice","42.5397","18.7025","32","Montenegro"
"Sutvara","42.3719","18.7578","325","Montenegro"
"Boreti","42.2833","18.8572","231","Montenegro"
"Donji Stoliv","42.4697","18.7111","336","Montenegro"
"Sveti Stefan","42.2561","18.8914","411","Montenegro"
"Budva","42.2847","18.8453","19218","Montenegro"
"Bigovo","42.3567","18.7022","114","Montenegro"
"Trebesinj","42.4722","18.5239","224","Montenegro"
"Visnjevo","42.2919","18.7728","128","Montenegro"
"Murino","42.6569","19.8761","245","Montenegro"
"Ulcinj","41.9236","19.2056","19921","Montenegro"
"Berane","42.8473","19.8694","11776","Montenegro"
"Stanisici","42.2931","18.8714","5","Montenegro"
