"city","lat","lng","population", "country"
"Oulad Embarek","32.2878","-6.4328","19774","Morocco"
"Karia Ba Mohamed","34.3631","-5.2123","18762","Morocco"
"Afso","34.8325","-3.1767","2932","Morocco"
"Had Kourt","34.6167","-5.7333","7843","Morocco"
"Laatatra","32.6314","-8.4147","17593","Morocco"
"El Ghourdane","32.3400","-8.7728","11291","Morocco"
"Timzguida Ouftas","30.9908","-9.7994","5189","Morocco"
"Tifirt -n- Ait Hamza","32.3000","-5.9667","3499","Morocco"
"Tamezmout","30.8075","-6.1142","11697","Morocco"
"Ouardana","35.0708","-3.4217","7120","Morocco"
"Ifrane","33.5333","-5.1167","14659","Morocco"
"Nzalat Laadam","32.0806","-7.9300","14838","Morocco"
"Tilemsoun","28.2523","-11.0496","1015","Morocco"
"Guenfouda","34.4836","-2.0456","5591","Morocco"
"Teroual","34.6667","-5.2667","12621","Morocco"
"Bine Al Widane","32.1083","-6.4750","5421","Morocco"
"Tigzmert","29.7131","-7.9711","3916","Morocco"
"Sidi Lmokhtar","31.5700","-9.0100","22714","Morocco"
"Akka Irene","29.9919","-7.5322","6452","Morocco"
"Lalla Mimouna","34.8500","-6.0669","29479","Morocco"
"Esbiaat","32.2044","-8.5608","14986","Morocco"
"Sabbah","33.8201","-7.0334","15029","Morocco"
"Douar Oulad Amer Leqliaa","32.2536","-8.3972","5150","Morocco"
"Oulad Daoud","34.4058","-4.6939","11978","Morocco"
"Sidi Harazem","34.0278","-4.8833","5622","Morocco"
"Douar Tassift","35.5099","-5.2263","7363","Morocco"
"Argana","30.7788","-9.1259","4804","Morocco"
"Ouirgane","31.1755","-8.0782","7727","Morocco"
"Amersid","32.7500","-4.4667","5857","Morocco"
"Ichemrarn","31.0961","-9.1700","7023","Morocco"
"Tarhzirt","32.4333","-6.1833","19936","Morocco"
"Oued Jdida","33.9333","-5.3667","14935","Morocco"
"Zag","28.0167","-9.3333","12763","Morocco"
"Oualidia","32.7333","-9.0167","7770","Morocco"
"Abadou","31.5792","-7.3131","10602","Morocco"
"Sidi Qacem","34.2100","-5.7000","75672","Morocco"
"Missour","33.0500","-3.9908","25584","Morocco"
"Sidi Jaber","32.3833","-6.4167","20432","Morocco"
"Saidat","31.3442","-8.7053","6427","Morocco"
"Takoucht","29.9581","-9.1119","1368","Morocco"
"Tiglit","28.5075","-10.2922","930","Morocco"
"Sidi Rahhal","31.6667","-7.4833","9906","Morocco"
"Douar Hammadi","31.6043","-8.4688","14227","Morocco"
"Meknassa Tahtania","34.2806","-4.0750","3890","Morocco"
"Aknoul","34.6500","-3.8667","4403","Morocco"
"Tlet El Hanchane","31.5197","-9.4339","4965","Morocco"
"Ouaklim Oukider","31.4500","-5.5500","11338","Morocco"
"Talambote","35.2500","-5.1833","8481","Morocco"
"Sidi Bou Othmane","31.9033","-7.9422","9181","Morocco"
"Boudenib","31.9505","-3.5973","11373","Morocco"
"Lemsid","26.5404","-13.8477","572","Morocco"
"Ain Beida","31.5850","-8.6080","11978","Morocco"
"Beni Oulid","34.5897","-4.4514","10324","Morocco"
"Souq at Tlata des Loulad","32.9833","-7.1333","6057","Morocco"
"Timsiyane","30.1647","-8.5469","2338","Morocco"
"Tamsaout","29.5333","-8.8500","13711","Morocco"
"Timoulay Izder","29.1228","-9.5992","5325","Morocco"
"Talat-n-Ya'qoub","30.9903","-8.1772","7866","Morocco"
"Douar Ezzerarda","34.7667","-5.8333","9249","Morocco"
"Ben Guerir","32.2300","-7.9500","88626","Morocco"
"Ida Ou Moumene","30.5983","-9.0025","6105","Morocco"
"Douar Rislane El Fouqiya","34.7583","-2.4311","4265","Morocco"
"Douar Tazrout","35.2631","-5.5453","5974","Morocco"
"Amdel","31.5617","-8.8944","11438","Morocco"
"Sidi Bousber","34.5628","-5.3621","10528","Morocco"
"Oued El Makhazine","34.9333","-5.8500","7266","Morocco"
"Moulay Driss Zerhoun","34.0559","-5.5183","11615","Morocco"
"Imi n'Oulaoun","31.3094","-6.4992","21061","Morocco"
"Tafersit","35.0192","-3.5684","9133","Morocco"
"Loudaya","31.6507","-8.3021","33767","Morocco"
"Oulad Zarrad","31.8750","-7.4217","5606","Morocco"
"Timahdit","33.2517","-5.0259","10945","Morocco"
"Ajdir","35.1930","-3.9120","5314","Morocco"
"Touama","31.5339","-7.4872","11243","Morocco"
"Madagh","35.0103","-2.3370","14486","Morocco"
"Ighrem n'Ougdal","31.2282","-7.4237","14804","Morocco"
"Oulad Aissa","30.5580","-8.6140","12331","Morocco"
"Lahouarta","32.9139","-7.7019","7394","Morocco"
"Assaksi","32.2333","-6.2833","1674","Morocco"
"Adis","29.6919","-7.9856","6511","Morocco"
"Souq Jamaa Fdalate","33.5911","-7.2792","11966","Morocco"
"Ain Taoujdat","33.9333","-5.2167","28288","Morocco"
"Ksar El Kebir","35.0000","-5.9000","126617","Morocco"
"Imilchil","32.1550","-5.6347","8870","Morocco"
"Tilougguit","32.0333","-6.2000","10544","Morocco"
"Oulad Messaoud","32.1883","-7.1808","5011","Morocco"
"Jbarna","34.4939","-3.9117","2730","Morocco"
"Knemis Dades","31.3090","-6.0280","17045","Morocco"
"Assoul","31.9458","-5.2083","7165","Morocco"
"Et Tnine des Beni Ammart","34.8119","-4.1581","6654","Morocco"
"Tichla","21.6100","-15.0000","5743","Morocco"
"Oulad Slim","32.7775","-7.7725","10410","Morocco"
"Midar","34.9500","-3.5333","15021","Morocco"
"Tamallalt","31.8288","-7.5262","16539","Morocco"
"Oulad Yaich","32.4167","-6.3333","27476","Morocco"
"Jouamaa","35.6500","-5.6833","7711","Morocco"
"Tinzart","30.6167","-7.7500","5902","Morocco"
"El Aouina Souatar","31.8503","-2.9650","1006","Morocco"
"Lalla Takerkoust","31.3669","-8.1331","7311","Morocco"
"Anazzou","30.6333","-8.0500","15429","Morocco"
"Ayt Mazigh","32.0747","-6.3517","3330","Morocco"
"Inezgane","30.3658","-9.5381","130333","Morocco"
"Fask","28.9906","-9.8361","3943","Morocco"
"Amizmiz","31.2100","-8.2500","21445","Morocco"
"Bni Darkoul","35.0563","-5.0688","14779","Morocco"
"Khat Azakane","32.2236","-9.1278","16014","Morocco"
"Souk Tlet El Gharb","34.6211","-6.1336","22554","Morocco"
"Laghzawna","33.1914","-7.6701","9315","Morocco"
"Moul El Bergui","32.5228","-8.9986","15342","Morocco"
"Tafraout","29.7167","-8.9667","6345","Morocco"
"Fes","34.0433","-5.0033","1112072","Morocco"
"Dzouz","31.8697","-7.3097","11501","Morocco"
"Bigoudine","30.7185","-9.2101","5131","Morocco"
"Laanoussar","33.6833","-4.8167","8501","Morocco"
"Al Khmissat","33.8100","-6.0600","131542","Morocco"
"Zaouiat Moulay Bouchta El Khammar","34.4833","-5.1167","14347","Morocco"
"Ait Hadi","31.3942","-8.7725","7431","Morocco"
"Imi Mokorn","30.1675","-9.2322","10748","Morocco"
"Oum Azza","33.8808","-6.7858","6197","Morocco"
"Tilmi","31.8189","-5.7718","11372","Morocco"
"Moulay Bouzarqtoune","31.6500","-9.6833","6069","Morocco"
"Oulad Teima","30.4000","-9.2100","89387","Morocco"
"Toulal","32.3037","-3.9861","19077","Morocco"
"Souk et Tnine Jorf el Mellah","34.4833","-5.5169","28681","Morocco"
"Agourai","33.6333","-5.5833","16651","Morocco"
"Askawn","30.7687","-7.7729","7458","Morocco"
"Tazarine","30.6100","-8.0100","15169","Morocco"
"Fritissa","33.6167","-3.5500","29460","Morocco"
"Douar Olad. Salem","32.8739","-8.8589","24775","Morocco"
"Al Brouj","32.5000","-7.2000","19235","Morocco"
"Douar Trougout","35.1797","-3.7714","11458","Morocco"
"Bourdoud","34.5922","-4.5492","26236","Morocco"
"Douar Oulad Amer","32.0697","-7.2142","7015","Morocco"
"Tamorot","34.9333","-4.7833","26748","Morocco"
"Mzizal","32.2269","-4.6475","7388","Morocco"
"Galaz","34.5500","-4.8000","17333","Morocco"
"El Kansera","34.0419","-5.9272","13209","Morocco"
"Ouijjane","29.6333","-9.5500","4938","Morocco"
"El Amim","32.2064","-7.2431","9454","Morocco"
"Sidi el Mokhfi","34.6039","-4.7889","16709","Morocco"
"Mejji","31.5500","-9.3500","6750","Morocco"
"Toundout","31.2647","-6.5906","10606","Morocco"
"Izmorene","35.1833","-4.0000","5153","Morocco"
"Za'roura","35.2167","-5.6667","10137","Morocco"
"Oulad Ben Sebbah","33.2692","-7.2678","7606","Morocco"
"Milla'ab","31.5319","-4.8061","17360","Morocco"
"Tadrart","30.7710","-9.4612","4530","Morocco"
"Foum Zguid","30.0861","-6.8736","8986","Morocco"
"Tifni","31.6281","-6.9444","11760","Morocco"
"Laamarna","31.8944","-8.9842","12717","Morocco"
"Tamgrout","30.2612","-5.6820","21603","Morocco"
"Chefchaouene","35.1714","-5.2697","42786","Morocco"
"Itzer","32.8808","-5.0542","10613","Morocco"
"Brikcha","34.9667","-5.5833","10399","Morocco"
"Qasbat Tadla","32.6000","-6.2600","47343","Morocco"
"Ait Bousarane","31.7917","-7.0926","19501","Morocco"
"Dhar Souk","34.6519","-4.2786","5182","Morocco"
"Moulay Bou 'azza","33.2565","-6.1319","8490","Morocco"
"El Ghiate","32.0331","-9.1625","25162","Morocco"
"Taza","35.0639","-5.2025","28713","Morocco"
"Taza","34.2144","-4.0088","148456","Morocco"
"Tazouta","33.6667","-4.6333","6227","Morocco"
"Sidi Kaouki","31.3556","-9.7972","4625","Morocco"
"Barrechid","33.2700","-7.5872","136634","Morocco"
"Azrar","30.1702","-7.9234","5038","Morocco"
"Lakhzazra","33.0333","-7.0500","8582","Morocco"
"Ait Youssef Ou Ali","31.9833","-5.7833","12673","Morocco"
