"city","lat","lng","population","country"
"Lichinga","-13.3000","35.2456","142253","Mozambique"
"Beira","-19.8333","34.8500","439264","Mozambique"
"Manhica","-25.4000","32.8000","60031","Mozambique"
"Palma","-10.7833","40.4833","75000","Mozambique"
"Mocimboa da Praia","-11.3500","40.3333","30950","Mozambique"
"Inhambane","-23.8650","35.3833","63837","Mozambique"
"Panda","-24.0629","34.7303","602","Mozambique"
"Ligonha","-15.1757","37.7400","3500","Mozambique"
"Regedor Quissico","-24.7257","34.7660","1210","Mozambique"
"Marrupa","-13.1833","37.5000","8762","Mozambique"
"Cidade de Nacala","-14.5500","40.6833","206449","Mozambique"
"Manica","-18.9344","32.8756","4000","Mozambique"
"Chokwe","-24.5333","32.9833","63695","Mozambique"
"Antonio Enes","-16.2308","39.9105","57835","Mozambique"
"Macia","-25.0333","33.1000","23156","Mozambique"
"Mocimboa","-11.3196","40.3500","27909","Mozambique"
"Chibuto","-24.6867","33.5306","58012","Mozambique"
"Espungabera","-20.4531","32.7725","393","Mozambique"
"Mapai","-22.7306","32.0583","19932","Mozambique"
"Chiramba","-16.8921","34.6559","556","Mozambique"
"Maputo","-25.9153","32.5764","1191613","Mozambique"
"Cuamba","-14.8200","36.5486","73268","Mozambique"
"Ilha de Mocambique","-15.0367","40.7328","14000","Mozambique"
"Moatize","-16.1167","33.7500","42000","Mozambique"
"Xai-Xai","-25.0500","33.6500","116343","Mozambique"
"Namaacha","-25.9667","32.0333","29272","Mozambique"
"Tete","-16.1579","33.5898","152909","Mozambique"
"Matola","-25.9667","32.4667","1032197","Mozambique"
"Nicoadala","-17.6077","36.8197","6945","Mozambique"
"Pemba","-12.9667","40.5167","141316","Mozambique"
"Mocuba","-16.8391","36.9855","69045","Mozambique"
"Mocuba","-16.8496","38.2600","68984","Mozambique"
"Montepuez","-13.1167","39.0000","72279","Mozambique"
"Chinde","-18.5833","36.4667","16500","Mozambique"
"Dondo","-19.6167","34.7500","78648","Mozambique"
"Maxixe","-23.8597","35.3472","108824","Mozambique"
"Quelimane","-17.8764","36.8872","192876","Mozambique"
"Vilankulo","-22.0000","35.3167","177","Mozambique"
"Chimoio","-19.1167","33.4500","238976","Mozambique"
"Nampula","-15.1167","39.2667","477900","Mozambique"
"Massangena","-21.5373","32.9564","650","Mozambique"
