"city","lat","lng","population", "country"
"Karasburg","-28.0172","18.7478","6054","Namibia"
"Otavi","-19.6381","17.3403","4562","Namibia"
"Rehoboth","-23.3167","17.0833","25219","Namibia"
"Outapi","-17.5028","14.9856","4606","Namibia"
"Keetmanshoop","-26.5833","18.1333","18900","Namibia"
"Outjo","-20.1069","16.1503","6557","Namibia"
"Hentiesbaai","-22.1203","14.2811","4725","Namibia"
"Oranjemund","-28.5500","16.4333","3900","Namibia"
"Otjiwarongo","-20.4642","16.6528","28249","Namibia"
"Windhoek","-22.5700","17.0836","322500","Namibia"
"Swakopmund","-22.6667","14.5333","34300","Namibia"
"Mariental","-24.6333","17.9667","12478","Namibia"
"Usakos","-22.0000","15.6000","9147","Namibia"
"Luderitz","-26.6478","15.1578","12537","Namibia"
"Katima Mulilo","-17.5039","24.2750","28699","Namibia"
"Tsumeb","-19.2500","17.7167","14959","Namibia"
"Oshikango","-17.4000","15.8833","12423","Namibia"
"Bethanie","-26.4995","17.1500","10363","Namibia"
"Rundu","-17.9167","19.7667","63431","Namibia"
"Opuwo","-18.0607","13.8400","4857","Namibia"
"Maltahohe","-24.8400","16.9400","2329","Namibia"
"Ongwediva","-17.7833","15.7667","10964","Namibia"
"Walvisbaai","-22.9494","14.5069","85000","Namibia"
"Omaruru","-21.4183","15.9539","11547","Namibia"
"Gobabis","-22.4500","18.9667","16321","Namibia"
"Grootfontein","-19.5658","18.1036","24099","Namibia"
"Hoachanas","-23.9214","18.0539","3000","Namibia"
"Karibib","-21.9390","15.8530","6898","Namibia"
"Okahandja","-21.9796","16.9100","20879","Namibia"
