"city","lat","lng","population", "country"
"Ramechhap","27.3260","86.0870","15000","Nepal"
"Janakpur","26.7122","85.9217","97776","Nepal"
"Gulariya","28.2331","81.3331","55747","Nepal"
"Dadeldhura","29.3000","80.6000","19014","Nepal"
"Bhaktapur","27.6722","85.4278","81748","Nepal"
"Kirtipur","27.6667","85.2833","65602","Nepal"
"Dhangadhi","28.6833","80.6000","101970","Nepal"
"Jaleshwar","26.6333","85.8000","23533","Nepal"
"Nepalganj","28.0500","81.6167","72503","Nepal"
"Anaittha","26.7017","85.8264","2533","Nepal"
"Bhairahawa","27.5000","83.4500","63483","Nepal"
"Bhimphedi","27.5510","85.1300","15000","Nepal"
"Bharatpur","27.6833","84.4333","143836","Nepal"
"Nagartkot","27.7183","85.5181","4571","Nepal"
"Kathmandu","27.7167","85.3667","975453","Nepal"
"Biratnagar","26.4833","87.2833","242548","Nepal"
"Birendranagar","28.6000","81.6333","47914","Nepal"
"Bidur","27.8900","85.1597","26750","Nepal"
"Palpa","27.8667","83.5500","29095","Nepal"
"Itahari","26.6667","87.2833","74501","Nepal"
"Birganj","27.0000","84.8667","135904","Nepal"
"Jitpur","27.6666","85.3333","337785","Nepal"
"Butwal","27.7000","83.4500","118462","Nepal"
"Hetauda","27.4167","85.0333","84671","Nepal"
"Pokhara","28.2097","83.9853","353841","Nepal"
"Charikot","27.6667","86.0333","7349","Nepal"
"Tulsipur","28.1278","82.2956","51537","Nepal"
"Ilam","26.9080","87.9260","17491","Nepal"
"Dharan","26.8167","87.2667","116181","Nepal"
"Tikapur","28.5000","81.1333","56127","Nepal"
"Panauti","27.5833","85.5167","27358","Nepal"
"Salyan","28.3500","82.1833","15000","Nepal"
"Khadbari","27.3667","87.2167","26301","Nepal"
"Kisanpur","26.9333","85.5833","5506","Nepal"
"Malangawa","26.8667","85.5667","25102","Nepal"
"Baglung","28.2667","83.5833","23296","Nepal"
"Hanumannagar","26.5394","86.7483","37738","Nepal"
"Jumla","29.2500","82.2167","9073","Nepal"
"Siraha","26.6528","86.2069","28442","Nepal"
