"city","lat","lng","population","country"
"Sint Geertruid","50.7964","5.7656","1482","Netherlands"
"Dalen","52.7000","6.7500","5564","Netherlands"
"Verwolde","52.2006","6.3919","583","Netherlands"
"Oirsbeek","50.9489","5.9089","4717","Netherlands"
"Clinge","51.2706","4.0881","3815","Netherlands"
"Voorthuizen","52.1861","5.6067","1185","Netherlands"
"Den Dungen","51.6653","5.3714","4297","Netherlands"
"Zierikzee","51.6497","3.9164","11360","Netherlands"
"Breda","51.5875","4.7750","183873","Netherlands"
"Dinther","51.6450","5.4864","3014","Netherlands"
"Stavenisse","51.5861","4.0122","1945","Netherlands"
"Zwolle","52.5125","6.0944","111805","Netherlands"
"Zandvoort","52.3667","4.5333","17011","Netherlands"
"Lekkerkerk","51.8972","4.6828","7291","Netherlands"
"Driel","51.9592","5.8131","4339","Netherlands"
"Montfort","51.1261","5.9486","562","Netherlands"
"Stoppeldijkveer","51.3219","3.9856","1822","Netherlands"
"Herkingen","51.7100","4.0872","1066","Netherlands"
"Tynaarlo","53.0833","6.6000","33698","Netherlands"
"Sloten","52.8944","5.6453","899","Netherlands"
"Klundert","51.6628","4.5289","6601","Netherlands"
"Wieldrecht","51.7833","4.6500","442","Netherlands"
"Drongelen","51.7150","5.0542","398","Netherlands"
"Apeldoorn","52.2100","5.9700","161156","Netherlands"
"Hellendoorn","52.3885","6.4497","35808","Netherlands"
"Venhuizen","52.6624","5.2000","7828","Netherlands"
"Purmerend","52.5050","4.9639","80117","Netherlands"
"Hoogwoud","52.7153","4.9367","3258","Netherlands"
"Ermelo","52.3000","5.6331","26858","Netherlands"
"Dronten","52.5242","5.7125","40815","Netherlands"
"Tegelen","51.3422","6.1364","19337","Netherlands"
"Groet","52.7231","4.6681","171","Netherlands"
"Nieuw-Vossemeer","51.5897","4.2181","2219","Netherlands"
"Wisch","51.9333","6.3167","19911","Netherlands"
"Klimmen","50.8764","5.8819","4208","Netherlands"
"Weerselo","52.3519","6.8572","9294","Netherlands"
"Bunde","50.8958","5.7331","4798","Netherlands"
"Muiden","52.3292","5.0714","3535","Netherlands"
"Nieuwleusen","52.5833","6.2833","9190","Netherlands"
"Beverwijk","52.4864","4.6572","41176","Netherlands"
"Ankeveen","52.2653","5.0989","1073","Netherlands"
"Cuijk","51.7269","5.8794","24931","Netherlands"
"Warder","52.5641","5.0311","538","Netherlands"
"Nijeveen","52.7328","6.1675","2860","Netherlands"
"Tubbergen","52.4000","6.7667","21276","Netherlands"
"Wijngaarden","51.8444","4.7611","684","Netherlands"
"Bokhoven","51.7372","5.2319","260","Netherlands"
"Zouteveen","51.9500","4.3339","274","Netherlands"
"Maasbree","51.3500","6.0500","13216","Netherlands"
"Piershil","51.7933","4.3147","1406","Netherlands"
"Dirksland","51.7500","4.1000","8408","Netherlands"
"Noorbeek","50.7681","5.8131","1147","Netherlands"
"Geleen","50.9667","5.8333","36958","Netherlands"
