"city","lat","lng","population", "country"
"Hamilton","-37.7833","175.2833","169300","New Zealand"
"Kingseat","-37.1260","174.8000","620","New Zealand"
"Dunedin","-45.8667","170.5000","106200","New Zealand"
"Lumsden","-45.7380","168.4420","530","New Zealand"
"Mangonui","-34.9910","173.5320","660","New Zealand"
"Sheffield","-43.3889","172.0181","324","New Zealand"
"Tikokino","-39.8210","176.4560","210","New Zealand"
"Kawerau","-38.0847","176.6996","7750","New Zealand"
"Te Aroha","-37.5388","175.7091","4670","New Zealand"
"Mossburn","-45.6670","168.2340","180","New Zealand"
"Hope","-41.3667","173.1500","970","New Zealand"
"Omori","-38.9010","175.7610","220","New Zealand"
"Blackball","-42.3667","171.4170","290","New Zealand"
"Lincoln","-43.6400","172.4860","8130","New Zealand"
"Clarks Beach","-37.1360","174.6930","1530","New Zealand"
"Auckland","-36.8500","174.7833","1470100","New Zealand"
"Kaponga","-39.4294","174.1494","320","New Zealand"
"Kirwee","-43.5000","172.2167","1040","New Zealand"
"Granity","-41.6333","171.8500","168","New Zealand"
"Waiau","-42.6544","173.0425","252","New Zealand"
"Waipopo","-44.2740","171.3300","90","New Zealand"
"Snells Beach","-36.4222","174.7275","3730","New Zealand"
"Pauanui","-37.0230","175.8590","1130","New Zealand"
"Baylys Beach","-35.9530","173.7450","340","New Zealand"
"Nelson","-41.2931","173.2381","49300","New Zealand"
"Egmont Village","-39.1456","174.1450","350","New Zealand"
"Hokitika","-42.7167","170.9667","3090","New Zealand"
"Mosgiel","-45.8750","170.3480","14600","New Zealand"
"Carters Beach","-41.7480","171.5620","340","New Zealand"
"Opua","-35.3142","174.1186","1220","New Zealand"
"Taharoa","-38.1508","174.7340","180","New Zealand"
"Ashley","-43.2833","172.6000","420","New Zealand"
"Paekakariki","-40.9833","174.9500","1840","New Zealand"
"Haruru","-35.2807","174.0543","1150","New Zealand"
"Puhoi","-36.5120","174.6610","390","New Zealand"
"Kaiteriteri","-41.0331","173.0167","735","New Zealand"
"Maheno","-45.1667","170.8330","130","New Zealand"
"Norsewood","-40.0667","176.2170","140","New Zealand"
"Masterton","-40.9667","175.6500","21400","New Zealand"
"Upper Hutt","-41.1333","175.0500","44300","New Zealand"
"Otematata","-44.6069","170.1911","200","New Zealand"
"Karapiro","-37.9190","175.5420","300","New Zealand"
"Matata","-37.8900","176.7580","710","New Zealand"
"Haast","-43.8803","169.0400","84","New Zealand"
"Ruatoria","-37.8900","178.3100","830","New Zealand"
"Te Anau","-45.4167","167.7167","2940","New Zealand"
"Waitakaruru","-37.2387","175.3859","90","New Zealand"
"Clive","-39.5833","176.9167","2360","New Zealand"
"Kairaki","-43.3850","172.7030","225","New Zealand"
"Governors Bay","-43.6247","172.6480","940","New Zealand"
"Rai Valley","-41.2275","173.5831","190","New Zealand"
"Te Kauwhata","-37.4000","175.1500","2310","New Zealand"
"Woodville","-40.3371","175.8667","1630","New Zealand"
"Rotoiti","-38.0540","176.4720","540","New Zealand"
"Dunsandel","-43.6600","172.1950","460","New Zealand"
"Havelock North","-39.6667","176.8833","14900","New Zealand"
"Waverley","-39.7667","174.6330","830","New Zealand"
"Te Puru","-37.0467","175.5217","580","New Zealand"
"Waiouru","-39.4690","175.6760","790","New Zealand"
"Christchurch","-43.5309","172.6365","377200","New Zealand"
"Waipara","-43.0560","172.7590","320","New Zealand"
"Algies Bay","-36.4320","174.7450","1040","New Zealand"
"Ahipara","-35.1714","173.1533","1390","New Zealand"
"Kerikeri","-35.2244","173.9514","7850","New Zealand"
"Dobson","-42.4520","171.3110","590","New Zealand"
"Selwyn Huts","-43.7140","172.4390","100","New Zealand"
"Blenheim","-41.5167","173.9500","28200","New Zealand"
"Southbridge","-43.8110","172.2530","960","New Zealand"
"Kaikohe","-35.4075","173.7997","4820","New Zealand"
"Onga Onga","-39.9140","176.4200","180","New Zealand"
"Pareora","-44.4870","171.2090","490","New Zealand"
"Patumahoe","-37.1860","174.8280","1270","New Zealand"
"Ruby Bay","-41.2360","173.0830","750","New Zealand"
"Whangamata","-37.2100","175.8740","4420","New Zealand"
"Ashton","-44.0330","171.7720","17700","New Zealand"
"Kaeo","-35.1000","173.7833","240","New Zealand"
"Tapawera","-41.4000","172.8170","350","New Zealand"
"Arthurs Point","-44.9916","168.6701","1260","New Zealand"
"Millers Flat","-45.6667","169.4170","90","New Zealand"
"Te Awamutu","-38.0083","175.3250","13100","New Zealand"
"Mahurangi West","-36.5030","174.6940","90","New Zealand"
"Wyndham","-46.3290","168.8480","600","New Zealand"
"Orari","-44.1390","171.2970","170","New Zealand"
"Hokio Beach","-40.5965","175.1928","200","New Zealand"
"Manaia","-39.5508","174.1250","1000","New Zealand"
"Waikari","-42.9690","172.7060","280","New Zealand"
"Paihia","-35.2822","174.0911","1660","New Zealand"
"Te Teko","-38.0361","176.7960","480","New Zealand"
"Gisborne","-38.6625","178.0178","37000","New Zealand"
"Taitapu","-43.6620","172.5490","620","New Zealand"
"Moana","-42.5750","171.4820","57","New Zealand"
"Oakura","-39.1167","173.9500","1650","New Zealand"
"Opononi","-35.5125","173.3903","270","New Zealand"
"Tuatapere","-46.1300","167.6910","550","New Zealand"
"Tairua","-37.0064","175.8489","1560","New Zealand"
"Bowentown","-37.4660","175.9850","345","New Zealand"
"Russell","-35.2610","174.1220","800","New Zealand"
"Makikihi","-44.6310","171.1420","90","New Zealand"
"Clevedon","-36.9908","175.0378","640","New Zealand"
"Moeraki","-45.3630","170.8470","120","New Zealand"
"Tokerau Beach","-34.8840","173.3710","260","New Zealand"
"Tasman","-41.1883","173.0503","560","New Zealand"
"Frasertown","-38.9690","177.4030","260","New Zealand"
"Kaka Point","-46.3833","169.7830","231","New Zealand"
"Tauranga","-37.6858","176.1667","135000","New Zealand"
"Manukau City","-37.0000","174.8850","375600","New Zealand"
"Parakai","-36.6500","174.4330","1150","New Zealand"
"Kerepehi","-37.2970","175.5460","560","New Zealand"
"Waihola","-46.0222","170.0973","450","New Zealand"
"Murchison","-41.8000","172.3333","500","New Zealand"
"Maketu","-37.7589","176.4531","1330","New Zealand"
"Lepperton","-39.0600","174.2100","460","New Zealand"
"Ohawe","-39.5850","174.1990","230","New Zealand"
"Ward","-41.8269","174.1411","90","New Zealand"
"Karangahake","-37.4210","175.7190","340","New Zealand"
"Mount Somers","-43.7090","171.4000","160","New Zealand"
"Tryphena","-36.3010","175.4860","210","New Zealand"
"Whakamaru","-38.4240","175.8080","170","New Zealand"
"Maungaturoto","-36.1070","174.3600","1000","New Zealand"
"Ti Point","-36.3150","174.7860","140","New Zealand"
"Stillwater","-36.6390","174.7120","1040","New Zealand"
"Herbert","-45.2333","170.7830","100","New Zealand"
"Whakatu","-39.6050","176.8960","680","New Zealand"
"Kihikihi","-38.0333","175.3500","3090","New Zealand"
"Whangateau","-36.3090","174.7680","130","New Zealand"
"Karekare","-36.9861","174.4800","270","New Zealand"
"Helensville","-36.6797","174.4494","3150","New Zealand"
"Lake Hawea","-44.6110","169.2640","1700","New Zealand"
"Glentunnel","-43.4820","171.9340","180","New Zealand"
"Tuakau","-37.2667","174.9500","5390","New Zealand"
"Te Puke","-37.7833","176.3167","9560","New Zealand"
"Matakana","-36.3517","174.7167","540","New Zealand"
"Macetown","-44.8650","168.8190","16600","New Zealand"
"Kaiaua","-37.1120","175.2930","450","New Zealand"
"Maraetai","-36.8830","175.0430","2500","New Zealand"
"Te Karaka","-38.4667","177.8667","550","New Zealand"
"Rakaia","-43.7500","172.0167","1510","New Zealand"
"Athenree","-37.4450","175.9620","870","New Zealand"
"Waikuku Beach","-43.2870","172.7160","940","New Zealand"
"Westport","-41.7550","171.5990","4660","New Zealand"
"Coromandel","-36.7540","175.5040","1860","New Zealand"
"Fox Glacier","-43.4660","170.0200","306","New Zealand"
"Kaitaia","-35.1125","173.2628","6300","New Zealand"
"Stratford","-39.3410","174.2840","6030","New Zealand"
"Timaru","-44.4000","171.2500","28700","New Zealand"
"Brightwater","-41.3750","173.1020","2250","New Zealand"
"Kaukapakapa","-36.6167","174.5000","960","New Zealand"
"Bulls","-40.1750","175.3833","2150","New Zealand"
"Mourea","-38.0480","176.3260","399","New Zealand"
"Waipu","-35.9833","174.4500","1160","New Zealand"
"Karitane","-45.6350","170.6530","420","New Zealand"
"Waiwera","-36.5450","174.7030","250","New Zealand"
"Ngawha Springs","-35.4090","173.8600","160","New Zealand"
"Edgecumbe","-37.9833","176.8333","1790","New Zealand"
"Mangaweka","-39.8090","175.7890","90","New Zealand"
"Warrington","-45.7101","170.5941","510","New Zealand"
"Sandspit","-36.3950","174.7210","550","New Zealand"
"Wairau Valley","-41.5656","173.5290","231","New Zealand"
"Pleasant Point","-44.2610","171.1330","1460","New Zealand"
"Riverton","-46.3500","168.0167","1700","New Zealand"
"Port Albert","-36.2764","174.4289","130","New Zealand"
"Kinloch","-38.6600","175.9231","800","New Zealand"
"Leithfield","-43.1940","172.7410","600","New Zealand"
"Outram","-45.8580","170.2310","790","New Zealand"
"Cust","-43.3111","172.3819","410","New Zealand"
"Lake Tekapo","-44.0040","170.4775","558","New Zealand"
"Fairlie","-44.1000","170.8333","910","New Zealand"
"Hunterville","-39.9360","175.5680","430","New Zealand"
"Ngakawau","-41.6110","171.8720","201","New Zealand"
"Puriri","-37.2297","175.6372","250","New Zealand"
"Murupara","-38.4560","176.7050","1970","New Zealand"
"Ngahinapouri","-37.8960","175.2040","195","New Zealand"
"Kaiwaka","-36.1667","174.4500","830","New Zealand"
"Riwaka","-41.0770","172.9970","810","New Zealand"
"Woodbourne","-41.5095","173.8636","690","New Zealand"
"Kawhia","-38.0667","174.8167","410","New Zealand"
"Owaka","-46.4500","169.6670","320","New Zealand"
"Waikuku","-43.2950","172.6840","170","New Zealand"
"Ahaura","-42.3483","171.5406","390","New Zealand"
"Rolleston","-43.5960","172.3830","21900","New Zealand"
"Benhar","-46.2250","169.7940","90","New Zealand"
"Lower Hutt","-41.2167","174.9167","103400","New Zealand"
"Napier","-39.4833","176.9167","62241","New Zealand"
"Whangarei Heads","-35.8172","174.5039","1060","New Zealand"
"Whangarei","-35.7250","174.3236","54400","New Zealand"
"Tapanui","-45.9500","169.2667","800","New Zealand"
"Waitara","-38.9958","174.2331","7270","New Zealand"
"Waikouaiti","-45.5948","170.6728","1250","New Zealand"
"Sefton","-43.2460","172.6680","220","New Zealand"
"Huia","-37.0040","174.5620","680","New Zealand"
"Aramoana","-45.7770","170.7000","111","New Zealand"
"Coalgate","-43.4833","171.9667","370","New Zealand"
"Brighton","-45.9486","170.3273","1570","New Zealand"
"Levin","-40.6250","175.2833","18800","New Zealand"
"Kimbolton","-40.0580","175.7790","240","New Zealand"
"Kingston","-45.3330","168.7160","360","New Zealand"
"Havelock","-41.2831","173.7667","630","New Zealand"
"Halcombe","-40.1410","175.4900","500","New Zealand"
"Patutahi","-38.6250","177.8911","350","New Zealand"
"Arapuni","-38.0667","175.6500","310","New Zealand"
"Hamurana","-38.0360","176.2410","1080","New Zealand"
"Waikawa Beach","-40.6900","175.1510","150","New Zealand"
"Woodend Beach","-43.3371","172.7029","290","New Zealand"
"Eketahuna","-40.6450","175.7030","530","New Zealand"
"Whitianga","-36.8331","175.6997","6160","New Zealand"
"Roxburgh","-45.5400","169.3140","600","New Zealand"
"Rotherham","-42.7000","172.9500","150","New Zealand"
