"city","lat","lng","population", "country"
"Tipitapa","12.1973","-86.0971","108457","Nicaragua"
"San Jose de Cusmapa","13.2884","-86.6554","7072","Nicaragua"
"Siuna","13.7333","-84.7667","73730","Nicaragua"
"San Marcos","11.9167","-86.2000","24000","Nicaragua"
"Niquinohomo","11.9052","-86.0945","13458","Nicaragua"
"Granada","11.9300","-85.9561","105171","Nicaragua"
"San Carlos","11.2000","-84.8333","13451","Nicaragua"
"Esteli","13.0833","-86.3500","129924","Nicaragua"
"Bluefields","12.0140","-83.7645","45547","Nicaragua"
"Jinotepe","11.8500","-86.2000","52175","Nicaragua"
"Prinzapolka","13.4000","-83.5667","6189","Nicaragua"
"Jinotega","13.0833","-86.0000","136342","Nicaragua"
"San Juan del Sur","11.2500","-85.8667","17104","Nicaragua"
"Boaco","12.4722","-85.6586","317000","Nicaragua"
"Greytown","10.9167","-83.7000","275","Nicaragua"
"San Rafael del Sur","11.8500","-86.4500","23420","Nicaragua"
"San Sebastian de Yali","13.3000","-86.1833","35549","Nicaragua"
"San Francisco del Norte","13.2333","-86.7000","6758","Nicaragua"
"Rivas","11.4333","-85.8333","26046","Nicaragua"
"Catarina","11.9119","-86.0751","7524","Nicaragua"
"Matagalpa","12.9167","-85.9167","156218","Nicaragua"
"Ocotal","13.6333","-86.4833","34580","Nicaragua"
"Managua","12.1500","-86.2667","1028808","Nicaragua"
"San Rafael del Norte","13.2000","-86.1000","22147","Nicaragua"
"El Viejo","12.6667","-87.1667","39178","Nicaragua"
"El Realejo","12.5431","-87.1647","10300","Nicaragua"
"Bonanza","14.0167","-84.5833","15000","Nicaragua"
"Kukrahill","12.2500","-83.7500","8790","Nicaragua"
"Diriamba","11.8500","-86.2333","57512","Nicaragua"
"El Cua","13.3679","-85.6728","59307","Nicaragua"
"Wiwili","13.6167","-85.8167","74887","Nicaragua"
"Nandaime","11.7570","-86.0529","37413","Nicaragua"
"Ciudad Antigua","13.6333","-86.3167","4868","Nicaragua"
"Chinandega","12.6242","-87.1297","151707","Nicaragua"
"Orinoco","12.5542","-83.7117","2000","Nicaragua"
"Leon","12.4333","-86.8833","174051","Nicaragua"
"Mozonte","13.6500","-86.4500","6795","Nicaragua"
"Corinto","12.4833","-87.1833","22000","Nicaragua"
"Masaya","11.9667","-86.1000","139582","Nicaragua"
"Ciudad Dario","12.7314","-86.1240","41014","Nicaragua"
"Bilwi","14.0500","-83.3833","33600","Nicaragua"
"Juigalpa","12.0833","-85.4000","60583","Nicaragua"
"Yalaguina","13.4833","-86.4833","9597","Nicaragua"
"San Jose de Bocay","13.5333","-85.5333","63922","Nicaragua"
"Somoto","13.4833","-86.5833","20300","Nicaragua"
"La Concordia","13.1833","-86.1667","7320","Nicaragua"
"El Castillo de La Concepcion","11.0178","-84.4011","19864","Nicaragua"
"Chichigalpa","12.5667","-87.0333","46185","Nicaragua"
