"city","lat","lng","population","country"
"Mayaki Dey","12.8155","3.4160","751","Niger"
"Kossey","13.5139","2.0387","339","Niger"
"Chikal Ilela","14.2436","3.4614","477","Niger"
"Doulsou","14.7475","0.8961","1264","Niger"
"Ouinditene","13.7583","2.8897","558","Niger"
"Sandire","13.6517","2.8951","1382","Niger"
"Takieta","13.6806","8.5292","8554","Niger"
"Gorou Kirey","13.4263","2.1422","585","Niger"
"Ganguel","13.5065","2.0419","303","Niger"
"Yamya","13.4268","10.3018","685","Niger"
"Tahoua","14.9000","5.2599","115956","Niger"
"Telemses","15.6231","4.7816","3599","Niger"
"Kouloun Karki","14.6458","8.8353","697","Niger"
"Tondikoire","14.6941","1.8525","799","Niger"
"Samia","14.7076","8.2369","2977","Niger"
"Tilakeyna","14.2274","1.4503","2636","Niger"
"Moussadeye","13.3918","3.1952","6742","Niger"
"Boultoum","14.5958","10.2897","138","Niger"
"Zangon Iletafane","13.5041","8.4622","243","Niger"
"Koutoufani","13.3067","3.2283","2345","Niger"
"Gijikawa","14.7493","8.6755","913","Niger"
"Dan Kori","13.9109","7.9719","5902","Niger"
"Koutoukale Zeno","13.6937","1.7435","2455","Niger"
"Gorou-Banda","13.4390","2.1278","328","Niger"
"Achenouma","19.1282","12.9235","581","Niger"
"Soudoure Peul","13.5822","2.0072","10","Niger"
"Dan Daji","14.2823","5.1254","2539","Niger"
"Neini Goungou","13.5142","2.0641","201","Niger"
"Soumarana","13.4467","7.0879","4353","Niger"
"Bani Bangou","15.0408","2.7050","6788","Niger"
"Saya","13.7839","1.6071","1588","Niger"
"Sakadamna","13.2712","3.6938","2278","Niger"
"Sabon Birni","11.8847","3.5931","5970","Niger"
"Nobi","14.0172","5.5364","4425","Niger"
"Boubon","13.6019","1.9269","1829","Niger"
"Kassani","13.8932","1.5060","2332","Niger"
"Tiloa","15.0646","2.0586","1769","Niger"
"I-n-Ouagar","14.9258","5.9761","1439","Niger"
"I-n-Ouagar","16.1256","6.6856","2365","Niger"
"Famale","14.5524","1.0826","2065","Niger"
"Takorka","13.9238","6.1795","3505","Niger"
"Arrigui","19.0777","12.9185","485","Niger"
"Dosey","13.8825","5.1928","6968","Niger"
"Dindi","14.4179","5.6135","5926","Niger"
"Assamakka","19.3667","5.8000","513","Niger"
"Gezawa","14.4430","8.7289","2385","Niger"
"Ziban","14.5540","1.3356","3148","Niger"
"Ko Gorou","13.6062","2.2024","3608","Niger"
"Baroua Koura","13.8824","13.1735","3292","Niger"
"Ngalwa","13.5624","12.9048","834","Niger"
"Bayzo","13.8722","4.7536","883","Niger"
"Toubout","14.3387","5.5951","6785","Niger"
"Kaora Abdou","14.4525","5.6604","5672","Niger"
"Guileyni","13.4410","2.7068","813","Niger"
"Soudani","14.2810","1.2983","1875","Niger"
"Gueriel","13.7993","1.3569","1160","Niger"
"Boumba","12.4072","2.8455","1774","Niger"
"Maourey Kouara Zeno","13.5895","2.6497","378","Niger"
"Saga Fondo","13.5839","1.9609","3865","Niger"
"Angoul Denya","14.3433","5.7002","6937","Niger"
"La Tapoa","12.4749","2.4248","126","Niger"
"Seberi Zarma","13.2952","2.3450","2064","Niger"
"Dole","11.7127","3.6288","3325","Niger"
"Djado","21.0150","12.3075","10","Niger"
"Yeni","13.4296","2.9933","3976","Niger"
"Baleyara","13.7841","2.9515","16063","Niger"
"Tiawa","13.5033","1.2867","753","Niger"
"Taroum","14.6752","2.2721","1607","Niger"
"Awadam","13.6266","13.2518","1503","Niger"
"Saouani","14.2552","1.3345","2034","Niger"
"Bakin Birji I","14.2565","8.7943","6702","Niger"
"Niabere Bella Zarma","13.3162","2.8391","1240","Niger"
"Dan Gona","14.2697","5.0383","5116","Niger"
"Moulela","14.6338","4.9575","5440","Niger"
"Taza","15.3608","5.2072","7040","Niger"
"Zeynam Tyalori","13.3586","12.7185","957","Niger"
"Birnin Konni","13.7904","5.2599","65252","Niger"
"Guidan Roumdji","13.6575","6.6958","17525","Niger"
"Abardokh","17.5151","8.6481","1254","Niger"
"Souloulou","13.6127","6.4177","5424","Niger"
"Garbougoua","13.8709","1.1238","2461","Niger"
"Kouli Kouara","13.8718","1.4867","5413","Niger"
"Bouti","13.9872","11.3333","5768","Niger"
"Hamdallay","13.5572","2.4064","6153","Niger"
"Zinder","13.8000","8.9833","322935","Niger"
"Gazori","13.4867","7.9562","2544","Niger"
"Malgorou","12.1733","3.4633","5115","Niger"
"Jika-ta","13.6363","7.8241","1960","Niger"
"Tougana","13.8438","4.2189","183","Niger"
"Talcho","14.5786","3.3637","2235","Niger"
"Cheri","13.4244","11.3853","1743","Niger"
"Sorbon Haoussa","13.7828","1.6708","958","Niger"
"Djaji Douna","14.8646","9.0158","982","Niger"
"Farie H.","13.7943","1.6362","372","Niger"
"Kotaki","12.4490","2.8775","3221","Niger"
"Tondi Kouarey","13.5864","1.9934","2519","Niger"
"Karey Gorou","13.5367","2.0063","2048","Niger"
"Seguedine","20.1967","12.9665","381","Niger"
"Fadama","13.0379","3.9024","3603","Niger"
"Garadoume","14.3671","5.8841","5749","Niger"
"Ngounga Zarma","13.1792","2.8267","1503","Niger"
"Sargadji","13.6139","3.1721","4297","Niger"
"Yaama","14.3601","5.4975","7351","Niger"
"Jambriji","13.4070","9.4426","5304","Niger"
"Ayorou","14.7318","0.9195","26290","Niger"
"Lougou","13.8578","4.2428","366","Niger"
"Boureimi","13.1590","3.7297","1861","Niger"
"Baguey","14.8503","5.5636","7640","Niger"
"Tongo Tongo","15.0532","1.8355","714","Niger"
"Saga Gorou","13.5395","2.2115","2792","Niger"
"Fandou Beri","14.0303","2.8603","3421","Niger"
"Fandou Beri","13.5331","2.5557","1162","Niger"
