"city","lat","lng","population", "country"
"Gashua","12.8705","11.0400","125817","Nigeria"
"Ibadan","7.3964","3.9167","2628000","Nigeria"
"Gusau","12.1704","6.6600","226857","Nigeria"
"Ogbomoso","8.1333","4.2500","1032000","Nigeria"
"Funtua","11.5204","7.3200","180475","Nigeria"
"Owo","7.1962","5.5868","276574","Nigeria"
"Orlu","5.7837","7.0333","9351","Nigeria"
"Ile-Ife","7.4667","4.5667","501952","Nigeria"
"Ijebu-Ode","6.8204","3.9200","209175","Nigeria"
"Bama","11.5204","13.6900","118121","Nigeria"
"Zango","12.9333","8.5333","154743","Nigeria"
"Kano","12.0000","8.5167","2828861","Nigeria"
"Mubi","10.2686","13.2670","225705","Nigeria"
"Onitsha","6.1667","6.7833","1483000","Nigeria"
"Kontagora","10.4004","5.4699","98754","Nigeria"
"Calabar","4.9500","8.3250","461796","Nigeria"
"Umuahia","5.5333","7.4833","359230","Nigeria"
"Abuja","9.0556","7.4914","1235880","Nigeria"
"Yola","9.2000","12.4833","392854","Nigeria"
"Nguru","12.8804","10.4500","111014","Nigeria"
"Lokoja","7.8004","6.7399","60579","Nigeria"
"Ikare","7.5304","5.7600","1099931","Nigeria"
"Aba","5.1167","7.3667","500183","Nigeria"
"Biu","10.6204","12.1900","95005","Nigeria"
"Oyo","7.8333","3.9333","736072","Nigeria"
"Idah","7.1104","6.7399","75087","Nigeria"
"Dutse","11.8283","9.3158","153000","Nigeria"
"Kumo","10.0431","11.2183","35712","Nigeria"
"Lagos","6.4500","3.4000","15279000","Nigeria"
"Birnin Kebbi","12.4504","4.1999","108164","Nigeria"
"Port Harcourt","4.7500","7.0000","1005904","Nigeria"
"Iwo","7.6300","4.1800","250443","Nigeria"
"Katsina","12.9889","7.6008","432149","Nigeria"
"Koko","11.4232","4.5170","25792","Nigeria"
"Ikot Abasi","4.5704","7.5600","34911","Nigeria"
"Sokoto","13.0622","5.2339","732178","Nigeria"
"Warri","5.5167","5.7500","830106","Nigeria"
"Numan","9.4669","12.0328","77617","Nigeria"
"Iseyin","7.9667","3.6000","98071","Nigeria"
"Lafia","8.4904","8.5200","127236","Nigeria"
"Offa","8.1491","4.7207","166112","Nigeria"
"Burutu","5.3533","5.5083","209666","Nigeria"
"Enugu","6.4403","7.4942","715774","Nigeria"
"Ondo","7.0904","4.8400","257005","Nigeria"
"Epe","6.5833","4.0000","181409","Nigeria"
"Jalingo","8.9004","11.3600","117757","Nigeria"
"Sapele","5.8904","5.6800","309162","Nigeria"
"Azare","11.6804","10.1900","105687","Nigeria"
"Gombe","10.2904","11.1700","270366","Nigeria"
"Uyo","5.0500","7.9333","429900","Nigeria"
"Nsukka","6.8567","7.3958","111017","Nigeria"
"Bauchi","10.3158","9.8442","693700","Nigeria"
"Mai'Adua","13.1906","8.2117","201178","Nigeria"
"Bida","9.0804","6.0100","173849","Nigeria"
"Kaduna","10.5231","7.4403","760084","Nigeria"
"Ilorin","8.5000","4.5500","847582","Nigeria"
"Otukpo","7.1904","8.1300","68220","Nigeria"
"Benin City","6.3176","5.6145","1190000","Nigeria"
"Apapa","6.4489","3.3589","217362","Nigeria"
"Minna","9.6139","6.5569","304113","Nigeria"
"Jos","9.9333","8.8833","873943","Nigeria"
"Keffi","8.8490","7.8736","85911","Nigeria"
"Makurdi","7.7300","8.5300","292645","Nigeria"
"Akure","7.2500","5.1950","420594","Nigeria"
"Abeokuta","7.1500","3.3500","888924","Nigeria"
"Maiduguri","11.8333","13.1500","1197497","Nigeria"
"Ado-Ekiti","7.6167","5.2167","446749","Nigeria"
"Awka","6.2000","7.0667","301657","Nigeria"
"Potiskum","11.7104","11.0800","86002","Nigeria"
"Owerri","5.4833","7.0333","1401873","Nigeria"
"Wukari","7.8704","9.7800","92933","Nigeria"
"Osogbo","7.7667","4.5667","408245","Nigeria"
"Zaria","11.0667","7.7000","408198","Nigeria"
"Damaturu","11.7500","11.9667","255895","Nigeria"
