"city","lat","lng","population", "country"
"Hareid","62.3642","6.0014","5175","Norway"
"Skodje","62.5161","6.6997","4620","Norway"
"Vadso","70.0733","29.7497","5788","Norway"
"Hemsedal","60.9058","8.5147","2486","Norway"
"Hammerfest","70.6634","23.6821","8073","Norway"
"Sorreisa","69.0919","18.1936","3464","Norway"
"Aukra","62.8050","6.8872","3509","Norway"
"Os","62.4761","11.2431","1891","Norway"
"Rjukan","59.8811","8.5831","3171","Norway"
"Store Skanland","68.5836","16.5730","3041","Norway"
"Nittedal","60.0731","10.8722","24249","Norway"
"Iveland","58.4411","7.9558","1331","Norway"
"Laerdalsoyri","61.0511","7.5978","2126","Norway"
"Forde","61.4519","5.8569","10339","Norway"
"Sortland","68.6962","15.4117","10566","Norway"
"Kosvik","58.1418","8.0802","17981","Norway"
"Frei","63.0625","7.8031","5274","Norway"
"Kleppe","58.7772","5.5967","19588","Norway"
"Skiptvet","59.4806","11.1444","3805","Norway"
"Bardu","68.8606","18.3505","4005","Norway"
"Traena","66.5075","12.0308","435","Norway"
"Kviteseid","59.4042","8.4911","790","Norway"
"Molde","62.7333","7.1833","31967","Norway"
"Sauar","59.4333","9.2653","4338","Norway"
"Fagernes","60.9850","9.2306","1921","Norway"
"Burfjord","69.9378","22.0519","384","Norway"
"Orkanger","63.3122","9.8533","2874","Norway"
"Klaebu","63.2761","10.5142","6067","Norway"
"Lyngdal","58.1333","7.0833","10365","Norway"
"Hyllestad","61.1633","5.3389","1328","Norway"
"Askim","59.5832","11.1629","14488","Norway"
"Meraker","63.4381","11.8494","2422","Norway"
"Masfjordnes","60.8383","5.4486","1691","Norway"
"Roan","64.1503","10.3025","961","Norway"
"Stange","60.6494","11.3664","21064","Norway"
"Kolvereid","64.8653","11.6044","1709","Norway"
"Nannestad","60.2456","10.9528","14139","Norway"
"Grimstad","58.3405","8.5934","13304","Norway"
"Tonsberg","59.2981","10.4236","56293","Norway"
"Odda","60.0689","6.5456","4876","Norway"
"Rost","67.5200","12.0989","498","Norway"
"Tiller","63.3428","10.4261","3595","Norway"
"Ask","60.4742","5.2141","1562","Norway"
"Drammen","59.7439","10.2045","117510","Norway"
"Dovre","62.0350","9.4675","2553","Norway"
"Vevelstad","65.6683","12.5186","462","Norway"
"Bamble","59.0197","9.5608","14061","Norway"
"Time","58.7228","5.7653","18916","Norway"
"Vestby","59.5750","10.7319","18042","Norway"
"Otta","61.7706","9.5414","1737","Norway"
"Fosnavag","62.3417","5.6339","3563","Norway"
"Stranda","62.1667","6.9667","4523","Norway"
"Al","60.6756","8.5769","4674","Norway"
"Nesna","66.2578","13.0350","1761","Norway"
"Roa","60.2881","10.6000","967","Norway"
"Hov","59.5656","10.0361","3163","Norway"
"Levanger","63.7464","11.2996","10333","Norway"
"Meland","60.5642","5.1186","7812","Norway"
"Gjovik","60.7957","10.6916","20589","Norway"
"Arendal","58.4617","8.7721","30916","Norway"
"Valer","59.4725","10.9169","5736","Norway"
"Fredrikstad","59.2167","10.9500","82385","Norway"
"Austrheim","60.7711","4.9261","2870","Norway"
"Orsta","62.2003","6.1322","10825","Norway"
"Halsa","63.1139","8.4703","1547","Norway"
"Fresvik","61.0725","6.9344","275","Norway"
"Sauda","59.6875","6.4372","4595","Norway"
"Malangseidet","69.3522","18.8475","2058","Norway"
"Stjordal","63.4750","11.1708","24145","Norway"
"Skjervoy","70.0853","20.6594","2927","Norway"
"Svelvik","59.6236","10.3717","6685","Norway"
"Volda","62.1468","6.0680","10473","Norway"
"Alesund","62.4723","6.1549","52163","Norway"
