"city","lat","lng","population", "country"
"Khasab","26.1833","56.2500","17777","Oman"
"Madha' al Jadidah","25.2844","56.3331","2260","Oman"
"Salalah","17.0197","54.0897","178469","Oman"
"Muscat","23.6139","58.5922","1421409","Oman"
"Dawwah","20.6330","58.9080","2000","Oman"
"As Sib","23.6802","58.1825","237816","Oman"
"Matrah","23.6167","58.5667","214901","Oman"
"Al Madrah Sama'il","23.3032","57.9782","47718","Oman"
"`Ibri","23.2254","56.5170","101640","Oman"
"Nizwa","22.9333","57.5333","70000","Oman"
"Al Mazyunah","17.8486","52.6200","4257","Oman"
"As Suwayhirah as Sahil","24.3620","56.7344","151349","Oman"
"Mirbat","16.9924","54.6918","1120","Oman"
