"city","lat","lng","population","country"
"Chitre","7.9667","-80.4333","46191","Panama"
"Gaigirgordub","9.5500","-78.9667","10","Panama"
"San Miguelito","9.0500","-79.5000","315019","Panama"
"Jaque","7.5190","-78.1660","1357","Panama"
"La Chorrera","8.8792","-79.7822","68896","Panama"
"La Palma","8.3982","-78.1402","1845","Panama"
"Santiago","8.1004","-80.9833","45955","Panama"
"Pacora","9.0800","-79.2800","52494","Panama"
"David","8.4333","-82.4333","144858","Panama"
"Colon","9.3598","-79.9004","241817","Panama"
"Las Tablas","7.7667","-80.2833","9255","Panama"
"Guabito","9.4949","-82.6117","8387","Panama"
"Penonome","8.5100","-80.3600","28766","Panama"
"Bocas del Toro","9.3333","-82.2500","12996","Panama"
"Panama City","9.0000","-79.5000","880691","Panama"
"Balboa Heights","8.9500","-79.5667","62882","Panama"
"Almirante","9.3000","-82.4000","8114","Panama"
"Puerto Armuelles","8.2777","-82.8621","19763","Panama"
