"city","lat","lng","population", "country"
"Kundiawa","-6.0230","144.9600","9383","Papua New Guinea"
"Wewak","-3.5500","143.6333","25143","Papua New Guinea"
"Arawa","-6.2280","155.5660","40266","Papua New Guinea"
"Kavieng","-2.5667","150.8000","19728","Papua New Guinea"
"Mount Hagen","-5.8667","144.2167","29765","Papua New Guinea"
"Wabag","-5.4833","143.7000","3958","Papua New Guinea"
"Port Moresby","-9.4789","147.1494","364125","Papua New Guinea"
"Goroka","-6.0833","145.3833","21507","Papua New Guinea"
"Vanimo","-2.6817","141.3014","11204","Papua New Guinea"
"Kiunga","-6.1167","141.3000","8265","Papua New Guinea"
"Rabaul","-4.1981","152.1681","7024","Papua New Guinea"
"Madang","-5.2248","145.7853","62023","Papua New Guinea"
"Mendi","-6.1478","143.6572","26252","Papua New Guinea"
"Lae","-6.7303","147.0008","131052","Papua New Guinea"
"Sohano","-5.4297","154.6711","2338","Papua New Guinea"
"Kerema","-7.9270","145.8380","5646","Papua New Guinea"
"Kieta","-6.2058","155.6227","6958","Papua New Guinea"
"Kimbe","-5.5500","150.1430","18847","Papua New Guinea"
"Daru","-9.0833","143.2000","12879","Papua New Guinea"
"Popondetta","-8.7656","148.2347","28198","Papua New Guinea"
"Lorengau","-2.0208","147.2667","5806","Papua New Guinea"
"Amau","-10.0426","148.5650","230","Papua New Guinea"
"Alotau","-10.3167","150.4333","11624","Papua New Guinea"
"Hoskins","-5.4746","150.4100","871","Papua New Guinea"
