"city","lat","lng","population","country"
"Villarrica","-25.7500","-56.4333","41157","Paraguay"
"San Carlos","-22.2667","-57.3333","747","Paraguay"
"Aregua","-25.3000","-57.4169","77652","Paraguay"
"Hohenau","-27.0795","-55.7500","5306","Paraguay"
"Capitan Pablo Lagerenza","-19.9161","-60.7833","1200","Paraguay"
"Caacupe","-25.3870","-57.1400","21696","Paraguay"
"Filadelfia","-22.3333","-60.0167","18210","Paraguay"
"Coronel Oviedo","-25.4500","-56.4400","88101","Paraguay"
"San Ignacio","-26.8867","-57.0283","50468","Paraguay"
"Belen","-23.4695","-57.2400","11359","Paraguay"
"Puerto Pinasco","-22.6400","-57.7900","500","Paraguay"
"Encarnacion","-27.3333","-55.8667","136308","Paraguay"
"Pozo Colorado","-23.4300","-58.8600","2135","Paraguay"
"San Antonio","-25.3797","-57.6097","69976","Paraguay"
"San Juan Bautista","-26.6800","-57.1500","7882","Paraguay"
"Pilar","-26.8569","-58.3039","32810","Paraguay"
"Yaguaron","-25.5621","-57.2840","32000","Paraguay"
"Pedro Juan Caballero","-22.5667","-55.7167","122190","Paraguay"
"Mariscal Jose Felix Estigarribia","-22.0300","-60.6100","2500","Paraguay"
"Caazapa","-26.2000","-56.3800","5504","Paraguay"
"Horqueta","-23.3396","-57.0500","16171","Paraguay"
"Ciudad del Este","-25.5167","-54.6167","304282","Paraguay"
"Villa Ygatimi","-24.0796","-55.5000","2809","Paraguay"
"Ita","-25.4833","-57.3500","82032","Paraguay"
"San Lorenzo","-25.3431","-57.5094","258919","Paraguay"
"Bella Vista","-22.1296","-56.5200","16852","Paraguay"
"Salto del Guaira","-24.0200","-54.3400","37600","Paraguay"
"Ypacarai","-25.4100","-57.2800","30150","Paraguay"
"Concepcion","-23.4025","-57.4414","87215","Paraguay"
"Fuerte Olimpo","-21.0696","-57.9000","2475","Paraguay"
"San Pedro de Ycuamandiyu","-24.1000","-57.0833","35021","Paraguay"
"Ypane","-25.4500","-57.5300","56793","Paraguay"
"Puerto Casado","-22.2896","-57.9400","5000","Paraguay"
"Villa del Rosario","-24.4196","-57.1000","5123","Paraguay"
"Ypejhu","-23.9100","-55.4600","600","Paraguay"
"General Eugenio A. Garay","-20.5200","-62.2100","972","Paraguay"
"Nacunday","-26.0200","-54.7699","1250","Paraguay"
"Arroyos y Esteros","-25.0500","-57.0900","3055","Paraguay"
"Abai","-26.0296","-55.9400","3024","Paraguay"
"Asuncion","-25.3000","-57.6333","1870000","Paraguay"
"Villa Hayes","-25.0900","-57.5300","15643","Paraguay"
"Coronel Bogado","-27.1700","-56.2500","14297","Paraguay"
"Paraguari","-25.6200","-57.1600","18881","Paraguay"
"Tobati","-25.2600","-57.0814","23295","Paraguay"
