"city","lat","lng","population", "country"
"Olmos","-5.9796","-79.7500","9800","Peru"
"Pucallpa","-8.3833","-74.5500","326040","Peru"
"Chota","-6.5614","-78.6486","54611","Peru"
"Abancay","-13.6333","-72.8833","72277","Peru"
"El Parco","-5.6200","-78.4700","680","Peru"
"Trujillo","-8.1119","-79.0289","919899","Peru"
"Barranca","-10.7539","-77.7610","144381","Peru"
"Andoas","-2.9021","-76.4025","10","Peru"
"Monzon","-9.2797","-76.3964","1106","Peru"
"Rocafuerte","-0.9329","-75.4000","40","Peru"
"Chincha Alta","-13.4500","-76.1333","63671","Peru"
"Tocache Nuevo","-8.1886","-76.5103","29029","Peru"
"Nazca","-14.8289","-74.9436","22859","Peru"
"Chosica","-11.9361","-76.6972","88606","Peru"
"Pacasmayo","-7.4003","-79.5700","26125","Peru"
"Huaura","-11.1000","-77.6000","40400","Peru"
"Coracora","-15.0170","-73.7804","7420","Peru"
"Motupe","-6.1508","-79.7208","13681","Peru"
"Chancay","-11.5653","-77.2714","35466","Peru"
"Puca Urco","-2.3328","-71.9167","10","Peru"
"Sechura","-5.5576","-80.8223","32144","Peru"
"Ilave","-16.0866","-69.6354","16033","Peru"
"Piura","-5.2008","-80.6253","473025","Peru"
"Viru","-8.4143","-78.7524","36029","Peru"
"Huanta","-12.9397","-74.2475","30234","Peru"
"Junin","-11.1500","-75.9833","15320","Peru"
"Ayacucho","-13.1631","-74.2244","180766","Peru"
"Mollendo","-17.0167","-72.0167","28305","Peru"
"Chulucanas","-5.1092","-80.1625","68835","Peru"
"Otuzco","-7.9025","-78.5657","25134","Peru"
"Casma","-9.4742","-78.3106","30000","Peru"
"Satipo","-11.2522","-74.6386","10052","Peru"
"San Pedro de Lloc","-7.4267","-79.5038","16198","Peru"
"Huamachuco","-7.8121","-78.0487","30835","Peru"
"Zarumilla","-3.5014","-80.2722","16971","Peru"
"Puno","-15.8433","-70.0236","128637","Peru"
"Urubamba","-13.3042","-72.1167","2700","Peru"
"Jaen","-5.6992","-78.8009","52493","Peru"
"Santa Maria de Nieva","-4.5988","-77.8630","2510","Peru"
"Forbe Oroya","-11.5333","-75.9000","33000","Peru"
"Chilca","-12.5196","-76.7400","12884","Peru"
"Desaguadero","-16.5684","-69.0421","5329","Peru"
"Paucartambo","-13.3156","-71.5917","4309","Peru"
"Tarapoto","-6.4833","-76.3667","240453","Peru"
"Cusco","-13.5183","-71.9781","428450","Peru"
"Nauta","-4.5083","-73.5833","2500","Peru"
"Juanjui","-7.1802","-76.7265","37715","Peru"
"Huarmey","-10.0686","-78.1603","16172","Peru"
"Soldado Bartra","-2.5161","-75.7666","10","Peru"
"Huacachina","-14.0875","-75.7633","115","Peru"
"Talara","-4.5833","-81.2667","103200","Peru"
"Sicuani","-14.2694","-71.2261","57551","Peru"
