"city","lat","lng","population","country"
"Bacolod","8.1892","124.0238","23034","Philippines"
"Dumarao","11.2667","122.6833","46157","Philippines"
"General Luna","13.6881","122.1708","26494","Philippines"
"Pambujan","12.5667","124.9333","33062","Philippines"
"Angadanan","16.7571","121.7479","43061","Philippines"
"Proper Bansud","12.8333","121.3667","40992","Philippines"
"San Mateo","14.6969","121.1219","252527","Philippines"
"Siay","7.7056","122.8641","41572","Philippines"
"Buenavista","8.9744","125.4090","61614","Philippines"
"Socorro","9.6210","125.9670","22314","Philippines"
"Dauin","9.2000","123.2667","27786","Philippines"
"Argao","9.8833","123.6000","72366","Philippines"
"Balete","14.0167","121.1000","22661","Philippines"
"Arayat","15.1493","120.7692","133492","Philippines"
"Salug","8.1079","122.7542","32204","Philippines"
"Viga","13.8667","124.3000","21624","Philippines"
"Makato","11.7120","122.2922","27262","Philippines"
"Jasaan","8.6500","124.7500","54478","Philippines"
"Bunawan","8.1781","125.9935","45151","Philippines"
"Bangued","17.5965","120.6179","48163","Philippines"
"Buenavista","13.2500","121.9500","23988","Philippines"
"Giporlos","11.1167","125.4500","13308","Philippines"
"Abra de Ilog","13.4448","120.7260","31306","Philippines"
"Bangar","16.9000","120.4167","35947","Philippines"
"Pantar","8.0667","124.2667","21773","Philippines"
"San Antonio","12.4167","124.2667","9058","Philippines"
"Banaybanay","6.9699","126.0126","41117","Philippines"
"Baras","14.5167","121.2667","69300","Philippines"
"Ibaan","13.8176","121.1330","52970","Philippines"
"Libertad","8.5583","124.3500","12354","Philippines"
"Masantol","14.9000","120.7167","57063","Philippines"
"Malvar","14.0417","121.1583","56270","Philippines"
"Tigbao","7.8205","123.2277","20979","Philippines"
"Irosin","12.7000","124.0333","56662","Philippines"
"Paracale","14.2833","122.7833","59149","Philippines"
"Cataingan","12.0000","123.9833","50327","Philippines"
"Malaybalay","8.1575","125.1278","174625","Philippines"
"Roxas","10.3333","119.3333","65358","Philippines"
"Gainza","13.6167","123.1500","11262","Philippines"
"Mexico","15.0667","120.7167","154624","Philippines"
"Solsona","18.1000","120.7667","24121","Philippines"
"Bayugan","8.7143","125.7481","103202","Philippines"
"Talalora","11.5167","124.8500","8057","Philippines"
"New Washington","11.6500","122.4333","45007","Philippines"
"Santo Tomas","16.2833","120.3833","39092","Philippines"
"Bantayan","11.2000","123.7333","79084","Philippines"
