"city","lat","lng","population","country"
"Pleszew","51.8974","17.7856","20365","Poland"
"Czluchow","53.6500","17.3667","13869","Poland"
"Gryfice","53.9167","15.2000","16524","Poland"
"Przerosl","54.2519","22.6561","830","Poland"
"Kazimierza Wielka","50.2656","20.4936","5848","Poland"
"Biskupiec","53.8647","20.9569","10539","Poland"
"Czlopa","53.0833","16.1333","2400","Poland"
"Mlawa","53.1167","20.3667","29836","Poland"
"Lubon","52.3333","16.8833","27000","Poland"
"Przeclaw","50.1931","21.4783","1599","Poland"
"Frombork","54.3583","19.6833","2390","Poland"
"Jaroslaw","50.0162","22.6778","37479","Poland"
"Zychlin","52.2453","19.6236","9021","Poland"
"Kowal","52.5325","19.1450","3505","Poland"
"Suchanino","54.3566","18.6056","10392","Poland"
"Zielona Gora","51.9397","15.5050","139330","Poland"
"Grybow","49.6244","20.9483","6038","Poland"
"Chelmza","53.2000","18.6000","14808","Poland"
"Lask","51.5906","19.1328","18029","Poland"
"Kokoszki","54.3541","18.4915","9693","Poland"
"Jelenia Gora","50.9000","15.7333","84306","Poland"
"Jelcz-Laskowice","51.0333","17.3333","15340","Poland"
"Tychy","50.1667","19.0000","129322","Poland"
"Drawsko Pomorskie","53.5333","15.8000","11597","Poland"
"Braniewo","54.3833","19.8333","16992","Poland"
"Prudnik","50.3197","17.5792","21237","Poland"
"Kielce","50.8725","20.6319","191605","Poland"
"Suwalki","54.0833","22.9333","69626","Poland"
"Slomniki","50.2500","20.1000","4321","Poland"
"Grudziadz","53.4925","18.7761","94368","Poland"
"Milejczyce","52.5197","23.1321","899","Poland"
"Ilza","51.1667","21.2500","4733","Poland"
"Nowy Targ","49.4833","20.0333","33545","Poland"
"Bukowina Tatrzanska","49.3500","20.1167","2976","Poland"
"Borzym","53.1917","14.6222","336","Poland"
"Darlowo","54.4167","16.4167","13943","Poland"
"Glubczyce","50.2000","17.8333","13572","Poland"
"Swinoujscie","53.9167","14.2500","41479","Poland"
"Jedlicze","49.7164","21.6456","5766","Poland"
"Krapkowice","50.4751","17.9654","16721","Poland"
"Walcz","53.2779","16.4712","26354","Poland"
"Walbrzych","50.7667","16.2833","116069","Poland"
"Bierutow","51.1333","17.5333","5065","Poland"
"Rzeszow","50.0500","22.0000","182548","Poland"
"Kwidzyn","53.7358","18.9308","40008","Poland"
"Michalowo","53.0367","23.6036","3621","Poland"
"Dabrowa Bialostocka","53.6500","23.3500","6226","Poland"
"Majdan Kasztelanski","50.5199","23.0203","171","Poland"
"Brzesc Kujawski","52.6053","18.9017","4521","Poland"
"Swiatniki Gorne","49.9343","19.9536","2438","Poland"
"Pewel Mala","49.6667","19.2833","1499","Poland"
"Goleszow","49.7357","18.7398","4045","Poland"
"Pulawy","51.4166","21.9694","49839","Poland"
"Sopot","54.4419","18.5478","37457","Poland"
"Dmusy","53.6500","22.2000","140","Poland"
"Bialowieza","52.7039","23.8525","2670","Poland"
"Milik","49.3833","20.8500","700","Poland"
"Oborniki","52.6500","16.8167","17895","Poland"
"Chojnice","53.6955","17.5570","39937","Poland"
"Alwernia","50.0667","19.5167","3424","Poland"
"Swidnica","50.8438","16.4886","57761","Poland"
"Binarowa","49.7542","21.2292","1763","Poland"
"Debica","50.0515","21.4114","43924","Poland"
"Nowe Worowo","53.6497","16.0822","831","Poland"
"Gniewino","54.7171","18.0166","1940","Poland"
"Raciaz","52.7794","20.1153","4585","Poland"
"Stryszow","49.8257","19.6176","2101","Poland"
"Jawor","51.0500","16.1833","22758","Poland"
"Rypin","53.0667","19.4500","16558","Poland"
"Bielsk Podlaski","52.7667","23.2000","30322","Poland"
"Chelmno","53.3492","18.4261","20428","Poland"
"Jedrzejow","50.6333","20.3000","15484","Poland"
"Sandomierz","50.6833","21.7500","24187","Poland"
"Brzozow","49.6953","22.0194","26615","Poland"
"Mielnik","52.3300","23.0486","879","Poland"
"Sobotka","50.8986","16.7444","6965","Poland"
"Kruszyniany","53.1806","23.8150","160","Poland"
"Chocz","51.9667","17.8667","1802","Poland"
"Czyze","52.7833","23.4214","398","Poland"
"Siedlce","52.1833","22.2833","76585","Poland"
"Gniew","53.8333","18.8333","6844","Poland"
"Koscian","52.0833","16.6500","24086","Poland"
"Grodzisk Mazowiecki","52.1039","20.6337","32125","Poland"
"Krotoszyn","51.6970","17.4357","28804","Poland"
"Warsaw","52.2167","21.0333","1790658","Poland"
"Kolbuszowa","50.2500","21.7667","8732","Poland"
"Bretowo","54.3667","18.5667","7433","Poland"
"Jarocin","51.9667","17.5000","26155","Poland"
"Batowice","50.1117","20.0164","488","Poland"
"Pruszkow","52.1667","20.8000","61237","Poland"
"Cieszyn","49.7500","18.6333","34513","Poland"
"Ketrzyn","54.0833","21.3833","27827","Poland"
"Bytom","50.3470","18.9230","171515","Poland"
"Przerobka","54.3824","18.6743","4061","Poland"
"Ilowa","51.5019","15.2058","3874","Poland"
"Korczowe","49.9500","23.0667","660","Poland"
"Kostrzyn nad Odra","52.5883","14.6667","18125","Poland"
"Lwowek Slaski","51.1167","15.5833","9500","Poland"
"Wola Luzanska","49.6893","21.0675","1025","Poland"
"Szczecin","53.4247","14.5553","403833","Poland"
"Gorzow Wielkopolski","52.7333","15.2500","123341","Poland"
"Swiecko","52.3039","14.5924","183","Poland"
"Strabla","52.9013","23.1142","570","Poland"
"Torun","53.0167","18.6167","201447","Poland"
"Sedziszow Malopolski","50.0694","21.7014","7121","Poland"
"Katowice","50.2500","19.0000","276499","Poland"
"Deblin","51.5667","21.8614","19513","Poland"
"Wizajny","54.3833","22.8500","882","Poland"
"Lipsk","53.7333","23.4000","2520","Poland"
"Skierniewice","51.9528","20.1417","47837","Poland"
"Skomielna Biala","49.6417","19.9194","2777","Poland"
"Koszalin","54.1903","16.1817","106880","Poland"
"Kutno","52.2333","19.3667","47557","Poland"
"Police","53.5500","14.5708","33152","Poland"
"Cieszanow","50.2456","23.1316","1902","Poland"
"Sulomino","53.8578","14.5504","20","Poland"
"Wegorzewo","54.2167","21.7500","12186","Poland"
"Wolsztyn","52.1167","16.1167","13477","Poland"
"Bialogard","54.0070","15.9875","24146","Poland"
"Rybnik","50.0833","18.5000","141000","Poland"
"Mielec","50.2833","21.4333","60628","Poland"
"Bilgoraj","50.5500","22.7333","27290","Poland"
"Lubaczow","50.1556","23.1230","12415","Poland"
"Niepolomice","50.0339","20.2172","12000","Poland"
"Wieliczka","49.9894","20.0661","21878","Poland"
"Leszno","51.8403","16.5749","63505","Poland"
"Wloclawek","52.6500","19.0500","99350","Poland"
"Suraz","52.9553","22.9553","983","Poland"
"Pucice","53.4500","14.7333","495","Poland"
"Leczna","51.3000","22.8833","21802","Poland"
"Plock","52.5500","19.7000","120000","Poland"
"Naklo nad Notecia","53.1421","17.6018","19507","Poland"
"Lachowo","53.4714","22.0215","511","Poland"
"Gostynin","52.4167","19.4667","18527","Poland"
"Cedynia","52.8793","14.2025","1686","Poland"
"Mszczonow","51.9742","20.5267","6323","Poland"
"Krosno Odrzanskie","52.0542","15.1000","11238","Poland"
"Redzikowo","54.4728","17.1231","1519","Poland"
"Lasin","53.5164","19.0900","3271","Poland"
"Sosnowiec","50.3000","19.1667","199974","Poland"
"Gryfow Slaski","51.0272","15.4192","6943","Poland"
"Malbork","54.0285","19.0444","38895","Poland"
"Wojewodzin","53.6200","22.4500","429","Poland"
"Trzebnica","51.3050","17.0614","13161","Poland"
"Byczyna","51.1167","18.2167","3708","Poland"
"Wisla","49.6563","18.8591","11048","Poland"
"Zakopane","49.2994","19.9519","27490","Poland"
"Malujowice","50.8475","17.3808","430","Poland"
"Bielsko-Biala","49.8225","19.0444","172781","Poland"
"Olsztyn","53.7800","20.4942","173599","Poland"
"Piotrkow Trybunalski","51.4000","19.6833","74905","Poland"
"Bydgoszcz","53.1167","18.0000","346739","Poland"
"Kluczbork","50.9833","18.2167","26164","Poland"
"Ryboly","52.9333","23.2667","436","Poland"
"Pilawa Gorna","50.6833","16.7500","6673","Poland"
"Ciechanow","52.8817","20.6106","42965","Poland"
"Osowa","54.4272","18.4708","15843","Poland"
"Radruz","50.1828","23.4161","260","Poland"
"Gogolin","50.4881","18.0239","6116","Poland"
"Lublin","51.2333","22.5667","339850","Poland"
"Trzemeszno","52.5614","17.8231","7792","Poland"
"Gryfino","53.2524","14.4883","21221","Poland"
"Sieradz","51.6000","18.7500","42120","Poland"
"Jodlowa","49.8723","21.2790","3957","Poland"
"Piotrowice","52.0042","21.2756","352","Poland"
"Milanowek","52.1243","20.6654","16419","Poland"
"Turzansk","49.3665","22.1364","354","Poland"
"Wolin","53.8414","14.6114","4888","Poland"
"Bochnia","49.9833","20.4333","30075","Poland"
"Gabin","52.3985","19.7351","4173","Poland"
"Brodnica","53.2500","19.4000","28880","Poland"
"Konarzowka","50.4447","20.1406","260","Poland"
"Kornik","52.2367","17.0986","6807","Poland"
"Bibice","50.1300","19.9525","2671","Poland"
"Zelazowa Wola","52.2500","20.3167","65","Poland"
"Myslowice","50.2333","19.1333","75183","Poland"
"Starogard Gdanski","53.9667","18.5333","48690","Poland"
"Konstancin-Jeziorna","52.0938","21.1176","23694","Poland"
"Ruda Slaska","50.2628","18.8536","139412","Poland"
"Konin","52.2275","18.2614","73176","Poland"
"Zamosc","50.7206","23.2586","66234","Poland"
"Punsk","54.2500","23.1833","1336","Poland"
"Brzeg Dolny","51.2730","16.7081","12816","Poland"
"Szczytno","53.5628","20.9853","23500","Poland"
"Rewa","54.6167","18.5000","972","Poland"
"Bohoniki","53.3833","23.6000","100","Poland"
"Ciechocinek","52.8833","18.7833","10874","Poland"
"Gdansk","54.3667","18.6333","464254","Poland"
"Otwock","52.1167","21.2667","42765","Poland"
"Tarnobrzeg","50.5833","21.6833","47816","Poland"
"Ziebice","50.6000","17.0444","9154","Poland"
"Szczodre","51.1953","17.1839","700","Poland"
"Chmielno","54.3167","18.1000","1721","Poland"
"Czeladz","50.3333","19.0833","34402","Poland"
"Kramkowka Duza","53.4308","22.6831","198","Poland"
"Ilawa","53.5964","19.5656","33322","Poland"
"Jedwabne","53.2833","22.3000","1638","Poland"
"Bosutow","50.1247","19.9935","804","Poland"
"Osno Lubuskie","52.4536","14.8755","3730","Poland"
"Ustka","54.5805","16.8619","16308","Poland"
"Boleslawiec","51.2667","15.5667","39412","Poland"
"Kunowa","49.7339","21.3277","460","Poland"
"Baciuty","53.0667","22.9667","319","Poland"
"Lisi Ogon","53.1272","17.8808","747","Poland"
"Belchatow","51.3667","19.3667","59025","Poland"
"Kolno","53.4106","21.9339","10396","Poland"
"Wlodawa","51.5500","23.5500","13066","Poland"
"Zosin","50.8583","24.1125","209","Poland"
"Golub-Dobrzyn","53.1000","19.0500","12546","Poland"
"Wereszyn","50.6000","23.9333","130","Poland"
"Krynica","49.4222","20.9594","11361","Poland"
"Trzciel","52.3667","15.8833","2348","Poland"
"Ostrorog","52.6333","16.4667","1993","Poland"
"Siemiatycze","52.4272","22.8625","15169","Poland"
"Rumia","54.5667","18.4000","47148","Poland"
"Augustow","53.8500","22.9667","30153","Poland"
"Ostrow Mazowiecka","52.8000","21.9000","22800","Poland"
"Smigiel","52.0134","16.5270","5420","Poland"
"Czestochowa","50.8096","19.1222","228179","Poland"
"Warka","51.7833","21.2000","11035","Poland"
"Oswiecim","50.0333","19.2333","39057","Poland"
"Koronowo","53.3137","17.9370","10818","Poland"
"Opoczno","51.3833","20.2833","21780","Poland"
"Lubartow","51.4667","22.6000","22138","Poland"
"Bierawa","50.2842","18.2403","1370","Poland"
"Dobrzanka","49.6667","22.4000","0","Poland"
"Inowroclaw","52.7958","18.2611","72561","Poland"
"Luchow Gorny","50.3304","22.6883","604","Poland"
"Polaniec","50.4333","21.2833","8419","Poland"
"Garwolin","51.9000","21.6167","17602","Poland"
"Goldap","54.3063","22.3036","13716","Poland"
"Dzierzgon","53.9233","19.3514","5413","Poland"
"Goszcza","50.1887","20.0662","569","Poland"
"Nowa Sol","51.8000","15.7167","39721","Poland"
"Olecko","54.0333","22.5000","16508","Poland"
"Biezun","52.9500","19.8833","1903","Poland"
"Prusy","50.1144","20.0731","742","Poland"
"Jarnoltowek","50.2833","17.4167","820","Poland"
"Brzeziny","51.8000","19.7500","12501","Poland"
"Tarnowskie Gory","50.4455","18.8615","61686","Poland"
"Jasien","54.3399","18.5600","18014","Poland"
"Bielawa","50.6908","16.6230","30207","Poland"
"Miedzyrzecz","52.4446","15.5780","18459","Poland"
"Dabrowa Gornicza","50.3182","19.2374","122712","Poland"
"Bojanowo","51.7000","16.7500","2991","Poland"
"Lubiaz","51.2667","16.4833","2365","Poland"
"Strumien","49.9210","18.7664","3459","Poland"
"Bierun Stary","50.0897","19.0928","23640","Poland"
"Klodzko","50.4378","16.6528","27193","Poland"
"Niemcza","50.7167","16.8333","3104","Poland"
"Bezmichowa Gorna","49.5075","22.3983","269","Poland"
"Zator","49.9958","19.4378","3702","Poland"
"Siechnice","51.0367","17.1525","3851","Poland"
"Gubin","51.9500","14.7333","17150","Poland"
"Trojany","52.4667","21.3333","490","Poland"
"Krywka","49.2550","22.7286","0","Poland"
"Wierzchowie","50.1667","19.8000","434","Poland"
"Barwice","53.7333","16.3500","3857","Poland"
"Nowe Miasto Lubawskie","53.4167","19.5833","10997","Poland"
"Kety","49.8821","19.2233","19428","Poland"
"Kumielsk","53.5588","21.9909","330","Poland"
"Jednaczewo","53.2167","22.0000","526","Poland"
"Konieczna","49.4667","21.3167","57","Poland"
"Glucholazy","50.3131","17.3742","15293","Poland"
"Wilamowice","49.9000","19.1500","2813","Poland"
"Ostroleka","53.0833","21.5667","52900","Poland"
"Dubeczno","51.4167","23.4333","1041","Poland"
"Gostyn","51.8792","17.0125","20296","Poland"
"Kalwaria Zebrzydowska","49.8667","19.6833","4524","Poland"
"Bocki","52.6517","23.0447","1471","Poland"
"Lubsko","51.7877","14.9724","14182","Poland"
"Kolobrzeg","54.1667","15.5667","46716","Poland"
"Limanowa","49.7167","20.4667","14738","Poland"
"Olsynka","54.3362","18.6672","3016","Poland"
"Barglow Koscielny","53.7667","22.8167","800","Poland"
"Bransk","52.7444","22.8377","3844","Poland"
"Prabuty","53.7558","19.1975","8215","Poland"
"Nysa","50.4738","17.3344","46841","Poland"
"Zabrze","50.3000","18.7833","174349","Poland"
"Biala Podlaska","52.0333","23.1167","57498","Poland"
"Reszel","54.0504","21.1458","7721","Poland"
"Przeworsk","50.0591","22.4941","15713","Poland"
"Siemien Nadrzeczny","53.1333","22.1667","334","Poland"
"Borki-Male","50.8758","18.5006","540","Poland"
"Rawa Mazowiecka","51.7667","20.2500","17765","Poland"
"Gorlice","49.6556","21.1604","27357","Poland"
"Naleczow","51.2833","22.2167","3768","Poland"
"Skierbieszow","50.8516","23.3592","1317","Poland"
"Elblag","54.1667","19.4000","119317","Poland"
"Grajewo","53.6500","22.4500","21900","Poland"
"Lodz","51.7769","19.4547","690422","Poland"
"Dalachow","51.0773","18.5784","1295","Poland"
"Jerzmanice-Zdroj","51.1158","15.8731","770","Poland"
"Backowice","50.7833","21.2167","540","Poland"
"Matarnia","54.3818","18.4839","5939","Poland"
"Brzostowa Gora","50.3833","21.7833","943","Poland"
"Miedzyrzec Podlaski","51.9833","22.8000","17117","Poland"
"Starachowice","51.0500","21.0667","47638","Poland"
"Frydek","49.9278","19.0833","1085","Poland"
"Chojnow","51.2667","15.9333","13904","Poland"
"Brwinow","52.1417","20.7167","11743","Poland"
"Wojtkowa","49.5708","22.5542","493","Poland"
"Zolynia","50.1620","22.3083","5188","Poland"
