"city","lat","lng","population", "country"
"La Fermina","18.1744","-65.8527","2236","Puerto Rico"
"Las Ollas","18.0142","-66.4207","1430","Puerto Rico"
"Rio Grande","18.3789","-65.8388","12492","Puerto Rico"
"Puerto Real","18.0762","-67.1861","6621","Puerto Rico"
"Pueblito del Rio","18.2280","-65.8615","1084","Puerto Rico"
"Naranjito","18.3020","-66.2460","1599","Puerto Rico"
"Olimpo","18.0026","-66.1094","2206","Puerto Rico"
"Morovis","18.3269","-66.4058","1755","Puerto Rico"
"Naguabo","18.2116","-65.7370","5210","Puerto Rico"
"Miranda","18.3869","-66.3789","1545","Puerto Rico"
"Moca","18.3971","-67.1155","3667","Puerto Rico"
"Monserrate","18.4367","-66.3579","2193","Puerto Rico"
"Monte Grande","18.0895","-67.1201","3159","Puerto Rico"
"Rio Lajas","18.3970","-66.2643","2485","Puerto Rico"
"Guayanilla","18.0222","-66.7898","4501","Puerto Rico"
"Guaynabo","18.3839","-66.1134","68024","Puerto Rico"
"Tallaboa Alta","18.0504","-66.7018","1382","Puerto Rico"
"Tiburones","18.4382","-66.5809","2417","Puerto Rico"
"Tallaboa","17.9960","-66.7085","683","Puerto Rico"
"Vayas","18.0541","-66.5858","662","Puerto Rico"
"Candelero Arriba","18.1017","-65.8342","1036","Puerto Rico"
"Emajagua","18.0015","-65.8829","2134","Puerto Rico"
"Fajardo","18.3330","-65.6592","24950","Puerto Rico"
"Palomas","18.0135","-66.8688","1588","Puerto Rico"
"Palmer","18.3699","-65.7740","1011","Puerto Rico"
"Palo Seco","18.0093","-65.9369","642","Puerto Rico"
"Palmas","17.9878","-66.0254","930","Puerto Rico"
"Palmarejo","18.0412","-67.0764","1393","Puerto Rico"
"Pajaros","18.3609","-66.2184","9713","Puerto Rico"
"Orocovis","18.2257","-66.3916","868","Puerto Rico"
"Rosa Sanchez","18.0623","-65.9141","607","Puerto Rico"
"Sabana","18.4642","-66.3517","1124","Puerto Rico"
"Sabana Eneas","18.0809","-67.0852","1174","Puerto Rico"
"Sabana Grande","18.0821","-66.9673","9174","Puerto Rico"
"San Antonio","18.4468","-66.3002","7655","Puerto Rico"
"Monte Verde","18.0972","-66.6196","0","Puerto Rico"
"Los Prados","18.2330","-66.0619","2249","Puerto Rico"
"Parcelas de Navarro","18.2301","-66.0042","1665","Puerto Rico"
"El Paraiso","18.0648","-66.6021","1695","Puerto Rico"
"Ceiba","18.2650","-65.6488","5551","Puerto Rico"
"Indios","17.9942","-66.8210","1358","Puerto Rico"
"Hato Arriba","18.3503","-67.0333","378","Puerto Rico"
"G. L. Garcia","18.1258","-66.1027","1841","Puerto Rico"
"Liborio Negron Torres","18.0431","-66.9426","1127","Puerto Rico"
"Lluveras","18.0381","-66.9037","1364","Puerto Rico"
"Las Piedras","18.1784","-65.8708","6835","Puerto Rico"
"Los Llanos","18.0579","-66.4092","2244","Puerto Rico"
"Luis Llorens Torres","18.0566","-66.5267","2984","Puerto Rico"
"Loiza","18.4310","-65.8800","3349","Puerto Rico"
"Lomas","18.2687","-65.9091","1407","Puerto Rico"
"Luquillo","18.3735","-65.7218","7599","Puerto Rico"
"Franquez","18.3401","-66.4276","1996","Puerto Rico"
"Guayama","17.9744","-66.1104","20913","Puerto Rico"
"Coamo","18.0765","-66.3638","11012","Puerto Rico"
"Cayuco","18.2922","-66.7348","1204","Puerto Rico"
"Cayey","18.1150","-66.1630","14347","Puerto Rico"
"Central Aguirre","17.9559","-66.2264","1465","Puerto Rico"
"Ciales","18.3343","-66.4704","2116","Puerto Rico"
"Mora","18.4626","-67.0322","1504","Puerto Rico"
"Mucarabones","18.3906","-66.2178","1108","Puerto Rico"
"Piedra Aguza","18.0339","-66.4949","2718","Puerto Rico"
"Pueblito del Carmen","18.0316","-66.1656","695","Puerto Rico"
"El Tumbao","18.0015","-66.8996","1730","Puerto Rico"
"Maguayo","18.0100","-67.0855","845","Puerto Rico"
"Las Croabas","18.3676","-65.6304","920","Puerto Rico"
"Comerio","18.2203","-66.2243","4624","Puerto Rico"
"Comunas","18.0871","-65.8404","758","Puerto Rico"
"Coqui","17.9793","-66.2255","3217","Puerto Rico"
"Corazon","17.9940","-66.0832","2191","Puerto Rico"
"Corcovado","18.4610","-66.7778","1837","Puerto Rico"
"Corozal","18.3411","-66.3124","9031","Puerto Rico"
"Coto Laurel","18.0491","-66.5517","1965","Puerto Rico"
"Coto Norte","18.4328","-66.4409","1177","Puerto Rico"
"Culebra","18.3105","-65.3029","1133","Puerto Rico"
"Daguao","18.2217","-65.6798","1672","Puerto Rico"
"Stella","18.3235","-67.2462","1728","Puerto Rico"
"Santo Domingo","18.0722","-66.7458","3302","Puerto Rico"
"Maricao","18.1836","-66.9809","777","Puerto Rico"
"Mariano Colon","18.0287","-66.3356","2626","Puerto Rico"
"Marueno","18.0587","-66.6568","915","Puerto Rico"
"Magas Arriba","18.0233","-66.7664","938","Puerto Rico"
"Luyando","18.3575","-67.1553","3028","Puerto Rico"
"Maria Antonia","17.9789","-66.8889","1016","Puerto Rico"
"Manati","18.4283","-66.4823","12683","Puerto Rico"
"Mayaguez","18.2003","-67.1397","61361","Puerto Rico"
"Aibonito","18.1398","-66.2659","7820","Puerto Rico"
"Anasco","18.2860","-67.1411","5355","Puerto Rico"
"El Negro","18.0370","-65.8494","1613","Puerto Rico"
"Duque","18.2381","-65.7432","1550","Puerto Rico"
"Dorado","18.4657","-66.2724","12695","Puerto Rico"
"Espino","18.2760","-67.1194","770","Puerto Rico"
"El Ojo","18.0038","-66.3919","1448","Puerto Rico"
"Levittown","18.4454","-66.1759","25121","Puerto Rico"
"Luis M. Cintron","18.3014","-65.6379","1621","Puerto Rico"
