"city","lat","lng","population","country"
"Portari","46.7385","27.6995","633","Romania"
"Dragomiresti-Vale","44.4748","25.9367","1579","Romania"
"Gugesti","46.7634","27.9005","1044","Romania"
"Gagu","44.6152","26.2626","567","Romania"
"Loman","45.8577","23.5532","578","Romania"
"Orzesti","45.0487","22.8163","387","Romania"
"Tavadaresti","46.3268","27.2932","194","Romania"
"Cazasu","45.2713","27.8883","2939","Romania"
"Lazu","44.2957","23.5425","270","Romania"
"Gugesti","45.5670","27.1287","5394","Romania"
"Murgilesti","44.7542","23.0966","351","Romania"
"Valea Viei","44.9752","24.3639","263","Romania"
"Fagetu","44.7507","25.3254","365","Romania"
"Crisan","44.6029","28.1759","324","Romania"
"Ditesti","44.9793","25.7279","3978","Romania"
"Buduhala","44.9844","23.1289","658","Romania"
"Caraula","44.1833","23.2500","2423","Romania"
"Cerna-Varf","44.9245","22.6810","225","Romania"
"Culciu Mare","47.7555","23.0604","765","Romania"
"Mamu","44.6841","24.1202","60","Romania"
"Tarnita","46.9771","27.1823","114","Romania"
"Puchenii Mari","44.8242","26.0816","1312","Romania"
"Ciuperceni","44.3175","25.3787","1523","Romania"
"Ciuperceni","43.7667","24.9500","924","Romania"
"Fundu Vaii","46.5461","27.6784","598","Romania"
"Fundu Vaii","46.5714","27.5241","98","Romania"
"Calienii Noi","45.5904","27.4905","292","Romania"
"Argeselu","44.9274","24.8711","1965","Romania"
"Moldoveni","44.7167","26.5000","1247","Romania"
"Mihaesti","46.9036","23.4187","295","Romania"
"Bojia","45.1065","22.4147","153","Romania"
"Bahna","44.7759","22.4983","418","Romania"
"Batar","46.7070","21.8050","1448","Romania"
"Poganesti","46.6924","28.1678","1099","Romania"
"Matisesti","46.5089","22.9023","454","Romania"
"Lacustenii de Sus","44.7321","23.8873","177","Romania"
"Malu","43.8167","25.8167","2376","Romania"
"Gothatea","45.9445","22.6071","251","Romania"
"Urziceni","47.7347","22.3997","1229","Romania"
"Iecea Mare","45.8494","20.8858","2231","Romania"
"Curmatura","45.3809","26.2967","188","Romania"
"Ghiosani","44.4827","24.0891","243","Romania"
"Lechinta","47.0194","24.3336","2702","Romania"
"Topolovatu Mare","45.7739","21.6186","1062","Romania"
"Mandresti","47.7358","26.4843","1037","Romania"
"Mandresti","47.9095","26.7359","249","Romania"
"Bordusani","44.4819","27.9045","3309","Romania"
"Certeze","47.9030","23.4600","3171","Romania"
"Vranceni","46.2130","26.9091","306","Romania"
"Dumitresti","45.5564","26.9226","514","Romania"
"Caiata","45.5237","27.1521","672","Romania"
"Praleni","47.3380","25.1843","152","Romania"
"Manastirea Ratesti","45.3067","26.6381","131","Romania"
"Danulesti","46.0536","22.5957","38","Romania"
"Augustin","46.0461","25.5533","1860","Romania"
"Orbeasca de Sus","44.1374","25.3197","2914","Romania"
"Izvoru","44.4277","24.2501","754","Romania"
"Ribita","46.1758","22.7683","535","Romania"
"Ciuperca","46.6100","27.4087","53","Romania"
"Buduile","45.3881","26.4402","17","Romania"
"Buciumeni","44.5489","25.9633","2976","Romania"
"Livada","46.2197","22.6315","120","Romania"
"Rosia Montana","46.3042","23.1136","618","Romania"
"Cascioarele","43.8586","28.1025","277","Romania"
"Stupinii-Prejmerului","45.7176","25.8191","382","Romania"
"Plaviceni","43.9718","24.5790","675","Romania"
"Parta","45.6258","21.1381","2172","Romania"
"Cascioarele","44.1260","26.4700","1912","Romania"
"Diosod","47.2924","23.0210","844","Romania"
"Valeni","47.2291","23.4469","376","Romania"
"Costisa","46.0986","27.4152","24","Romania"
"Scarisoara","45.0306","22.5451","19","Romania"
"Griesti","46.9031","27.3761","256","Romania"
"Covasint","46.2061","21.6131","2573","Romania"
"Valeni","46.1204","24.1414","15","Romania"
"Pacioiu","45.0823","24.8653","730","Romania"
"Ocheni","46.2842","27.2327","376","Romania"
"Sorostin","46.0292","24.0611","525","Romania"
"Negomiru","44.8333","23.1667","580","Romania"
"Catalina","47.6038","23.5446","368","Romania"
"Badeni","46.2178","25.3476","204","Romania"
"Ciumafaia","46.9437","23.6227","155","Romania"
"Ceplenita","47.3833","27.0167","1326","Romania"
"Prundu","43.8239","24.6920","1437","Romania"
"Slobozia Sucevei","47.7643","26.0466","523","Romania"
"Coasta Cerbului","45.1359","23.9110","125","Romania"
"Popeni","46.1759","26.9384","806","Romania"
"La Curte","46.8844","24.3732","121","Romania"
"Popeni","48.0243","26.4674","497","Romania"
"Popeni","47.8441","26.4913","229","Romania"
"Boca","44.7657","23.0270","302","Romania"
"Breaza","47.0195","26.6395","201","Romania"
"Bogdana","44.4298","27.1379","304","Romania"
"Godeni","44.5481","23.7397","177","Romania"
"Manzati","46.4455","27.5881","680","Romania"
"Bontesti","46.2747","22.3057","660","Romania"
"Husnicioara","44.6785","22.8459","267","Romania"
"Contea","44.7048","23.8909","468","Romania"
"Berchezoaia","47.4984","23.5384","466","Romania"
"Corund","46.4667","25.1833","5228","Romania"
"Iacobesti","46.3080","23.0684","43","Romania"
"Gurbesti","46.7511","22.3593","193","Romania"
"Gurbesti","47.1945","22.2245","134","Romania"
"Garbesti","46.9777","27.2944","2228","Romania"
"Paicu","44.4595","26.7919","128","Romania"
"Fancel","46.3683","25.2996","136","Romania"
"Varfu Campului","47.8500","26.3333","1134","Romania"
"Eliseni","46.2923","24.9372","1110","Romania"
"Sterea","44.3234","25.7359","378","Romania"
"Rovinari","44.9125","23.1622","11816","Romania"
"Valioara","45.6161","22.7931","258","Romania"
"Capruta","46.0886","22.0252","286","Romania"
"Voislova","45.5275","22.4597","573","Romania"
"Laz","45.8684","23.5812","385","Romania"
"Laz","46.0523","23.4179","9","Romania"
"Bragadiru","43.7667","25.5167","3969","Romania"
"Haiesti","45.0733","23.5398","259","Romania"
"Plaiuri","46.5889","23.5714","141","Romania"
"Chesler","46.1433","24.1883","59","Romania"
"Valea","45.1080","25.2615","684","Romania"
"Nistrea","47.0806","27.1526","317","Romania"
"Holm","47.2084","27.3075","289","Romania"
"Vaeni","45.0316","22.8418","404","Romania"
"Barcana","46.4883","27.3623","565","Romania"
"Sambata Noua","44.8394","28.4024","587","Romania"
"Cricau","46.1764","23.5664","1198","Romania"
"Ghindari","46.5000","24.9167","1577","Romania"
"Magurele","44.9027","28.2351","279","Romania"
"Modreni","45.4969","26.8376","393","Romania"
"Turburea","44.8821","23.8608","270","Romania"
