"city","lat","lng","population","country"
"Nizhneye Sancheleyevo","53.6767","49.4278","2300","Russia"
"Podlesnaya Tavla","54.0972","45.4792","687","Russia"
"Dyurtyuli","55.4833","54.8667","30969","Russia"
"Dyurtyuli","54.7631","53.7928","582","Russia"
"Dyurtyuli","54.1431","55.0681","317","Russia"
"Plavsk","53.7000","37.3000","15920","Russia"
"Novoakkulayevo","54.1353","55.0092","195","Russia"
"Gonba","53.4140","83.5716","2293","Russia"
"Yanovets","56.2985","40.2995","3","Russia"
"Tsagan-Usun","50.4381","106.0331","276","Russia"
"Arkhangel'skoye","44.6186","44.0931","4935","Russia"
"Voyady","56.3748","54.6512","395","Russia"
"Uren","57.4667","45.7833","12309","Russia"
"Belokurikha","52.0000","84.9833","15160","Russia"
"Ketovo","55.3525","65.3281","8310","Russia"
"Ostrogozhsk","50.8667","39.0667","32601","Russia"
"Odintsovo","55.6733","37.2733","146574","Russia"
"Solokhaul","43.8008","39.6783","214","Russia"
"Kamyshlytamak","55.0328","53.7222","468","Russia"
"Abazakt","44.2533","41.9011","423","Russia"
"Kyusyur","70.6849","127.3612","1345","Russia"
"Asbest","57.0000","61.4667","64091","Russia"
"Tsimlyansk","47.6467","42.0947","14528","Russia"
"Novyy Oskol","50.7667","37.8667","18763","Russia"
"Podseredneye","50.7125","38.5603","1284","Russia"
"Novoshakhovo","53.8108","53.8319","262","Russia"
"Krasnaya Gorka","55.1961","56.6672","4280","Russia"
"Goryachiy Klyuch","44.6308","39.1300","37475","Russia"
"Norilsk","69.3333","88.2167","177428","Russia"
"Berezovo","54.5123","83.9788","502","Russia"
"Kriusha","54.9500","39.9631","979","Russia"
"Staryye Turbasly","54.9439","56.1236","1395","Russia"
"Berezovka","56.6171","95.6341","609","Russia"
"Pavlovka","51.6797","46.6869","1697","Russia"
"Arkhangel'sk","55.4778","36.3931","56","Russia"
"Melnikovo","56.5500","84.0667","8048","Russia"
"Layashty","55.4711","54.6053","460","Russia"
"Kamyzyak","46.1167","48.0833","15984","Russia"
"Kachanovo","57.4664","27.7647","579","Russia"
"Due","50.8236","142.1097","89","Russia"
"Gorki","57.3150","62.5754","860","Russia"
"Prislonikha","54.2694","47.4535","412","Russia"
"Maloyaroslavets","55.0000","36.4667","27791","Russia"
"Alpatovo","43.7028","45.2417","4861","Russia"
"Khelyulya","61.7500","30.6667","2586","Russia"
"Kochetnoye","50.8495","46.1291","1573","Russia"
"Kargat","55.2000","80.2833","9370","Russia"
"Atamanovskiy","50.1697","44.0681","601","Russia"
"Barguzin","53.6172","109.6347","5702","Russia"
"Russko-Vysotskoye","59.7014","29.9431","5356","Russia"
"Altay","60.3344","68.9569","310","Russia"
"Smolensk","54.7828","32.0453","329853","Russia"
"Novokuruchevo","55.0758","54.0411","72","Russia"
"Zhukovka","53.5339","33.7281","16878","Russia"
"Chkalovskoye","44.8375","133.0417","3828","Russia"
"Tyurino","53.9926","41.5509","4","Russia"
"Kanevka","67.1331","39.6667","67","Russia"
"Chuteyevo","55.3939","47.8275","710","Russia"
"Novoulyanovsk","54.1500","48.3833","13990","Russia"
"Chistovodnoye","47.0194","142.3250","122","Russia"
"Maloye Litashevo","55.0744","36.8733","54","Russia"
"Zandin","51.0711","107.4322","58","Russia"
"Nitab","42.5185","46.6298","234","Russia"
"Volzhsk","55.8667","48.3500","54519","Russia"
"Chishma","55.3211","55.2481","596","Russia"
"Chishma","55.5418","54.5600","472","Russia"
"Leonidovka","54.3914","53.5411","25","Russia"
"Orot","51.8969","109.6456","313","Russia"
"Kyundyaye","62.3450","117.6980","817","Russia"
"Turzin","43.3878","47.1889","415","Russia"
"Yuzhno-Sakhalinsk","46.9500","142.7333","194882","Russia"
"Kosoy Brod","56.4792","60.3275","1055","Russia"
"Aginskoye","51.1031","114.5228","11491","Russia"
"Yerema","60.3808","107.7794","745","Russia"
"Yelbulak-Matveyevka","53.6494","54.2064","371","Russia"
"Urman","54.8733","56.8675","4590","Russia"
"Iskush","55.6464","54.9144","8","Russia"
"Iyengra","56.2186","124.8364","971","Russia"
"Zelenaya Sloboda","55.5250","38.0000","91","Russia"
"Tauykhabl","44.9662","39.3698","197","Russia"
"Nizhnyaya Salda","58.0833","60.7167","17373","Russia"
"Aleksin","54.5000","37.0667","57892","Russia"
"Karachev","53.1167","34.9833","17466","Russia"
"Verkhneulu-Yelga","54.0275","53.7378","182","Russia"
"Verkh-Anuyskoye","52.2078","84.5922","1148","Russia"
"Kuydusun","63.2592","143.2460","121","Russia"
"Saratov","51.5333","46.0000","845300","Russia"
"Trifon","58.0900","42.6156","173","Russia"
"Krasnobor","65.2942","53.2899","625","Russia"
