"city","lat","lng","population","country"
"Jeddah","21.5428","39.1728","3976000","Saudi Arabia"
"Al Qatif","26.5196","50.0115","368892","Saudi Arabia"
"Medina","24.4667","39.6000","1180770","Saudi Arabia"
"Jubbah","28.0062","40.9416","5493","Saudi Arabia"
"Al Hillah","23.4895","46.7564","594605","Saudi Arabia"
"Arar","30.9833","41.0167","167057","Saudi Arabia"
"Riyadh","24.6500","46.7100","6881000","Saudi Arabia"
"Al Wajh","26.2324","36.4636","43237","Saudi Arabia"
"Hafr al Batin","28.4337","45.9601","249194","Saudi Arabia"
"Qal`at Bishah","20.0087","42.5987","88291","Saudi Arabia"
"Dawmat al Jandal","29.8153","39.8664","22583","Saudi Arabia"
"Al Khubar","26.3000","50.2167","219679","Saudi Arabia"
"Al Qurayyat","31.3333","37.3333","10000","Saudi Arabia"
"Al Kharj","24.1556","47.3120","298428","Saudi Arabia"
"Dhahran","26.2667","50.1500","138135","Saudi Arabia"
"Yanbu`","24.0943","38.0493","267590","Saudi Arabia"
"Duruma","24.6000","46.1333","11461","Saudi Arabia"
"Na`jan","24.0731","47.1700","5125","Saudi Arabia"
"Ha'il","27.5236","41.7001","385257","Saudi Arabia"
"Abha","18.2167","42.5000","236157","Saudi Arabia"
"Al Qunfudhah","19.1264","41.0789","157","Saudi Arabia"
"Layla","22.2833","46.7333","30906","Saudi Arabia"
"Jazan","16.8892","42.5611","134764","Saudi Arabia"
"Rafha","29.6202","43.4948","64755","Saudi Arabia"
"Al Quway`iyah","24.0737","45.2806","8712","Saudi Arabia"
"Al Mubarraz","25.4100","49.5808","298562","Saudi Arabia"
"Al Majma`ah","25.9039","45.3456","47743","Saudi Arabia"
"Mecca","21.4225","39.8261","1675368","Saudi Arabia"
"Tabuk","28.3838","36.5550","547957","Saudi Arabia"
"Sakaka","30.0000","40.1333","128332","Saudi Arabia"
"Al Kilabiyah","25.3833","49.6000","16984","Saudi Arabia"
"Buraydah","26.3333","43.9667","614093","Saudi Arabia"
"Ad Dir`iyah","24.7333","46.5756","43269","Saudi Arabia"
"Khamis Mushayt","18.3000","42.7333","430828","Saudi Arabia"
"Al Jubayl","27.0046","49.6460","237274","Saudi Arabia"
"At Ta'if","21.2667","40.4167","579970","Saudi Arabia"
"As Sulayyil","20.4623","45.5722","24097","Saudi Arabia"
"Al Bahah","20.0129","41.4677","95089","Saudi Arabia"
"Ad Dammam","26.4333","50.1000","903312","Saudi Arabia"
"Al Hawiyah","21.4411","40.4975","148151","Saudi Arabia"
"Najran","17.4917","44.1322","298288","Saudi Arabia"
"Al Hufuf","25.3608","49.5997","637389","Saudi Arabia"
