"city","lat","lng","population","country"
"Pikine","14.7500","-17.4000","1170791","Senegal"
"Saint-Louis","16.0333","-16.5000","176000","Senegal"
"Diourbel","14.6550","-16.2314","100445","Senegal"
"Bourek","12.7194","-16.1611","1010","Senegal"
"Karabane","12.5378","-16.7008","396","Senegal"
"Fatick","14.3167","-16.4167","24243","Senegal"
"Ziguinchor","12.5833","-16.2667","205294","Senegal"
"Rufisque","14.7167","-17.2667","221066","Senegal"
"Kolda","12.8958","-14.9408","62258","Senegal"
"Dodji","15.5167","-14.9333","8281","Senegal"
"Kaolack","14.1520","-16.0726","172305","Senegal"
"Thies","14.7833","-16.9167","293001","Senegal"
"Kobilo","16.1500","-13.5000","21656","Senegal"
"Linguere","15.3833","-15.2167","15482","Senegal"
"Kanel","15.4833","-13.1667","12975","Senegal"
"Dakar","14.7319","-17.4572","1146053","Senegal"
"Kedougou","12.5556","-12.1807","18226","Senegal"
"Tambacounda","13.7689","-13.6672","78800","Senegal"
"Soukouta","12.5239","-16.1972","369","Senegal"
"Louga","15.6167","-16.2167","85075","Senegal"
