"city","lat","lng","population", "country"
"Mestecko","49.1750","18.2583","531","Slovakia"
"Medzibrodie nad Oravou","49.2333","19.3500","527","Slovakia"
"Kosorin","48.6500","18.8083","459","Slovakia"
"Piest'any","48.5833","17.8333","27336","Slovakia"
"Oscadnica","49.4375","18.8857","5701","Slovakia"
"Ondrejovce","48.1333","18.5167","467","Slovakia"
"Slatvina","48.9611","20.8417","334","Slovakia"
"Jasenov","48.7964","22.1689","300","Slovakia"
"Male Lednice","49.0686","18.5722","521","Slovakia"
"Nadlice","48.6222","18.2500","621","Slovakia"
"Hlivistia","48.8050","22.2181","370","Slovakia"
"Poluvsie","48.8450","18.6411","579","Slovakia"
"Dvorianky","48.7323","21.7107","638","Slovakia"
"Svatuse","48.4333","21.9167","795","Slovakia"
"Osadne","49.1431","22.1522","157","Slovakia"
"Oravce","48.6833","19.2639","182","Slovakia"
"Vikartovce","48.9936","20.1525","1882","Slovakia"
"Dolne Obdokovce","48.3167","18.2167","1169","Slovakia"
"Bruty","47.9167","18.5833","599","Slovakia"
"Uzovce","49.0833","21.1833","514","Slovakia"
"Cakajovce","48.3667","18.0333","1165","Slovakia"
"Prasnik","48.6511","17.6889","854","Slovakia"
"Lutila","48.6147","18.8411","1341","Slovakia"
"Frickovce","49.1846","21.2436","740","Slovakia"
"Rimavske Zaluzany","48.5006","19.9356","359","Slovakia"
"Rimavska Sec","48.3045","20.2353","2104","Slovakia"
"Hniezdne","49.3000","20.6333","1457","Slovakia"
"Liptovsky Ondrej","49.0972","19.7131","614","Slovakia"
"Cel'ovce","48.6000","21.6333","541","Slovakia"
"Slanec","48.6361","21.4786","1479","Slovakia"
"Zlatnik","48.9667","21.5404","75","Slovakia"
"Puste Sady","48.3167","17.8333","589","Slovakia"
"Klatova Nova Ves","48.5642","18.3058","1664","Slovakia"
"Hranovnica","48.9875","20.3081","3159","Slovakia"
"Pticie","48.9044","21.9603","638","Slovakia"
"Turany nad Ondavou","49.1008","21.6536","373","Slovakia"
"Kobeliarovo","48.7444","20.3722","484","Slovakia"
"Cestice","48.5928","21.1017","844","Slovakia"
"Kunerad","49.0992","18.7106","1044","Slovakia"
"Dunajska Streda","47.9961","17.6147","22643","Slovakia"
"Hronsek","48.6494","19.1569","662","Slovakia"
"Orechova","48.7056","22.2256","257","Slovakia"
"Hendrichovce","49.0214","21.0000","241","Slovakia"
"Radobica","48.5853","18.5000","536","Slovakia"
"Sneznica","49.2575","18.7925","1009","Slovakia"
"Trnava","48.3777","17.5862","65382","Slovakia"
"Losonec","48.4833","17.3972","527","Slovakia"
"Iza","47.7506","18.2333","1651","Slovakia"
"Hencovce","48.8722","21.7300","1355","Slovakia"
"Ploske","48.8150","21.3250","931","Slovakia"
"Bukova","48.5428","17.3972","661","Slovakia"
"Dolna Zdana","48.5451","18.7629","893","Slovakia"
"Luzany","48.5167","18.0167","201","Slovakia"
"Svidnik","49.3056","21.5678","11096","Slovakia"
"Lentvora","48.3731","19.4508","96","Slovakia"
"Hazin nad Cirochou","48.9306","21.9611","665","Slovakia"
"Zakarovce","48.8833","20.9333","725","Slovakia"
"Kalniste","49.1292","21.4858","535","Slovakia"
"Fricovce","49.0167","20.9667","1144","Slovakia"
"Zemplinska Teplica","48.6453","21.5725","1696","Slovakia"
"Krizovany nad Dudvahom","48.3236","17.6556","1818","Slovakia"
"Smolinske","48.6750","17.1292","912","Slovakia"
"Studienka","48.5272","17.1389","1612","Slovakia"
"Valkovce","49.1722","21.5333","217","Slovakia"
"Nitrianska Blatnica","48.5528","17.9667","1232","Slovakia"
"Prikra","49.3617","21.7394","7","Slovakia"
"Zbudza","48.8133","21.8928","534","Slovakia"
"Krivoklat","49.0444","18.1667","250","Slovakia"
"Pritul'any","49.1289","21.7750","51","Slovakia"
"Lackovce","48.9389","21.9556","756","Slovakia"
"Dolne Mladonice","48.3333","19.1333","132","Slovakia"
"Selice","48.0933","17.9689","2844","Slovakia"
"Krtovce","48.5408","18.0125","303","Slovakia"
"Kotesova","49.2448","18.5993","1993","Slovakia"
"Chmel'ova","49.4000","21.2981","368","Slovakia"
"Zavazna Poruba","49.0539","19.6492","1284","Slovakia"
"Raznany","49.0806","21.0833","1546","Slovakia"
"Zboj","49.0281","22.4828","311","Slovakia"
"Karna","48.9861","21.8058","461","Slovakia"
"Slovenske Darmoty","48.0917","19.2917","553","Slovakia"
"Kladzany","48.8867","21.7500","533","Slovakia"
"Budkovce","48.6361","21.9292","1521","Slovakia"
"Omastina","48.7771","18.3887","37","Slovakia"
"Kamenin","47.8881","18.6444","1448","Slovakia"
"Durd'ove","49.0281","18.4978","143","Slovakia"
