"city","lat","lng","population","country"
"Trebnje","45.9104","15.0086","3927","Slovenia"
"Naklo","46.2749","14.3176","1859","Slovenia"
"Kamenica","45.9967","15.1989","48","Slovenia"
"Bled","46.3667","14.1167","4969","Slovenia"
"Secovlje","45.4755","13.6169","803","Slovenia"
"Spodnje Skofije","45.5714","13.7914","1455","Slovenia"
"Sevnica","46.0092","15.3039","4533","Slovenia"
"Slovenj Gradec","46.5093","15.0790","7249","Slovenia"
"Nova Gorica","45.9667","13.6500","13031","Slovenia"
"Imeno","46.1314","15.5991","325","Slovenia"
"Velenje","46.3667","15.1167","25594","Slovenia"
"Budinci","46.8598","16.2565","96","Slovenia"
"Sempeter pri Gorici","45.9283","13.6378","3694","Slovenia"
"Pince","46.5256","16.5222","220","Slovenia"
"Brezice","45.9044","15.5925","6843","Slovenia"
"Kamnik","46.2250","14.6097","13880","Slovenia"
"Mezica","46.5206","14.8536","3176","Slovenia"
"Odranci","46.5833","16.2833","1632","Slovenia"
"Zagorje","46.1342","14.9942","6023","Slovenia"
"Cerknica","45.7964","14.3581","4018","Slovenia"
"Cesta","45.9431","14.8904","66","Slovenia"
"Bovec","46.3378","13.5522","1586","Slovenia"
"Ajdovscina","45.8884","13.9052","6843","Slovenia"
"Domzale","46.1333","14.6000","13204","Slovenia"
"Ankaran","45.5793","13.7379","3224","Slovenia"
"Metlika","45.6472","15.3142","3229","Slovenia"
"Slovenske Konjice","46.3362","15.4210","5157","Slovenia"
"Krsko","45.9590","15.4922","7217","Slovenia"
"Postojna","45.7743","14.2153","9605","Slovenia"
"Gornji Petrovci","46.8053","16.2225","411","Slovenia"
"Krvavi Potok","45.6190","13.9095","81","Slovenia"
"Slatinek","46.6731","15.5775","75","Slovenia"
"Prevalje","46.5469","14.9208","4620","Slovenia"
"Novo Mesto","45.7981","15.1628","24183","Slovenia"
"Vipava","45.8463","13.9622","2049","Slovenia"
"Skofja Loka","46.1655","14.3064","11671","Slovenia"
"Radece","46.0659","15.1729","1993","Slovenia"
"Gorenje Ponikve","45.8968","15.0406","114","Slovenia"
"Sezana","45.7000","13.8500","6037","Slovenia"
"Sentjernej","45.8389","15.3362","1441","Slovenia"
"Kostrivnica","46.1241","15.4946","167","Slovenia"
"Lendava","46.5662","16.4499","2954","Slovenia"
"Plavje","45.5731","13.8011","572","Slovenia"
"Obrezje","45.8492","15.7000","354","Slovenia"
"Ziri","46.0460","14.1083","3657","Slovenia"
"Visnja Gora","45.9539","14.7431","1090","Slovenia"
"Kocevje","45.6430","14.8594","8151","Slovenia"
"Zibika","46.1906","15.5664","64","Slovenia"
"Ormoz","46.4071","16.1505","1962","Slovenia"
"Ruse","46.5383","15.5153","4208","Slovenia"
"Mokri Potok","45.5580","14.8269","0","Slovenia"
"Ptuj","46.4186","15.8714","17959","Slovenia"
"Grosuplje","45.9551","14.6562","7703","Slovenia"
"Slovenska Bistrica","46.3941","15.5707","8219","Slovenia"
"Loz","45.7260","14.4687","586","Slovenia"
"Ravne na Koroskem","46.5437","14.9642","7363","Slovenia"
"Vrhnika","45.9622","14.2936","8888","Slovenia"
"Lenart v Slovenskih Goricah","46.5755","15.8306","3285","Slovenia"
"Kobarid","46.2471","13.5796","1085","Slovenia"
"Ilirska Bistrica","45.5651","14.2493","4323","Slovenia"
"Kranj","46.2389","14.3556","56081","Slovenia"
"Hrastnik","46.1461","15.0814","4962","Slovenia"
"Podljubelj","46.3978","14.2869","900","Slovenia"
"Ljubljana","46.0500","14.5167","286745","Slovenia"
"Beltinci","46.6053","16.2406","2430","Slovenia"
"Piran","45.5271","13.5685","3730","Slovenia"
"Jesenice","46.4366","14.0602","13338","Slovenia"
"Vojnik","46.2931","15.3028","2475","Slovenia"
"Izola","45.5395","13.6604","11682","Slovenia"
"Borovnica","45.9180","14.3642","2674","Slovenia"
"Radlje ob Dravi","46.6149","15.2226","2856","Slovenia"
"Maribor","46.5500","15.6333","96211","Slovenia"
"Vrtojba","45.9089","13.6364","2598","Slovenia"
"Murska Sobota","46.6586","16.1619","11679","Slovenia"
"Kostanjevica na Krki","45.8463","15.4249","689","Slovenia"
"Gradac","45.6134","15.2439","390","Slovenia"
"Smrje","45.5942","14.1872","109","Slovenia"
"Vuzenica","46.5992","15.1669","1522","Slovenia"
"Solkan","45.9694","13.6453","3216","Slovenia"
"Sentjur","46.2225","15.3973","4940","Slovenia"
"Most na Soci","46.1522","13.7442","416","Slovenia"
"Gornja Radgona","46.6810","15.9883","3086","Slovenia"
"Tisina","46.6556","16.0933","408","Slovenia"
"Koper","45.5475","13.7307","25753","Slovenia"
"Litija","46.0565","14.8303","6673","Slovenia"
"Rozna Dolina","45.9422","13.6394","1127","Slovenia"
"Zalec","46.2516","15.1674","5000","Slovenia"
"Lasko","46.1563","15.2386","3288","Slovenia"
"Crnomelj","45.5711","15.1889","5496","Slovenia"
"Idrija","46.0025","14.0275","5886","Slovenia"
"Dravograd","46.5900","15.0180","3163","Slovenia"
"Slavina","45.7119","14.1775","228","Slovenia"
"Sveti Peter","45.4665","13.6832","393","Slovenia"
"Celje","46.2291","15.2641","37875","Slovenia"
"Bistrica ob Sotli","46.0569","15.6625","235","Slovenia"
