"city","lat","lng","population", "country"
"Gaalkacyo","6.7697","47.4308","61200","Somalia"
"Marka","1.7156","44.7703","1958","Somalia"
"Jawhar","2.7833","45.5000","111308","Somalia"
"Luuq","3.8005","42.5500","33820","Somalia"
"Beledweyne","4.7360","45.2040","62945","Somalia"
"Buur Gaabo","-1.2192","41.8372","3096","Somalia"
"Buurhakaba","2.7837","44.0833","31267","Somalia"
"Dhuusamarreeb","5.5375","46.3875","447","Somalia"
"Mereeg","3.7666","47.3000","548","Somalia"
"Xuddur","4.1200","43.8878","1639","Somalia"
"Hurdiyo","10.5667","51.1333","176","Somalia"
"Bandarbeyla","9.4833","50.8167","13753","Somalia"
"Baraawe","1.1133","44.0303","32800","Somalia"
"Boosaaso","11.2800","49.1800","46969","Somalia"
"Jamaame","0.0722","42.7506","185270","Somalia"
"Qardho","9.5004","49.1660","1341","Somalia"
"Garoowe","8.4000","48.4833","2568","Somalia"
"Caluula","11.9670","50.7500","513","Somalia"
"Baidoa","3.1167","43.6500","129839","Somalia"
"Bu'aale","1.0833","42.5833","1490","Somalia"
"Mogadishu","2.0408","45.3425","2120000","Somalia"
"Garbahaarrey","3.3500","42.2667","43000","Somalia"
"Eyl","7.9667","49.8500","21700","Somalia"
"Kismaayo","-0.3603","42.5489","166667","Somalia"
