"city","lat","lng","population", "country"
"Vanderbijlpark","-26.6992","27.8356","95840","South Africa"
"Thohoyandou","-22.9500","30.4833","69453","South Africa"
"Suurbraak","-34.0049","20.6528","2252","South Africa"
"Kuruman","-27.4597","23.4125","10006","South Africa"
"Alexander Bay","-28.6083","16.5033","1500","South Africa"
"Port Alfred","-33.6000","26.8833","17959","South Africa"
"Uitenhage","-33.7500","25.4000","103639","South Africa"
"Malmesbury","-33.4500","18.7333","35897","South Africa"
"Port Elizabeth","-33.9581","25.6000","312392","South Africa"
"Umtata","-31.5800","28.7900","137772","South Africa"
"Port Shepstone","-30.7411","30.4547","52793","South Africa"
"Kleinmond","-34.3500","19.0333","6634","South Africa"
"Phalaborwa","-23.9333","31.1167","13108","South Africa"
"Montagu","-33.7833","20.1167","15176","South Africa"
"Mmabatho","-25.8500","25.6333","104428","South Africa"
"Rustenburg","-25.6667","27.2336","165976","South Africa"
"Steytlerville","-33.3328","24.3447","3986","South Africa"
"Springbok","-29.6667","17.8833","10438","South Africa"
"Johannesburg","-26.2044","28.0416","4434827","South Africa"
"Swellendam","-34.0231","20.4400","17537","South Africa"
"Port Saint John's","-31.6288","29.5369","5939","South Africa"
"Villiersdorp","-33.9833","19.2833","10004","South Africa"
"Standerton","-26.9500","29.2500","74021","South Africa"
"Musina","-22.3381","30.0417","42678","South Africa"
"Barrydale","-33.9000","20.7333","4156","South Africa"
"Grahamstown","-33.2996","26.5200","91548","South Africa"
"Zastron","-30.3000","27.0833","1893","South Africa"
"Brakpan","-26.2353","28.3700","73080","South Africa"
"Brits","-25.6167","27.7667","122497","South Africa"
"Polokwane","-23.9000","29.4500","220045","South Africa"
"Sandton","-26.1070","28.0517","222415","South Africa"
"Onrus","-34.4122","19.1700","5151","South Africa"
"Prieska","-29.6683","22.7439","11236","South Africa"
"Middelburg","-31.4939","25.0172","18164","South Africa"
"Graaff-Reinet","-32.2522","24.5406","62896","South Africa"
"Worcester","-33.6450","19.4436","97098","South Africa"
"Riviersonderend","-34.1500","19.9000","5245","South Africa"
"Tzaneen","-23.8333","30.1667","67245","South Africa"
"Mossel Bay","-34.1833","22.1333","59031","South Africa"
"Vryburg","-26.9500","24.7333","49588","South Africa"
"Oudtshoorn","-33.5833","22.2000","61507","South Africa"
"Vereeniging","-26.6736","27.9319","1074000","South Africa"
"Piketberg","-32.9000","18.7667","12075","South Africa"
"Camden","-26.5992","30.0885","674","South Africa"
"Springs","-26.2547","28.4428","236083","South Africa"
"Randburg","-26.0936","28.0064","337053","South Africa"
"Ladysmith","-28.5539","29.7825","47375","South Africa"
"Kroonstad","-27.6456","27.2317","103992","South Africa"
"Bethlehem","-28.2333","28.3000","16236","South Africa"
"Citrusdal","-32.5894","19.0147","7177","South Africa"
"Roodepoort","-26.1625","27.8725","326416","South Africa"
"Bredasdorp","-34.5333","20.0417","14936","South Africa"
"Saldanha","-32.9978","17.9456","68284","South Africa"
"East London","-33.0153","27.9116","338627","South Africa"
"Kuilsrivier","-34.0333","18.7000","46686","South Africa"
"Carnarvon","-30.9667","22.1333","5785","South Africa"
"Rietkuil","-25.9462","29.8059","3635","South Africa"
"Middelburg","-25.7684","29.4783","154706","South Africa"
"Pretoria","-25.7464","28.1881","741651","South Africa"
"Paarl","-33.7242","18.9558","112045","South Africa"
"Lichtenburg","-26.1500","26.1667","26338","South Africa"
"Bethal","-26.4500","29.4500","101919","South Africa"
"Klawer","-31.7833","18.6167","6234","South Africa"
"Bloemhof","-27.6500","25.5900","17122","South Africa"
"Centurion","-25.8603","28.1894","236580","South Africa"
"Vryheid","-27.7694","30.7914","150012","South Africa"
"Kimberley","-28.7386","24.7586","165264","South Africa"
"Hopefield","-33.0667","18.3500","6460","South Africa"
"Pietermaritzburg","-29.5833","30.4167","750845","South Africa"
"Cape Town","-33.9250","18.4250","433688","South Africa"
"Mahikeng","-25.8653","25.6442","15117","South Africa"
"Vredenburg","-32.9000","17.9833","38382","South Africa"
"Tulbagh","-33.2850","19.1378","8969","South Africa"
"Welkom","-27.9831","26.7208","431944","South Africa"
"Potchefstroom","-26.7150","27.1033","148804","South Africa"
"Caledon","-34.2300","19.4283","13020","South Africa"
"Aliwal North","-30.7000","26.7000","44436","South Africa"
"Velddrif","-32.7667","18.1667","11017","South Africa"
"Durban","-29.8583","31.0250","595061","South Africa"
"Volksrust","-27.3667","29.8833","43378","South Africa"
"Orania","-29.8167","24.4000","1523","South Africa"
"Mtubatuba","-28.4167","32.1833","1589","South Africa"
"Jeffrey's Bay","-34.0333","24.9167","27107","South Africa"
"Cradock","-32.1833","25.6167","32898","South Africa"
"Fraserburg","-31.9144","21.5119","3029","South Africa"
"Saron","-33.1810","19.0100","7843","South Africa"
"Bhisho","-32.8494","27.4381","160997","South Africa"
"Clanwilliam","-32.1786","18.8911","7674","South Africa"
"Porterville","-33.0000","18.9833","7057","South Africa"
"Upington","-28.4572","21.2425","121189","South Africa"
"De Aar","-30.6500","24.0167","32318","South Africa"
"Baardskeerdersbos","-34.5889","19.5708","103","South Africa"
"Genadendal","-34.0333","19.5500","5663","South Africa"
"Komatipoort","-25.4333","31.9500","20508","South Africa"
"Beaufort West","-32.3500","22.5833","44737","South Africa"
"Pofadder","-29.1286","19.3947","4220","South Africa"
"Benoni","-26.1883","28.3206","158777","South Africa"
"Lambert's Bay","-32.0833","18.3000","6120","South Africa"
"Lebowakgomo","-24.3050","29.5650","33308","South Africa"
"Vanrhynsdorp","-31.6167","18.7167","6272","South Africa"
"Hendrinakrag","-26.0167","29.5937","2359","South Africa"
"Queenstown","-31.9000","26.8833","105309","South Africa"
"George","-33.9667","22.4500","157394","South Africa"
"Colesberg","-30.7167","25.1000","12423","South Africa"
"Rawsonville","-33.6847","19.3150","3099","South Africa"
"Klerksdorp","-26.8667","26.6667","178921","South Africa"
"Ulundi","-28.3350","31.4161","29132","South Africa"
"Ubombo","-27.5667","32.0833","564","South Africa"
"Brandfort","-28.7000","26.4667","12091","South Africa"
"Saint Helena Bay","-32.7583","18.0278","11529","South Africa"
"Darling","-33.3833","18.3833","10420","South Africa"
"Hermanus","-34.4167","19.3000","25153","South Africa"
"Knysna","-34.0356","23.0489","51078","South Africa"
"Moorreesburg","-33.1500","18.6667","12877","South Africa"
"Carletonville","-26.3581","27.3981","23000","South Africa"
"Alberton","-26.2672","28.1219","121536","South Africa"
"Bloemfontein","-29.1000","26.2167","256185","South Africa"
