"city","lat","lng","population", "country"
"Bor","6.2167","31.5500","315351","South Sudan"
"Kapoeta","4.7721","33.5902","7042","South Sudan"
"Torit","4.4167","32.5667","17957","South Sudan"
"Aweil","8.7666","27.4000","46705","South Sudan"
"Malakal","9.5333","31.6500","147450","South Sudan"
"Nimule","3.6000","32.0600","242","South Sudan"
"Maridi","4.9151","29.4769","14224","South Sudan"
"Wau","7.7000","27.9833","163442","South Sudan"
"Melut","10.4404","32.2015","6407","South Sudan"
"Rumbek","6.8000","29.6833","32083","South Sudan"
"Gogrial","8.5337","28.1167","50065","South Sudan"
"Yambio","4.5705","28.4163","40382","South Sudan"
"Nasir","8.6004","33.0666","1741","South Sudan"
"Juba","4.8500","31.6000","372410","South Sudan"
"Yei","4.0904","30.6800","185000","South Sudan"
"Bentiu","9.2500","29.8000","7781","South Sudan"
