"city","lat","lng","population", "country"
"Mediana de Voltoya","40.7006","-4.5639","114","Spain"
"Viandar de la Vera","40.1217","-5.5364","219","Spain"
"Valleruela de Sepulveda","41.1833","-3.7667","52","Spain"
"Sayalonga","36.8000","-4.0167","1568","Spain"
"San Felices de los Gallegos","40.8495","-6.7080","377","Spain"
"Navas de Estena","39.5000","-4.5167","293","Spain"
"Fuente del Maestre","38.5289","-6.4500","6714","Spain"
"Mendaro","43.2642","-2.3755","1976","Spain"
"Valles de Palenzuela","42.1194","-4.0764","79","Spain"
"Terrateig","38.8942","-0.3206","256","Spain"
"Navalcan","40.0680","-5.0930","1955","Spain"
"Rubite","36.8089","-3.3472","382","Spain"
"Cartelle","42.2492","-8.0689","2589","Spain"
"Puebla del Caraminal","42.6000","-8.9330","9318","Spain"
"Masoteras","41.7976","1.3107","212","Spain"
"La Union","37.6192","-0.8756","20538","Spain"
"Ayna","38.5500","-2.0833","591","Spain"
"La Matilla","41.1911","-3.7950","78","Spain"
"Barrio de Bricia","42.8967","-3.8792","70","Spain"
"Argecilla","40.8842","-2.8164","59","Spain"
"Santa Oliva","41.2533","1.5522","3353","Spain"
"Amorebieta","43.2192","-2.7342","19529","Spain"
"Fompedraza","41.5361","-4.1458","100","Spain"
"Val de San Martin","41.0573","-1.4466","61","Spain"
"San Cipriano de Vallalta","41.6214","2.6006","3438","Spain"
"Corbalan","40.4000","-0.9833","109","Spain"
"Pintano","42.5289","-1.0211","39","Spain"
"Fuentes de Jiloca","41.2333","-1.5333","229","Spain"
"Ores","42.2833","-1.0000","109","Spain"
"Trazo","43.0167","-8.5333","3013","Spain"
"Ibros","38.0167","-3.5000","2827","Spain"
"Gallocanta","41.0000","-1.5000","136","Spain"
"Mutiloa","43.0219","-2.2728","255","Spain"
"Palau de Anglesola","41.6525","0.8833","2166","Spain"
"Arano","43.1997","-1.8953","116","Spain"
"Hurtumpascual","40.6922","-5.1125","48","Spain"
"Santa Maria de la Isla","42.3500","-5.9333","476","Spain"
"Tahal","37.2167","-2.2833","336","Spain"
"Hoya-Gonzalo","38.9500","-1.5500","630","Spain"
"Masalfasar","39.5611","-0.3250","2555","Spain"
"Berzocana","39.4333","-5.4500","414","Spain"
"Cueva de Agreda","41.7639","-1.8872","71","Spain"
"Pinilla de los Moros","42.0678","-3.3272","37","Spain"
"Alsodux","37.0000","-2.5833","125","Spain"
"Bellpuig","41.6267","1.0133","5218","Spain"
