"city","lat","lng","population","country"
"Kwakoegron","5.2439","-55.3364","263","Suriname"
"Totness","5.8904","-56.3200","1685","Suriname"
"Cottica","3.8547","-54.2289","29210","Suriname"
"Moengo","5.6167","-54.4000","8252","Suriname"
"Albina","5.5000","-54.0500","5247","Suriname"
"Nieuw Amsterdam","5.9100","-55.0700","4935","Suriname"
"Groningen","5.7970","-55.4810","3216","Suriname"
"Onverwacht","5.6000","-55.2000","2105","Suriname"
"Tamanredjo","5.7667","-55.0000","6601","Suriname"
"Brownsweg","5.0200","-55.1700","4582","Suriname"
"Paramaribo","5.8667","-55.1667","223757","Suriname"
"Nieuw Nickerie","5.9261","-56.9731","12818","Suriname"
"Bigiston","5.4122","-54.1244","361","Suriname"
"Wageningen","5.7600","-56.6653","2937","Suriname"
"Domburg","5.7000","-55.0833","5500","Suriname"
"Brokopondo","5.0404","-55.0200","8340","Suriname"
