"city","lat","lng","population", "country"
"Klagstorp","55.3932","13.3730","599","Sweden"
"Villie","55.4789","13.5978","1101","Sweden"
"Bollnas","61.3484","16.3883","13398","Sweden"
"Satila","57.5395","12.4393","1162","Sweden"
"Limmared","57.5379","13.3579","1484","Sweden"
"Uppsala","59.8498","17.6389","165456","Sweden"
"Mariestad","58.7050","13.8280","14891","Sweden"
"Skelleftea","64.6500","20.8500","31311","Sweden"
"Langhem","57.6000","13.2456","1111","Sweden"
"Fagersanna","58.4619","14.2689","683","Sweden"
"Dalstorp","57.6023","13.5245","728","Sweden"
"Oxaback","57.3959","12.8046","326","Sweden"
"Malmo","55.5932","13.0214","324002","Sweden"
"Mjolby","58.3321","15.1312","13947","Sweden"
"Allmora","59.2069","18.3686","101","Sweden"
"Torestorp","57.3892","12.6729","406","Sweden"
"Tidaholm","58.1794","13.9599","8146","Sweden"
"Glumslov","55.9425","12.8079","2253","Sweden"
"Hjo","58.3044","14.2786","6357","Sweden"
"Vasteras","59.6173","16.5422","128534","Sweden"
"Algaras","58.8125","14.2541","374","Sweden"
"Velanda","58.2288","12.3099","783","Sweden"
"Nykoping","58.7582","17.0185","33916","Sweden"
"Kisa","57.9857","15.6305","3813","Sweden"
"Odestugu","57.6163","14.2907","90","Sweden"
"Karungi","66.0455","23.9506","193","Sweden"
"Ekedalen","58.1996","13.8407","483","Sweden"
"Nedre Gardsjo","60.9397","15.2268","372","Sweden"
"Karlsborg","58.5268","14.5231","3749","Sweden"
"Kebal","58.9486","11.0003","373","Sweden"
"Falun","60.6130","15.6470","36477","Sweden"
"Stenstorp","58.2727","13.7172","1794","Sweden"
"Sundsvall","62.3902","17.3067","73389","Sweden"
"Lungsundet","59.5218","14.1909","51","Sweden"
"Tibro","58.4190","14.1580","8614","Sweden"
"Overtornea","66.3881","23.6436","1737","Sweden"
"Helsingborg","56.0424","12.7210","113816","Sweden"
"Boras","57.7304","12.9200","65008","Sweden"
"Vargarda","58.0341","12.8083","5825","Sweden"
"Karlstad","59.3808","13.5016","74141","Sweden"
"Ulvaker","58.4746","13.9280","262","Sweden"
"Hillared","57.6296","13.1604","633","Sweden"
"Haparanda","65.8342","24.1170","6554","Sweden"
"Aspered","57.7552","13.1809","314","Sweden"
"Ljungsarp","57.5665","13.5824","219","Sweden"
"Kristianstad","56.0337","14.1333","32188","Sweden"
"Svedja","61.7243","16.6443","100","Sweden"
"Nitta","57.8277","13.1885","361","Sweden"
"Filsback","58.4906","13.2497","667","Sweden"
"Eggby","58.4326","13.6438","222","Sweden"
"Skalunda","58.5484","13.0123","54","Sweden"
"Horred","57.3570","12.4732","1261","Sweden"
"Asarp","58.0240","13.5651","607","Sweden"
"Vinninga","58.4521","13.2616","1055","Sweden"
"Sparreholm","59.0736","16.8234","736","Sweden"
"Berghem","57.4640","12.5873","381","Sweden"
"Kinnarp","58.0779","13.5206","963","Sweden"
"Linkoping","58.4094","15.6257","115672","Sweden"
"Visby","57.6290","18.3071","24942","Sweden"
"Hoganas","56.1960","12.5769","16001","Sweden"
"Furusjo","57.9286","13.9606","346","Sweden"
"Varnhem","58.3857","13.6482","667","Sweden"
"Arentorp","58.2423","12.8737","510","Sweden"
"Lulea","65.5838","22.1915","49123","Sweden"
"Sandhult","57.7710","12.8219","571","Sweden"
"Sandhem","57.9868","13.7702","700","Sweden"
"Gullspang","58.9862","14.0956","1567","Sweden"
"Svenljunga","57.4960","13.1102","3774","Sweden"
"Stor-Finnforsen","63.6006","16.1375","209","Sweden"
"Jonslund","58.1553","12.8277","309","Sweden"
"Lerdala","58.4777","13.7144","540","Sweden"
"Torekov","56.4197","12.6339","1089","Sweden"
"Ornskoldsvik","63.2940","18.7122","27749","Sweden"
"Karleby","58.1502","13.6389","53","Sweden"
"Korsberga","58.2993","14.1024","210","Sweden"
"Herrljunga","58.0752","13.0238","4075","Sweden"
"Orslosa","58.5061","12.9943","321","Sweden"
"Odensberg","58.1539","13.4424","291","Sweden"
"Riksgransen","68.4278","18.1222","55","Sweden"
"Overlida","57.3509","12.8992","498","Sweden"
"Lye","57.2988","18.5193","55","Sweden"
"Gnisvard","57.5072","18.1122","125","Sweden"
"Bjorketorp","57.4270","12.5268","556","Sweden"
"Stockholm","59.3294","18.0686","972647","Sweden"
"Kaseberga","55.3867","14.0640","118","Sweden"
