"city","lat","lng","population","country"
"Apples","46.5500","6.4333","1468","Switzerland"
"Bosingen","46.9000","7.2333","3408","Switzerland"
"La Praz","46.6667","6.4333","165","Switzerland"
"Bovernier","46.0833","7.0833","893","Switzerland"
"Oberkirch","47.1564","8.1158","4707","Switzerland"
"Hauterive","47.0167","6.9667","2623","Switzerland"
"Flurlingen","47.6839","8.6283","1437","Switzerland"
"Courroux","47.3692","7.3930","3314","Switzerland"
"Mels","47.0497","9.4167","8620","Switzerland"
"Signau","46.9217","7.7267","2659","Switzerland"
"Plagne","47.1881","7.2869","378","Switzerland"
"Bubendorf","47.4497","7.7364","4389","Switzerland"
"Chavannes-sur-Moudon","46.6500","6.8000","220","Switzerland"
"Burgistein","46.7921","7.5032","1096","Switzerland"
"Mohlin","47.5583","7.8458","11042","Switzerland"
"Morschach","46.9817","8.6197","1159","Switzerland"
"Novazzano","45.8500","8.9833","2380","Switzerland"
"Frasco","46.3333","8.8000","112","Switzerland"
"Habsburg","47.4636","8.1861","440","Switzerland"
"Chavannes-de-Bogis","46.3500","6.1667","1285","Switzerland"
"Langnau","46.9433","7.7853","9366","Switzerland"
"Boswil","47.3011","8.3139","2837","Switzerland"
"Gsteig","46.6522","7.8889","404","Switzerland"
"Fischingen","47.4164","8.9667","2791","Switzerland"
"Oppens","46.7167","6.7000","197","Switzerland"
"Lutisburg","47.3947","9.0811","1576","Switzerland"
"Saint-Aubin","46.8900","6.9806","1801","Switzerland"
"Brutten","47.4731","8.6744","2016","Switzerland"
"Glarus","47.0333","9.0667","5996","Switzerland"
"Greifensee","47.3661","8.6786","5345","Switzerland"
"Liesberg","47.4050","7.4300","1127","Switzerland"
"Kleinandelfingen","47.6000","8.6831","2077","Switzerland"
"Avully","46.1675","5.9985","1756","Switzerland"
"Rain","47.1308","8.2575","2770","Switzerland"
"Grund bei Gstaad","46.3833","7.2664","987","Switzerland"
"Bevaix","46.9312","6.8041","3784","Switzerland"
"Schotz","47.1711","7.9894","4434","Switzerland"
"Lutry","46.5151","6.6990","10289","Switzerland"
"Termen","46.3167","8.0167","946","Switzerland"
"Obersiggenthal","47.4869","8.2921","8565","Switzerland"
"Frauenkappelen","46.9554","7.3334","1240","Switzerland"
"Mandach","47.5483","8.1858","341","Switzerland"
"Zell","47.4489","8.8233","5929","Switzerland"
"Eschenz","47.6500","8.8664","1743","Switzerland"
"Orselina","46.1833","8.8000","727","Switzerland"
"Mettembert","47.4000","7.3167","107","Switzerland"
"Wolfwil","47.2692","7.7931","2272","Switzerland"
"Saulcy","47.3000","7.1500","260","Switzerland"
"Munchenstein","47.5186","7.6174","12096","Switzerland"
"Bassersdorf","47.4431","8.6283","11593","Switzerland"
"Eichberg","47.3430","9.5308","1524","Switzerland"
"Murten","46.9281","7.1169","8222","Switzerland"
"Schattdorf","46.8494","8.6713","5418","Switzerland"
"Darstetten","46.6720","7.4883","848","Switzerland"
"Grolley","46.8333","7.0667","1920","Switzerland"
"Rances","46.7659","6.5075","481","Switzerland"
"Spreitenbach","47.4181","8.3661","11788","Switzerland"
"Landquart","46.9497","9.5667","8849","Switzerland"
"Elsau","47.5061","8.8028","3660","Switzerland"
"Bioggio","46.0167","8.9000","2626","Switzerland"
"Gingins","46.4167","6.1833","1221","Switzerland"
"Ermatingen","47.6692","9.0797","3455","Switzerland"
"Scheuren","47.1333","7.3167","448","Switzerland"
"Poschiavo","46.3333","10.0497","3516","Switzerland"
"Bariswil","47.0167","7.5333","1062","Switzerland"
"Wangen bei Olten","47.3442","7.8694","5056","Switzerland"
"Vordemwald","47.2761","7.9000","1954","Switzerland"
"Montcherand","46.7333","6.5167","488","Switzerland"
"Courgevaux","46.9065","7.1121","1420","Switzerland"
"Mumpf","47.5472","7.9194","1467","Switzerland"
"Giswil","46.8359","8.1188","3657","Switzerland"
"Buttwil","47.2677","8.3111","1228","Switzerland"
"Vouvry","46.3333","6.8833","4198","Switzerland"
"Wiggiswil","47.0294","7.4689","106","Switzerland"
"Altendorf","47.1922","8.8300","7081","Switzerland"
"Ober Tschappina","46.6831","9.3833","130","Switzerland"
"Egerkingen","47.3219","7.7944","3683","Switzerland"
"Wauwil","47.1831","8.0167","2247","Switzerland"
