"city","lat","lng","population","country"
"Saraqib","35.8644","36.8058","39901","Syria"
"Darayya","33.4589","36.2372","84044","Syria"
"Qastal Ma`af","35.8247","35.9517","585","Syria"
"Al Mazra`ah","32.7828","36.4833","7547","Syria"
"Harf al Musaytirah","35.3906","36.1325","2540","Syria"
"Ra's al `Ayn","36.8503","40.0706","29347","Syria"
"`Adra","33.6000","36.5150","20559","Syria"
"Al Hasakah","36.5117","40.7422","188160","Syria"
"Umm Walad","32.6578","36.4319","7547","Syria"
"Basir","33.0609","36.2335","3000","Syria"
"Ma`lula","33.8442","36.5467","2762","Syria"
"Armanaz","36.0833","36.5000","10296","Syria"
"Dayr al Bukht","33.1469","36.1903","5381","Syria"
"Qatana","33.4333","36.0833","22831","Syria"
"Jayrud","33.8072","36.7403","39903","Syria"
"Al Haffah","35.5833","36.0333","4298","Syria"
"Yabrud","33.9672","36.6572","47136","Syria"
"Bdama","35.8125","36.1936","4162","Syria"
"Salqin","36.1394","36.4539","23700","Syria"
"Aleppo","36.2000","37.1500","1916781","Syria"
"Tall Rif`at","36.4733","37.0972","27086","Syria"
"Kafr Fu","34.7156","36.0842","2213","Syria"
"Killi","36.1103","36.6939","7157","Syria"
"Hawarin","34.2667","37.0667","1802","Syria"
"Safita","34.8208","36.1173","32213","Syria"
"Al Ghassaniyah","34.5981","36.5514","4509","Syria"
"Jisr ash Shughur","35.8000","36.3167","44322","Syria"
"Ghabaghib","33.1839","36.2264","11802","Syria"
"Tadif","36.3480","37.5300","41786","Syria"
"Ra's al Khashufah","34.8833","36.1333","5499","Syria"
"As Suqaylibiyah","35.3697","36.3800","17313","Syria"
"Al Malikiyah","37.1781","42.1403","39000","Syria"
"Albu Kamal","34.4500","40.9186","52020","Syria"
"Tall Birak","36.6667","41.0500","124","Syria"
"`Ayn ash Sharqiyah","35.3319","36.0986","2359","Syria"
"`Assal al Ward","33.8658","36.4133","5812","Syria"
"I`zaz","36.5888","37.0441","31534","Syria"
"Al Hamra'","35.3156","37.0872","1783","Syria"
"Busra al Harir","32.8425","36.3400","13315","Syria"
"Saham al Jawlan","32.7811","35.9347","6572","Syria"
"Salkhad","32.4914","36.7106","15000","Syria"
"Az Zabadani","33.7247","36.1003","26285","Syria"
"Kharsa","32.9292","36.4928","547","Syria"
"Brummanat al Mashayikh","35.0176","36.1695","3666","Syria"
"Muhradah","35.2478","36.5725","17578","Syria"
"Harbinafsah","34.9372","36.6217","3574","Syria"
"`Anadan","36.2936","37.0444","11918","Syria"
"Jarabulus","36.8175","38.0111","11570","Syria"
"Harim","36.2076","36.5192","21934","Syria"
"Tall `Aran","36.1231","37.3369","17767","Syria"
"Al Muzayrib","32.7109","36.0266","12640","Syria"
"Saydnaya","33.6958","36.3775","25194","Syria"
"`Amuda","37.1042","40.9300","47580","Syria"
"Ma`arrat an Nu`man","35.6433","36.6683","90000","Syria"
"Damascus","33.5131","36.2919","1754000","Syria"
"Masyaf","35.0653","36.3421","37109","Syria"
"Taftanaz","35.9981","36.7847","8540","Syria"
"Ad Daliyah","35.2347","36.1433","4540","Syria"
"Al Musayfirah","32.6322","36.3386","10466","Syria"
"Jasim","32.9922","36.0600","31683","Syria"
"Kafr Zayta","35.3736","36.6017","17052","Syria"
"Dabiq","36.5372","37.2681","3364","Syria"
"Hajin","34.6894","40.8308","37935","Syria"
"Khabab","33.0142","36.2772","3379","Syria"
"Tallbisah","34.8406","36.7308","45853","Syria"
"Tallkalakh","34.6683","36.2597","35445","Syria"
"Tibna al Bayad","32.9925","36.2189","4000","Syria"
"Tall Abyad","36.6975","38.9567","14825","Syria"
"Tafas","32.7356","36.0669","32236","Syria"
"Ad Duraykish","34.8969","36.1346","13244","Syria"
"Darkush","35.9925","36.3931","5295","Syria"
"Al Bahluliyah","35.6339","35.9561","4665","Syria"
"Nawa","32.8833","36.0500","63676","Syria"
"As Sanamayn","33.0711","36.1842","26268","Syria"
"As Sukhnah","34.8868","38.8721","16173","Syria"
"Tayr Ma`lah","34.8022","36.7069","7728","Syria"
"As Suwayda'","32.7000","36.5667","64730","Syria"
"Sarmin","35.9000","36.7167","14530","Syria"
"Al Mayadin","35.0208","40.4533","48922","Syria"
"Ar Rastan","34.9167","36.7333","61176","Syria"
"Jindayris","36.3947","36.6889","13661","Syria"
"Suran","35.2897","36.7433","29100","Syria"
"At Tall","33.6103","36.3106","63554","Syria"
"Qadsayya","33.5333","36.2167","33571","Syria"
"Tadmur","34.5600","38.2672","51323","Syria"
"Slinfah","35.6003","36.1786","1847","Syria"
"Hisya'","34.4108","36.7586","5435","Syria"
"Shaykh al Hadid","36.5011","36.5978","5063","Syria"
"Khan Shaykhun","35.4419","36.6508","55843","Syria"
"Kafr Kalbin","36.5561","37.0889","2146","Syria"
"Al Qutaylibiyah","35.2889","36.0153","5566","Syria"
"`Ayn `Isa","36.3858","38.8472","6730","Syria"
"Latakia","35.5236","35.7917","700000","Syria"
"Al Mulayhah al Gharbiyah","32.7515","36.3447","5454","Syria"
"Ath Thawrah","35.8344","38.5464","84000","Syria"
"Al Qunaytirah","33.1256","35.8239","37022","Syria"
"Jaramana","33.4833","36.3500","114363","Syria"
"Sinjar","35.5867","37.0275","2583","Syria"
"Izra","32.8567","36.2469","19158","Syria"
"Idlib","35.9333","36.6333","165000","Syria"
"Binnish","35.9500","36.7000","21848","Syria"
"Kassab","35.9167","35.9833","1500","Syria"
"Kafr Nubl","35.6139","36.5611","15455","Syria"
"Dayr az Zawr","35.3333","40.1500","1918000","Syria"
"Al Kafr","32.6333","36.6417","7458","Syria"
"Al Qaryatayn","34.2294","37.2406","37820","Syria"
"Al Muzayri`ah","35.5311","36.0711","834","Syria"
"As Salamiyah","35.0111","37.0531","110683","Syria"
"Tasil","32.8353","35.9714","15.985","Syria"
"Tartus","34.8833","35.8833","89457","Syria"
"Tall Salhab","35.2609","36.3822","35000","Syria"
"Al Lataminah","35.3208","36.6225","16267","Syria"
"An Nabk","34.0250","36.7344","52502","Syria"
"Al Qamishli","37.0500","41.2167","184231","Syria"
"Manbij","36.5333","37.9500","78255","Syria"
"Dar`a","32.6250","36.1050","146481","Syria"
"Al Mulayhah ash Sharqiyah","32.7580","36.3661","2408","Syria"
"Homs","34.7333","36.7167","900492","Syria"
"Ihsim","35.7200","36.5608","5870","Syria"
"Busra ash Sham","32.5167","36.4833","19683","Syria"
"Salma","35.6900","36.1367","2131","Syria"
"Tall Tamr","36.6606","40.3714","7285","Syria"
"`Ayn Shiqaq","35.3947","36.0308","4125","Syria"
"Al Hajar al Aswad","33.4581","36.3053","101827","Syria"
"Dayr Hafir","36.1592","37.7040","35409","Syria"
"Humaymim","35.4019","35.9314","3701","Syria"
"Jablah","35.3597","35.9214","75505","Syria"
"Baniyas","35.1822","35.9403","43151","Syria"
"Duma","33.5722","36.4019","123494","Syria"
"Shahba","32.8539","36.6294","16745","Syria"
"Harasta","33.5586","36.3650","45974","Syria"
"Hamah","35.1333","36.7500","312994","Syria"
"Ma`arratmisrin","36.0114","36.6717","37490","Syria"
"Ar Raqqah","35.9500","39.0167","299824","Syria"
"Khanasir","35.7833","37.4833","2397","Syria"
"Al Qusayr","34.5089","36.5797","46772","Syria"
"Al Atarib","36.1389","36.8300","10657","Syria"
